open_time,open,high,low,close,volume
1747954800000,0.0221970,0.0230710,0.0221970,0.0230500,350213785
1747958400000,0.0230540,0.0232300,0.0225430,0.0229380,448315140
1747962000000,0.0229370,0.0236020,0.0228390,0.0235900,477285962
1747965600000,0.0235880,0.0241710,0.0234090,0.0236750,535067789
1747969200000,0.0236750,0.0240550,0.0235630,0.0237720,299226333
1747972800000,0.0237740,0.0239180,0.0230080,0.0232360,615269859
1747976400000,0.0232350,0.0238290,0.0227320,0.0234610,512135997
1747980000000,0.0234590,0.0234740,0.0226790,0.0228420,506950775
1747983600000,0.0228430,0.0232860,0.0228380,0.0228990,217689558
1747987200000,0.0229020,0.0235520,0.0228880,0.0234190,300848942
1747990800000,0.0234190,0.0241360,0.0232710,0.0240780,429864828
1747994400000,0.0240790,0.0246600,0.0236380,0.0246440,598534386
1747998000000,0.0246420,0.0246480,0.0227400,0.0230050,1391656389
1748001600000,0.0230010,0.0230400,0.0219040,0.0222860,2014112975
1748005200000,0.0222850,0.0231520,0.0221150,0.0231220,736300748
1748008800000,0.0231200,0.0240670,0.0227910,0.0239570,882863423
1748012400000,0.0239550,0.0241910,0.0230410,0.0231180,853240607
1748016000000,0.0231190,0.0238170,0.0227980,0.0237640,574462367
1748019600000,0.0237620,0.0240870,0.0233350,0.0235370,418348666
1748023200000,0.0235350,0.0236700,0.0229130,0.0230160,400533038
1748026800000,0.0230140,0.0232660,0.0228440,0.0229340,243718252
1748030400000,0.0229340,0.0229410,0.0222500,0.0223670,420639037
1748034000000,0.0223690,0.0224840,0.0220160,0.0221320,358563777
1748037600000,0.0221320,0.0222820,0.0217640,0.0217860,289646478
1748041200000,0.0217890,0.0218640,0.0208410,0.0209890,728085176
1748044800000,0.0209900,0.0214220,0.0207710,0.0211160,432871731
1748048400000,0.0211140,0.0215160,0.0210300,0.0210540,285784267
1748052000000,0.0210540,0.0213610,0.0209480,0.0213320,171330543
1748055600000,0.0213300,0.0217060,0.0212260,0.0214940,195558749
1748059200000,0.0214930,0.0217530,0.0214130,0.0215910,176524355
1748062800000,0.0215910,0.0215950,0.0212130,0.0213660,179885787
1748066400000,0.0213650,0.0214730,0.0211200,0.0213560,133741381
1748070000000,0.0213570,0.0215000,0.0211520,0.0212700,167354772
1748073600000,0.0212720,0.0213310,0.0209850,0.0213140,168421784
1748077200000,0.0213150,0.0215780,0.0211470,0.0213150,187710525
1748080800000,0.0213150,0.0218690,0.0212750,0.0218250,310508981
1748084400000,0.0218290,0.0220800,0.0217540,0.0218380,296408268
1748088000000,0.0218390,0.0219920,0.0215790,0.0217400,194954195
1748091600000,0.0217390,0.0218560,0.0214170,0.0214600,208573417
1748095200000,0.0214580,0.0218370,0.0214310,0.0216960,174622049
1748098800000,0.0216960,0.0218420,0.0213870,0.0216040,169400287
1748102400000,0.0216050,0.0216940,0.0212660,0.0215160,196438390
1748106000000,0.0215160,0.0218040,0.0214790,0.0216010,141897918
1748109600000,0.0216010,0.0218450,0.0213360,0.0213570,188429935
1748113200000,0.0213570,0.0215610,0.0213170,0.0214770,179307253
1748116800000,0.0214780,0.0217100,0.0213900,0.0214660,108027670
1748120400000,0.0214670,0.0215080,0.0211850,0.0213860,155350247
1748124000000,0.0213870,0.0213930,0.0211240,0.0211740,105099751
1748127600000,0.0211750,0.0212700,0.0209540,0.0212140,201243970
1748131200000,0.0212120,0.0214160,0.0206900,0.0207800,275513341
1748134800000,0.0207790,0.0208700,0.0205230,0.0206010,251919071
1748138400000,0.0206040,0.0206440,0.0202140,0.0205560,298044202
1748142000000,0.0205530,0.0209380,0.0205370,0.0207660,164739674
1748145600000,0.0207640,0.0207640,0.0205010,0.0206490,126540762
1748149200000,0.0206490,0.0207220,0.0204940,0.0206630,88645777
1748152800000,0.0206630,0.0206870,0.0205040,0.0205820,89794280
1748156400000,0.0205820,0.0205910,0.0201800,0.0202570,216297407
1748160000000,0.0202590,0.0202630,0.0198150,0.0199450,352434103
1748163600000,0.0199420,0.0200510,0.0197750,0.0200310,212406192
1748167200000,0.0200300,0.0200400,0.0197860,0.0197970,145758431
1748170800000,0.0197980,0.0199650,0.0197110,0.0198810,231323219
1748174400000,0.0198830,0.0200600,0.0196240,0.0199660,399325679
1748178000000,0.0199660,0.0200650,0.0197710,0.0198460,159827520
1748181600000,0.0198450,0.0199210,0.0196090,0.0196700,167778742
1748185200000,0.0196700,0.0197570,0.0191400,0.0194500,411356853
1748188800000,0.0194490,0.0195140,0.0191760,0.0193980,233568779
1748192400000,0.0193980,0.0195980,0.0192780,0.0194720,216148392
1748196000000,0.0194730,0.0196150,0.0193750,0.0194480,139934432
1748199600000,0.0194470,0.0198590,0.0194270,0.0197280,211964702
1748203200000,0.0197290,0.0197540,0.0195620,0.0196260,141940141
