open_time,open,high,low,close,volume
1747954800000,0.80230,0.80940,0.80230,0.80920,11410653
1747958400000,0.80930,0.81420,0.80660,0.81090,26003019
1747962000000,0.81100,0.81940,0.80690,0.81640,24510682
1747965600000,0.81640,0.83190,0.81540,0.82650,38731437
1747969200000,0.82650,0.83950,0.82530,0.83780,30060577
1747972800000,0.83790,0.84140,0.81650,0.82840,57039099
1747976400000,0.82840,0.82960,0.81780,0.82210,21489436
1747980000000,0.82220,0.82450,0.80340,0.80740,48479520
1747983600000,0.80750,0.81590,0.80570,0.80830,26922412
1747987200000,0.80830,0.81850,0.80800,0.81670,20447535
1747990800000,0.81670,0.82480,0.81450,0.82270,19990493
1747994400000,0.82270,0.82330,0.81310,0.81600,21452535
1747998000000,0.81600,0.81620,0.77760,0.78160,107330340
1748001600000,0.78160,0.78250,0.76000,0.77340,115851476
1748005200000,0.77340,0.78700,0.76780,0.78620,62116842
1748008800000,0.78620,0.79040,0.78250,0.78560,37370487
1748012400000,0.78560,0.78860,0.77680,0.77720,34883242
1748016000000,0.77720,0.78040,0.77050,0.77830,37223069
1748019600000,0.77820,0.78490,0.77700,0.78070,17636132
1748023200000,0.78060,0.78260,0.77190,0.77330,22950267
1748026800000,0.77330,0.77850,0.77180,0.77310,14585633
1748030400000,0.77300,0.77310,0.76370,0.76450,26771216
1748034000000,0.76450,0.76810,0.75810,0.76200,24456598
1748037600000,0.76210,0.76570,0.75520,0.75660,22498964
1748041200000,0.75670,0.75800,0.74250,0.74680,51241114
1748044800000,0.74680,0.75390,0.74250,0.74370,31860233
1748048400000,0.74360,0.75230,0.74290,0.74850,19396483
1748052000000,0.74840,0.75490,0.74610,0.75450,17917396
1748055600000,0.75440,0.76260,0.75340,0.76120,22283725
1748059200000,0.76120,0.76640,0.75910,0.76430,15872484
1748062800000,0.76440,0.76540,0.75710,0.75970,14950340
1748066400000,0.75970,0.76240,0.75460,0.75830,15241120
1748070000000,0.75820,0.76290,0.75580,0.75700,13543083
1748073600000,0.75690,0.76010,0.75290,0.75910,15321906
1748077200000,0.75900,0.76020,0.75520,0.75590,13000010
1748080800000,0.75590,0.76540,0.75480,0.76260,20587817
1748084400000,0.76270,0.76420,0.75950,0.76060,14778977
1748088000000,0.76060,0.76140,0.75650,0.75890,13316769
1748091600000,0.75890,0.75970,0.75460,0.75580,12522831
1748095200000,0.75570,0.76170,0.75480,0.76050,12337575
1748098800000,0.76060,0.76150,0.75550,0.75800,12194843
1748102400000,0.75810,0.76020,0.75250,0.75830,15226678
1748106000000,0.75830,0.76190,0.75440,0.75630,10920947
1748109600000,0.75640,0.76040,0.75360,0.75480,8799743
1748113200000,0.75480,0.75620,0.75160,0.75440,8684055
1748116800000,0.75430,0.75460,0.75030,0.75180,8062502
1748120400000,0.75180,0.75210,0.74370,0.75050,14848035
1748124000000,0.75050,0.75060,0.74440,0.74570,15051322
1748127600000,0.74560,0.74760,0.74050,0.74630,22068756
1748131200000,0.74630,0.74880,0.73300,0.73610,39488586
1748134800000,0.73610,0.74030,0.73070,0.73670,29737029
