open_time,open,high,low,close,volume
1747954800000,0.2056500,0.2095300,0.2050800,0.2093300,10416460
1747958400000,0.2093400,0.2125900,0.2061600,0.2090200,18005696
1747962000000,0.2090200,0.2126200,0.2085200,0.2101500,10587806
1747965600000,0.2101500,0.2160000,0.2100700,0.2133300,15846375
1747969200000,0.2133300,0.2198900,0.2132800,0.2146600,19109854
1747972800000,0.2146600,0.2179500,0.2067700,0.2090200,20437880
1747976400000,0.2090100,0.2112000,0.2066600,0.2099500,11044995
1747980000000,0.2099200,0.2103700,0.2021900,0.2033600,19736591
1747983600000,0.2033700,0.2070100,0.2017000,0.2036900,14239971
1747987200000,0.2036600,0.2070100,0.2026000,0.2055600,9231016
1747990800000,0.2055400,0.2108900,0.2047000,0.2106700,11995772
1747994400000,0.2106900,0.2116600,0.2070500,0.2096300,10907553
1747998000000,0.2096300,0.2100800,0.1900000,0.1919100,67425372
1748001600000,0.1919000,0.1925500,0.1819400,0.1852000,102995772
1748005200000,0.1852400,0.1923100,0.1841100,0.1917300,29847613
1748008800000,0.1917300,0.1950400,0.1900200,0.1929100,22306527
1748012400000,0.1929000,0.1943000,0.1886500,0.1892000,18523698
1748016000000,0.1892000,0.1913400,0.1866100,0.1912200,17058586
1748019600000,0.1912300,0.1923600,0.1893400,0.1907400,10166812
1748023200000,0.1907300,0.1919700,0.1875700,0.1882500,10451913
1748026800000,0.1882800,0.1898300,0.1872300,0.1883300,6940707
1748030400000,0.1883100,0.1883100,0.1840000,0.1850200,11332347
1748034000000,0.1850000,0.1865700,0.1804700,0.1820600,14905667
1748037600000,0.1821000,0.1843000,0.1791900,0.1793800,13429801
1748041200000,0.1793800,0.1796400,0.1747000,0.1762500,21050293
1748044800000,0.1762500,0.1787800,0.1749300,0.1763600,17290261
1748048400000,0.1763600,0.1789200,0.1753100,0.1764900,9016044
1748052000000,0.1764900,0.1778400,0.1756000,0.1777400,7231490
1748055600000,0.1777400,0.1829400,0.1771100,0.1824300,18700878
1748059200000,0.1824300,0.1848500,0.1816000,0.1833700,11097658
1748062800000,0.1833700,0.1842700,0.1809600,0.1825300,9663655
1748066400000,0.1825000,0.1829600,0.1795200,0.1816300,9395124
1748070000000,0.1816300,0.1834700,0.1792900,0.1805400,10086034
1748073600000,0.1805200,0.1810500,0.1781400,0.1805300,10111609
1748077200000,0.1805100,0.1823600,0.1795700,0.1799800,7948802
1748080800000,0.1800000,0.1837300,0.1791100,0.1826800,10759588
1748084400000,0.1826700,0.1837500,0.1812400,0.1825300,8385542
1748088000000,0.1825200,0.1827800,0.1800100,0.1812200,7006254
1748091600000,0.1812200,0.1818400,0.1790400,0.1793500,7446608
1748095200000,0.1793400,0.1831000,0.1787500,0.1828000,9081472
1748098800000,0.1828100,0.1839500,0.1796700,0.1809800,8932993
