open_time,open,high,low,close,volume
1747954800000,0.0362900,0.0367600,0.0362900,0.0366400,5976218
1747958400000,0.0366600,0.0367700,0.0362600,0.0363800,7697952
1747962000000,0.0363600,0.0371600,0.0361700,0.0370800,10045326
1747965600000,0.0370800,0.0376900,0.0370300,0.0375600,11829585
1747969200000,0.0375700,0.0379600,0.0374500,0.0376600,10850898
1747972800000,0.0376600,0.0379000,0.0364300,0.0367600,16140524
1747976400000,0.0367500,0.0371000,0.0364000,0.0369500,8730969
1747980000000,0.0369500,0.0369500,0.0357700,0.0359800,11739049
1747983600000,0.0359900,0.0364600,0.0359100,0.0360600,5789103
1747987200000,0.0360800,0.0366500,0.0359800,0.0365000,6586192
1747990800000,0.0365000,0.0370200,0.0364100,0.0369400,7716526
1747994400000,0.0369500,0.0369800,0.0364200,0.0369400,10937978
1747998000000,0.0369300,0.0369600,0.0341500,0.0348600,46058306
1748001600000,0.0348700,0.0349200,0.0336700,0.0344100,49512635
1748005200000,0.0344300,0.0353200,0.0340300,0.0353000,15890723
1748008800000,0.0353100,0.0355500,0.0349800,0.0352900,10662073
1748012400000,0.0352800,0.0354500,0.0345900,0.0346200,9290500
1748016000000,0.0346300,0.0347900,0.0342300,0.0346000,8471443
1748019600000,0.0345700,0.0348800,0.0345400,0.0347400,4310233
1748023200000,0.0347300,0.0348200,0.0343100,0.0343900,5231470
1748026800000,0.0343700,0.0346600,0.0342500,0.0342700,6674224
1748030400000,0.0342900,0.0342900,0.0336100,0.0336400,8995974
1748034000000,0.0336800,0.0339200,0.0333800,0.0335600,7649325
1748037600000,0.0335500,0.0337600,0.0331300,0.0331600,7586740
1748041200000,0.0331500,0.0332300,0.0321000,0.0323900,21461435
1748044800000,0.0324000,0.0327100,0.0320000,0.0323400,16216445
1748048400000,0.0323300,0.0327700,0.0323000,0.0323500,7858445
1748052000000,0.0323400,0.0327200,0.0322200,0.0326600,6315367
1748055600000,0.0326500,0.0331000,0.0325400,0.0329100,9518527
1748059200000,0.0329000,0.0330400,0.0327200,0.0329000,4983448
1748062800000,0.0329000,0.0329100,0.0325900,0.0327100,4535436
1748066400000,0.0327000,0.0328100,0.0323800,0.0325900,4976454
1748070000000,0.0326100,0.0328800,0.0323500,0.0324300,4194353
1748073600000,0.0324400,0.0324600,0.0319200,0.0322600,16030775
1748077200000,0.0322500,0.0324800,0.0321200,0.0322600,11151243
1748080800000,0.0322600,0.0328800,0.0322000,0.0327600,10526433
1748084400000,0.0327600,0.0329700,0.0326800,0.0327600,6792795
1748088000000,0.0327500,0.0328200,0.0325400,0.0327300,6419642
1748091600000,0.0327300,0.0327800,0.0322600,0.0322800,7292723
1748095200000,0.0322800,0.0326300,0.0322100,0.0325900,5174942
1748098800000,0.0325800,0.0328000,0.0323300,0.0325000,4844118
1748102400000,0.0324900,0.0326500,0.0322000,0.0325600,3876200
1748106000000,0.0325600,0.0327600,0.0323600,0.0323800,4431054
1748109600000,0.0324000,0.0326600,0.0321500,0.0321700,4822862
1748113200000,0.0321700,0.0322600,0.0320300,0.0321700,3429135
1748116800000,0.0321700,0.0323900,0.0320600,0.0321600,5886381
1748120400000,0.0321500,0.0322100,0.0315800,0.0317800,6663028
1748124000000,0.0317800,0.0318000,0.0315400,0.0315800,4781206
1748127600000,0.0316000,0.0318300,0.0313500,0.0317700,11457319
1748131200000,0.0317700,0.0320000,0.0311400,0.0313400,12996528
1748134800000,0.0313200,0.0314500,0.0309600,0.0311700,8720043
1748138400000,0.0311700,0.0314600,0.0307500,0.0314100,9449913
1748142000000,0.0314100,0.0317100,0.0313900,0.0315700,4631494
1748145600000,0.0315600,0.0315900,0.0312400,0.0315300,7346269
1748149200000,0.0315200,0.0322000,0.0314600,0.0321400,20685788
1748152800000,0.0321200,0.0321400,0.0319400,0.0319900,5215544
1748156400000,0.0319900,0.0320200,0.0315500,0.0317200,9924646
1748160000000,0.0317300,0.0317300,0.0309700,0.0310800,10752864
1748163600000,0.0310900,0.0312500,0.0308200,0.0311700,7588377
1748167200000,0.0311900,0.0312800,0.0309300,0.0309600,4077341
1748170800000,0.0309600,0.0309600,0.0304300,0.0306400,20077809
1748174400000,0.0306500,0.0308900,0.0304200,0.0307600,9815973
1748178000000,0.0307500,0.0308700,0.0305600,0.0306500,5353683
1748181600000,0.0306500,0.0307200,0.0302300,0.0302600,11973962
1748185200000,0.0302600,0.0304100,0.0297300,0.0300900,28300516
1748188800000,0.0301000,0.0301900,0.0297100,0.0300100,10262164
1748192400000,0.0300100,0.0301500,0.0298700,0.0300000,3642384
1748196000000,0.0300000,0.0302400,0.0299100,0.0299500,3362486
1748199600000,0.0299500,0.0304900,0.0299200,0.0303100,6200745
1748203200000,0.0303100,0.0305400,0.0301900,0.0304400,3835717
1748206800000,0.0304500,0.0306800,0.0302600,0.0304000,3611935
1748210400000,0.0304000,0.0317200,0.0303600,0.0316800,14345497
1748214000000,0.0316900,0.0322300,0.0316300,0.0320600,13454825
1748217600000,0.0320800,0.0325900,0.0319200,0.0325700,9045544
1748221200000,0.0325600,0.0328200,0.0322900,0.0326400,9268225
1748224800000,0.0326400,0.0328400,0.0324100,0.0326400,10227871
1748228400000,0.0326500,0.0332200,0.0325400,0.0329400,10402086
1748232000000,0.0329400,0.0333000,0.0328100,0.0330600,16023103
1748235600000,0.0330500,0.0330700,0.0328700,0.0330000,5963766
1748239200000,0.0329900,0.0331100,0.0328100,0.0329900,7079710
1748242800000,0.0329700,0.0333100,0.0329500,0.0333100,10228068
1748246400000,0.0333100,0.0334900,0.0329600,0.0329600,10550073
1748250000000,0.0329600,0.0330900,0.0325500,0.0326500,12049362
1748253600000,0.0326500,0.0327300,0.0323200,0.0324300,5044451
1748257200000,0.0324400,0.0325000,0.0322200,0.0323700,6939466
1748260800000,0.0323700,0.0326500,0.0321600,0.0325600,6663081
1748264400000,0.0325500,0.0327000,0.0318600,0.0318800,14514588
1748268000000,0.0318900,0.0320300,0.0315300,0.0317300,19731785
1748271600000,0.0317400,0.0321900,0.0315900,0.0320500,12162180
1748275200000,0.0320500,0.0322600,0.0313000,0.0315300,11676526
1748278800000,0.0315200,0.0316500,0.0310100,0.0312600,12221928
1748282400000,0.0312700,0.0315600,0.0311700,0.0314000,4811591
1748286000000,0.0314000,0.0316000,0.0312300,0.0314100,3697887
1748289600000,0.0314100,0.0317400,0.0312600,0.0317100,4118201
1748293200000,0.0317100,0.0317800,0.0315500,0.0316300,3199966
1748296800000,0.0316500,0.0318800,0.0315500,0.0315600,6472827
1748300400000,0.0315600,0.0319700,0.0314900,0.0319600,4360028
1748304000000,0.0319600,0.0322400,0.0316700,0.0317100,4971584
1748307600000,0.0317100,0.0317200,0.0308900,0.0313600,12944729
1748311200000,0.0313400,0.0318100,0.0313100,0.0316600,8460523
1748314800000,0.0316600,0.0322400,0.0316600,0.0320400,5845067
1748318400000,0.0320400,0.0322600,0.0318400,0.0320000,5987482
