open_time,open,high,low,close,volume
1747954800000,0.0303200,0.0308100,0.0295800,0.0297200,245092876
1747958400000,0.0297100,0.0303200,0.0288500,0.0290300,468924478
1747962000000,0.0290300,0.0292600,0.0286500,0.0290000,130550276
1747965600000,0.0290100,0.0295200,0.0288900,0.0292100,101228964
1747969200000,0.0292100,0.0292500,0.0289600,0.0290500,65169087
1747972800000,0.0290500,0.0290500,0.0280800,0.0282000,210407007
1747976400000,0.0281900,0.0284300,0.0278800,0.0282700,124898044
1747980000000,0.0282600,0.0283100,0.0277200,0.0278300,101659057
1747983600000,0.0278300,0.0281000,0.0278000,0.0279000,66249311
1747987200000,0.0279000,0.0284200,0.0278400,0.0282500,94032033
1747990800000,0.0282500,0.0292400,0.0282400,0.0290300,157102289
1747994400000,0.0290300,0.0290700,0.0285800,0.0287600,56324489
1747998000000,0.0287600,0.0293100,0.0278200,0.0279700,271401518
1748001600000,0.0279900,0.0283300,0.0274100,0.0277000,236092661
1748005200000,0.0277000,0.0283300,0.0276700,0.0280000,92396961
1748008800000,0.0280000,0.0283700,0.0279900,0.0280100,59616655
1748012400000,0.0280100,0.0281500,0.0276300,0.0276800,48376479
1748016000000,0.0276800,0.0279000,0.0275000,0.0278100,49710364
1748019600000,0.0278000,0.0284000,0.0278000,0.0281000,100486914
1748023200000,0.0280900,0.0282800,0.0278200,0.0278400,44635592
1748026800000,0.0278400,0.0279600,0.0276500,0.0277400,29790164
1748030400000,0.0277400,0.0277600,0.0273700,0.0274900,42387958
1748034000000,0.0274800,0.0275700,0.0271100,0.0272000,37253961
1748037600000,0.0272000,0.0272800,0.0267000,0.0267400,84413354
1748041200000,0.0267400,0.0268300,0.0259300,0.0260800,119263840
1748044800000,0.0260800,0.0279800,0.0259400,0.0271300,358830058
1748048400000,0.0271200,0.0272600,0.0262700,0.0263100,120948186
1748052000000,0.0263100,0.0264600,0.0252800,0.0258000,167786958
1748055600000,0.0258100,0.0260100,0.0256700,0.0259800,52696899
1748059200000,0.0259900,0.0265000,0.0258900,0.0264200,44780441
1748062800000,0.0264100,0.0265500,0.0260300,0.0264900,51229637
1748066400000,0.0264900,0.0265900,0.0261000,0.0262700,43060291
1748070000000,0.0262600,0.0265900,0.0261100,0.0262300,31989069
1748073600000,0.0262400,0.0263600,0.0260300,0.0262400,27109009
1748077200000,0.0262400,0.0265400,0.0257500,0.0257900,73637931
1748080800000,0.0257800,0.0260300,0.0253800,0.0260200,74401860
