open_time,open,high,low,close,volume
1747954800000,24.9000,25.2760,24.9000,25.2500,288978
1747958400000,25.2500,25.4450,25.1230,25.1680,653834
1747962000000,25.1670,25.4270,25.0360,25.3380,456246
1747965600000,25.3390,25.8500,25.3390,25.6490,762682
1747969200000,25.6480,25.8480,25.6320,25.7330,424740
1747972800000,25.7330,25.8300,25.3370,25.5530,556604
1747976400000,25.5520,25.6690,25.2810,25.4360,409905
1747980000000,25.4340,25.4430,24.9110,25.0190,785388
1747983600000,25.0200,25.3190,25.0120,25.1000,432113
1747987200000,25.1010,25.5740,25.0950,25.5090,444239
1747990800000,25.5090,25.9700,25.4320,25.9430,684864
1747994400000,25.9440,25.9680,25.5920,25.6350,568339
1747998000000,25.6350,25.7890,24.2810,24.4550,2138188
1748001600000,24.4510,24.4810,23.6630,24.2430,2524122
1748005200000,24.2440,24.8900,24.1160,24.8650,1240862
1748008800000,24.8630,24.9950,24.5880,24.8570,752583
1748012400000,24.8560,24.9870,24.4360,24.4720,796990
1748016000000,24.4720,24.5920,24.1390,24.4420,943070
1748019600000,24.4390,24.6410,24.3480,24.3840,402606
1748023200000,24.3840,24.4510,24.0780,24.1400,670196
1748026800000,24.1380,24.2640,23.9880,24.0170,418832
1748030400000,24.0160,24.0220,23.6560,23.6830,587683
1748034000000,23.6840,23.9200,23.6000,23.6790,509254
1748037600000,23.6790,23.8620,23.5140,23.5160,453726
1748041200000,23.5160,23.5640,22.9010,23.0630,1129446
1748044800000,23.0620,23.2980,22.9300,22.9720,602906
1748048400000,22.9720,23.2600,22.9340,23.0280,368094
1748052000000,23.0270,23.3120,22.9240,23.2360,304331
1748055600000,23.2340,23.4550,23.1890,23.2720,356708
1748059200000,23.2730,23.4140,23.1830,23.3690,320328
1748062800000,23.3690,23.3780,23.0630,23.1810,385814
1748066400000,23.1810,23.2600,22.9800,23.1460,357026
1748070000000,23.1440,23.2460,22.9870,23.1230,348884
1748073600000,23.1230,23.1550,22.8520,23.1390,445183
1748077200000,23.1400,23.2500,23.0480,23.0730,404125
1748080800000,23.0730,23.4360,23.0320,23.3470,551791
1748084400000,23.3470,23.4180,23.1840,23.2080,378800
1748088000000,23.2100,23.2680,23.0810,23.1700,365282
1748091600000,23.1710,23.2040,22.9690,22.9940,291856
1748095200000,22.9930,23.2020,22.9710,23.1580,340545
1748098800000,23.1580,23.2430,22.9800,23.1220,422648
1748102400000,23.1220,23.1260,22.8970,23.0610,345536
1748106000000,23.0600,23.1760,22.9460,22.9520,313705
1748109600000,22.9520,23.0620,22.7770,22.8350,355960
1748113200000,22.8350,23.0090,22.8120,23.0090,291205
1748116800000,23.0080,23.1020,22.9580,22.9940,222017
1748120400000,22.9930,23.0080,22.7160,22.9460,306783
1748124000000,22.9470,22.9630,22.8010,22.8240,206360
1748127600000,22.8250,22.9740,22.7350,22.9370,284806
1748131200000,22.9380,23.1270,22.5950,22.6720,703402
1748134800000,22.6710,22.7420,22.4580,22.6430,508080
1748138400000,22.6440,22.8380,22.5450,22.7990,276175
1748142000000,22.8030,22.9470,22.7940,22.8920,193747
1748145600000,22.8920,22.9170,22.7850,22.9020,151142
1748149200000,22.9010,22.9080,22.7360,22.8190,164683
1748152800000,22.8180,22.8280,22.6330,22.6860,203853
1748156400000,22.6860,22.6880,22.4120,22.4570,381409
1748160000000,22.4570,22.4590,22.1230,22.2030,767151
1748163600000,22.2020,22.3330,22.1040,22.3240,453462
1748167200000,22.3240,22.3620,22.1250,22.1460,301943
1748170800000,22.1470,22.4240,22.0890,22.3520,400015
1748174400000,22.3500,22.4800,22.2610,22.4720,368882
1748178000000,22.4700,22.5590,22.3080,22.4270,401325
1748181600000,22.4280,22.4720,22.2020,22.2630,349700
1748185200000,22.2640,22.3000,22.0180,22.2520,726792
1748188800000,22.2540,22.2540,22.0750,22.2220,329436
1748192400000,22.2220,22.3400,22.2140,22.3070,221125
1748196000000,22.3020,22.3820,22.2310,22.2960,227299
1748199600000,22.2960,22.5460,22.2740,22.4720,234602
1748203200000,22.4730,22.4900,22.3420,22.4180,231593
1748206800000,22.4180,22.5040,22.2730,22.3900,229873
1748210400000,22.3910,23.4230,22.3600,23.3520,1104872
1748214000000,23.3520,23.4590,23.1200,23.4300,740395
1748217600000,23.4320,23.7670,23.3030,23.7270,688677
1748221200000,23.7280,23.7980,23.4310,23.5530,372410
1748224800000,23.5530,23.5820,23.2500,23.2610,368988
1748228400000,23.2620,23.4410,23.2090,23.3530,327958
1748232000000,23.3530,23.4560,23.3030,23.4020,311368
1748235600000,23.4020,23.4640,23.3060,23.4310,213174
1748239200000,23.4300,23.7890,23.3760,23.7560,459279
1748242800000,23.7540,23.9320,23.6300,23.8940,709775
1748246400000,23.8930,23.9930,23.6190,23.6460,586518
1748250000000,23.6460,23.8400,23.5680,23.5990,382225
1748253600000,23.5990,23.7600,23.5100,23.5820,299178
1748257200000,23.5810,23.7310,23.5150,23.6870,245816
1748260800000,23.6870,23.8260,23.5510,23.7730,390219
1748264400000,23.7720,23.8620,23.2570,23.3420,661300
1748268000000,23.3420,23.4380,23.1620,23.3720,582766
1748271600000,23.3730,23.6470,23.2490,23.4730,516655
1748275200000,23.4750,23.5370,23.0310,23.1240,777315
1748278800000,23.1260,23.2300,22.9200,23.0380,459480
1748282400000,23.0390,23.1660,22.9560,22.9900,259037
1748286000000,22.9910,23.0620,22.8620,22.9720,303271
1748289600000,22.9720,23.1540,22.8860,23.1070,327810
1748293200000,23.1060,23.1500,23.0000,23.0860,178803
1748296800000,23.0850,23.2590,22.9210,22.9390,294904
1748300400000,22.9400,23.0910,22.8710,23.0470,195934
1748304000000,23.0490,23.1900,22.8080,22.8650,332908
1748307600000,22.8640,22.8650,22.4920,22.7120,700708
1748311200000,22.7120,22.9230,22.6820,22.7820,244447
1748314800000,22.7800,23.1320,22.7750,23.0150,296721
1748318400000,23.0140,23.7070,22.9870,23.5050,743263
1748322000000,23.5050,23.6230,23.3060,23.5620,522692
1748325600000,23.5620,23.8630,23.3150,23.3290,841169
1748329200000,23.3300,23.5950,23.3230,23.4880,429276
1748332800000,23.4900,23.7540,23.4900,23.6040,512203
1748336400000,23.6030,23.6820,23.5130,23.6350,308828
1748340000000,23.6360,23.6540,23.4870,23.5360,191055
1748343600000,23.5350,23.6160,23.3800,23.6120,294161
1748347200000,23.6120,23.7550,23.5330,23.6080,442512
1748350800000,23.6080,23.8710,23.4300,23.4570,862380
1748354400000,23.4560,23.5430,23.1010,23.2950,840682
1748358000000,23.2950,23.5100,23.2020,23.4360,401524
1748361600000,23.4360,23.5990,23.2940,23.4920,445857
1748365200000,23.4910,23.8340,23.4070,23.7170,596784
1748368800000,23.7190,23.7670,23.4300,23.5110,391376
1748372400000,23.5110,23.5540,23.3600,23.4020,282768
1748376000000,23.4020,23.5310,23.3310,23.5080,249586
1748379600000,23.5060,23.5620,23.2140,23.2820,311611
1748383200000,23.2830,23.3640,23.1550,23.2700,293149
1748386800000,23.2700,23.3860,23.2290,23.3610,175742
1748390400000,23.3610,23.5970,23.2800,23.5960,274253
1748394000000,23.5960,23.6990,23.4640,23.4770,336692
1748397600000,23.4760,23.6370,23.3400,23.5890,317338
1748401200000,23.5880,23.7120,23.5460,23.5600,283821
1748404800000,23.5590,23.6160,23.3560,23.5210,287116
1748408400000,23.5190,23.5210,23.3500,23.4550,256973
1748412000000,23.4550,23.4550,23.1730,23.2050,287371
1748415600000,23.2020,23.3920,23.1320,23.2720,256177
1748419200000,23.2730,23.5290,23.1910,23.4550,353742
1748422800000,23.4540,23.4760,23.1760,23.2060,287834
1748426400000,23.2070,23.5200,23.0510,23.4800,451756
1748430000000,23.4810,23.5670,23.3830,23.5500,289968
1748433600000,23.5490,23.7630,23.4490,23.6170,590380
1748437200000,23.6170,23.6390,23.2120,23.2350,605072
1748440800000,23.2340,23.3110,23.0010,23.0190,773112
1748444400000,23.0170,23.1200,22.8330,22.8560,751528
1748448000000,22.8560,23.1220,22.8470,23.1170,329473
1748451600000,23.1150,23.3920,23.0870,23.1200,420275
1748455200000,23.1190,23.1790,22.8800,22.9090,317868
1748458800000,22.9080,23.0840,22.7700,22.8060,407389
1748462400000,22.8060,23.1300,22.7520,23.0870,422902
1748466000000,23.0880,23.2990,23.0300,23.2310,301607
1748469600000,23.2320,23.2800,23.0030,23.0400,217678
1748473200000,23.0410,23.6000,23.0360,23.5990,598490
1748476800000,23.5990,23.9560,23.4280,23.9460,805195
1748480400000,23.9470,24.0180,23.5820,23.8020,695681
1748484000000,23.8020,24.2810,23.6040,24.2400,815502
1748487600000,24.2400,24.3400,24.1020,24.1910,656666
1748491200000,24.1900,24.3060,23.4810,23.7460,941969
1748494800000,23.7480,23.7860,23.5460,23.6320,425910
1748498400000,23.6320,23.8140,23.5910,23.6700,318336
1748502000000,23.6700,23.7730,23.5670,23.7130,255294
1748505600000,23.7140,23.8040,23.5300,23.6390,479345
1748509200000,23.6390,23.6830,23.4440,23.4880,371586
1748512800000,23.4890,23.5420,23.3700,23.4630,365670
1748516400000,23.4630,23.5390,23.3370,23.4110,348934
1748520000000,23.4110,23.4110,23.1360,23.1870,558745
1748523600000,23.1860,23.2920,22.9360,22.9620,669375
1748527200000,22.9610,23.0490,22.6600,22.9980,1127851
1748530800000,22.9940,23.0280,22.7380,22.7720,472152
1748534400000,22.7740,22.8520,22.6460,22.7290,662873
1748538000000,22.7270,22.9790,22.6520,22.8500,739419
1748541600000,22.8510,23.0100,22.5800,22.6010,712622
1748545200000,22.6010,22.6730,22.4310,22.6140,700931
1748548800000,22.6140,22.7340,22.5600,22.6560,409080
1748552400000,22.6570,22.7500,22.5940,22.7300,248937
1748556000000,22.7310,22.7690,22.4200,22.4350,335669
1748559600000,22.4360,22.4960,22.1400,22.2360,792145
1748563200000,22.2360,22.3370,20.9330,21.4110,2138456
1748566800000,21.4120,21.6930,21.3670,21.5470,1349833
1748570400000,21.5480,21.8380,21.5050,21.7050,545229
1748574000000,21.7050,21.8270,21.6340,21.8130,325025
1748577600000,21.8130,21.8400,21.6550,21.7750,304523
1748581200000,21.7750,21.8560,21.7040,21.8200,316733
1748584800000,21.8190,21.8280,21.2810,21.4090,621647
1748588400000,21.4090,21.6200,21.3440,21.4240,581147
1748592000000,21.4250,21.6000,21.3050,21.4480,515839
1748595600000,21.4480,21.5800,21.2690,21.5480,518693
1748599200000,21.5470,21.5940,21.3640,21.5690,328408
1748602800000,21.5690,21.8590,21.5540,21.7820,607791
1748606400000,21.7830,21.8630,21.4300,21.7830,797078
1748610000000,21.7880,21.8620,21.4000,21.4460,721614
1748613600000,21.4480,21.6760,21.4090,21.5930,485291
1748617200000,21.5930,21.7710,21.4510,21.4670,426878
1748620800000,21.4670,21.5600,20.7200,20.9860,1798196
1748624400000,20.9860,21.1750,20.9050,21.1050,667008
1748628000000,21.1050,21.3590,21.0580,21.3390,466452
1748631600000,21.3390,21.3560,21.2210,21.2590,307863
1748635200000,21.2580,21.3270,21.1600,21.1950,310613
1748638800000,21.1950,21.2500,21.0110,21.0590,328240
1748642400000,21.0600,21.1020,20.5630,20.5770,910513
1748646000000,20.5780,20.7270,20.3850,20.5350,1015554
1748649600000,20.5320,20.5810,20.0820,20.1780,1094393
1748653200000,20.1800,20.3620,19.8610,20.1030,1090175
1748656800000,20.1030,20.2980,19.9270,19.9480,516696
1748660400000,19.9480,20.1190,19.7590,20.0560,630140
1748664000000,20.0570,20.1730,19.8070,20.1530,541192
1748667600000,20.1550,20.2030,19.9920,19.9950,362404
1748671200000,19.9970,20.2420,19.9730,20.1610,293499
1748674800000,20.1610,20.2170,20.0650,20.1300,254683
1748678400000,20.1310,20.2500,20.0560,20.2040,356081
1748682000000,20.2020,20.2970,20.0780,20.1150,321538
1748685600000,20.1160,20.3330,20.0530,20.1670,374200
1748689200000,20.1670,20.1960,20.0700,20.1890,192973
1748692800000,20.1890,20.5460,20.1540,20.5400,405162
1748696400000,20.5380,20.7780,20.4680,20.5530,581367
1748700000000,20.5530,20.7220,20.5350,20.7020,326715
1748703600000,20.7030,20.8300,20.6030,20.6580,552782
1748707200000,20.6590,20.9780,20.6010,20.9420,491956
1748710800000,20.9430,20.9530,20.6700,20.6860,372013
1748714400000,20.6860,20.9060,20.6660,20.8820,252930
1748718000000,20.8830,21.0000,20.8320,20.8770,250973
1748721600000,20.8760,21.0030,20.7990,20.9800,237161
1748725200000,20.9780,21.1160,20.9100,20.9570,356644
1748728800000,20.9580,20.9860,20.8170,20.8420,189051
1748732400000,20.8410,20.9720,20.7520,20.7860,404456
1748736000000,20.7850,20.8050,20.6630,20.7480,278984
1748739600000,20.7480,20.8300,20.5600,20.6230,231671
1748743200000,20.6220,20.7250,20.4910,20.6760,317542
1748746800000,20.6760,20.7220,20.5380,20.6570,169732
1748750400000,20.6590,20.8940,20.6280,20.8420,171009
1748754000000,20.8410,20.9260,20.7340,20.7730,143879
1748757600000,20.7720,20.7880,20.6310,20.6550,176814
1748761200000,20.6540,20.7020,20.5890,20.6580,159610
1748764800000,20.6570,20.6820,20.5360,20.6000,207510
1748768400000,20.6010,20.6540,20.2520,20.3620,619973
1748772000000,20.3610,20.4280,20.2500,20.3900,375905
1748775600000,20.3910,20.4740,20.3260,20.3900,251670
1748779200000,20.3900,20.4030,20.1510,20.2640,292099
1748782800000,20.2630,20.4820,20.2400,20.4240,269579
1748786400000,20.4250,20.7400,20.4240,20.6300,425635
