open_time,open,high,low,close,volume
1747954800000,441.22,445.70,440.06,443.98,20256.697
1747958400000,443.99,449.00,443.11,445.82,25481.072
1747962000000,445.81,447.32,442.31,443.43,16012.504
1747965600000,443.43,464.40,442.99,451.04,53712.935
1747969200000,451.04,454.95,450.86,451.47,15828.617
1747972800000,451.45,452.74,442.14,449.86,30487.364
1747976400000,449.85,451.59,448.03,448.99,10630.489
1747980000000,448.98,449.30,435.76,436.49,65958.902
1747983600000,436.47,438.67,433.97,435.42,28405.572
1747987200000,435.43,438.64,435.37,436.76,13088.022
1747990800000,436.77,443.50,435.71,441.81,38660.803
1747994400000,441.81,441.92,438.14,441.28,11230.493
1747998000000,441.28,441.48,427.70,432.30,47339.296
1748001600000,432.30,432.93,423.48,432.49,77041.885
1748005200000,432.50,438.94,431.19,438.12,23187.409
1748008800000,438.14,445.75,438.14,441.05,25888.048
1748012400000,441.05,445.68,440.94,442.92,26986.745
1748016000000,442.94,445.05,438.53,444.21,26164.064
1748019600000,444.21,445.25,442.35,442.83,17028.147
1748023200000,442.80,443.82,440.46,441.57,13933.300
1748026800000,441.56,444.19,437.73,438.84,11285.466
1748030400000,438.83,438.95,432.57,432.69,13511.884
1748034000000,432.68,437.35,432.54,434.13,13354.236
1748037600000,434.14,436.92,430.64,430.64,9473.820
1748041200000,430.71,431.33,424.12,426.19,17270.382
1748044800000,426.19,429.04,423.85,424.34,19190.325
1748048400000,424.33,432.26,424.17,430.16,15303.540
1748052000000,430.16,430.29,426.31,429.19,11727.760
1748055600000,429.19,431.70,428.66,429.24,8199.782
1748059200000,429.24,430.95,427.55,430.16,6734.754
1748062800000,430.17,430.59,427.49,429.74,4605.930
1748066400000,429.73,430.57,426.46,428.21,10182.446
1748070000000,428.20,430.02,426.50,427.39,6594.180
1748073600000,427.40,430.44,426.02,430.07,7846.029
1748077200000,430.07,430.52,427.37,427.82,5805.747
1748080800000,427.81,431.32,426.93,430.35,8542.650
1748084400000,430.38,431.24,427.76,428.57,7313.649
1748088000000,428.57,428.87,426.65,427.97,5991.427
1748091600000,427.99,428.18,426.44,426.87,3481.514
1748095200000,426.84,428.27,425.57,427.94,5524.670
1748098800000,427.94,429.69,426.03,427.08,6100.313
1748102400000,427.07,430.38,426.15,428.37,7881.781
1748106000000,428.37,429.69,425.93,425.93,5255.383
1748109600000,425.91,428.89,424.47,424.88,6863.313
1748113200000,424.88,426.07,423.98,424.38,4581.546
1748116800000,424.37,427.28,423.62,426.06,6536.703
1748120400000,426.07,426.50,420.26,424.60,7126.691
1748124000000,424.65,424.75,420.36,421.14,5715.664
1748127600000,421.14,422.19,418.88,421.09,9853.907
1748131200000,421.15,422.44,415.59,417.76,19338.275
1748134800000,417.75,421.02,415.85,420.38,13717.586
1748138400000,420.39,421.08,417.62,419.66,5547.355
1748142000000,419.65,422.74,419.37,421.82,5786.094
1748145600000,421.82,425.87,420.27,425.27,8056.515
1748149200000,425.26,427.42,423.65,424.13,7537.115
1748152800000,424.14,424.71,423.00,424.56,2961.321
1748156400000,424.56,424.56,419.58,420.92,9704.457
1748160000000,420.91,420.92,415.50,416.43,22653.424
1748163600000,416.48,416.48,413.09,415.48,12531.770
1748167200000,415.49,415.94,411.43,412.04,9656.141
1748170800000,412.04,413.62,409.68,413.28,12747.117
1748174400000,413.29,414.63,411.25,414.34,9010.983
1748178000000,414.35,415.64,412.67,414.05,6846.858
1748181600000,414.06,414.33,410.42,411.38,8429.564
1748185200000,411.39,412.92,407.30,412.64,16966.151
1748188800000,412.64,412.64,408.01,411.00,7846.956
1748192400000,411.01,413.03,409.71,411.65,5567.242
1748196000000,411.66,413.43,411.15,411.94,4340.990
1748199600000,411.94,417.21,411.34,415.26,6018.389
1748203200000,415.27,415.48,412.34,412.69,5532.035
1748206800000,412.69,413.69,409.51,410.37,6704.296
1748210400000,410.38,420.37,410.38,420.27,14372.750
1748214000000,420.27,422.88,419.44,422.32,12688.204
1748217600000,422.31,425.86,420.87,425.73,25974.439
1748221200000,425.72,428.99,423.52,424.35,15169.719
1748224800000,424.35,424.77,422.06,422.84,8690.283
1748228400000,422.85,425.18,422.09,424.89,4843.450
1748232000000,424.89,425.35,424.05,424.31,6239.932
1748235600000,424.31,425.78,423.27,424.55,4680.455
