open_time,open,high,low,close,volume
1747954800000,0.0470600,0.0490500,0.0470400,0.0484900,2614944
1747958400000,0.0484400,0.0492700,0.0481600,0.0489300,1025267
1747962000000,0.0489300,0.0499300,0.0484900,0.0498300,2157453
1747965600000,0.0498300,0.0507100,0.0496500,0.0499500,1841684
1747969200000,0.0499200,0.0506900,0.0498600,0.0499900,585359
1747972800000,0.0500000,0.0506800,0.0494500,0.0501600,2075228
1747976400000,0.0501600,0.0502400,0.0492200,0.0498800,1875410
1747980000000,0.0499100,0.0499600,0.0479700,0.0482400,2648708
1747983600000,0.0482500,0.0488000,0.0480000,0.0480900,1190187
1747987200000,0.0481100,0.0494100,0.0478200,0.0492100,964646
1747990800000,0.0492300,0.0498700,0.0490300,0.0498500,793867
1747994400000,0.0498300,0.0503500,0.0494600,0.0502100,2049623
1747998000000,0.0501900,0.0502200,0.0463500,0.0465200,4149152
1748001600000,0.0466000,0.0471400,0.0451300,0.0459400,4828434
1748005200000,0.0459600,0.0472900,0.0458600,0.0471300,1369701
1748008800000,0.0471200,0.0475000,0.0469300,0.0473500,1381765
1748012400000,0.0472800,0.0473600,0.0463000,0.0463200,1184980
1748016000000,0.0463000,0.0465100,0.0458600,0.0464200,797666
1748019600000,0.0464300,0.0467400,0.0463200,0.0465400,566238
1748023200000,0.0465100,0.0466500,0.0457700,0.0458900,665555
1748026800000,0.0459400,0.0465900,0.0458600,0.0462300,813173
1748030400000,0.0462400,0.0462800,0.0453100,0.0454400,644982
1748034000000,0.0454700,0.0459300,0.0453300,0.0456800,769787
1748037600000,0.0456900,0.0460300,0.0450400,0.0451900,556172
1748041200000,0.0451600,0.0453100,0.0439400,0.0444300,2217792
1748044800000,0.0443800,0.0445700,0.0436400,0.0437100,2203563
1748048400000,0.0436900,0.0445000,0.0436700,0.0441300,820702
1748052000000,0.0441100,0.0443900,0.0439000,0.0443100,496654
1748055600000,0.0443000,0.0450800,0.0442200,0.0450500,860086
1748059200000,0.0450000,0.0451300,0.0445300,0.0449500,625473
1748062800000,0.0449600,0.0449600,0.0443700,0.0445000,810735
1748066400000,0.0445100,0.0446900,0.0440800,0.0445100,660421
1748070000000,0.0445100,0.0449500,0.0443700,0.0444800,466769
1748073600000,0.0445100,0.0446700,0.0440800,0.0443000,623091
1748077200000,0.0443000,0.0445600,0.0440300,0.0443700,487962
1748080800000,0.0443600,0.0451900,0.0441900,0.0450300,780038
1748084400000,0.0450500,0.0451300,0.0444100,0.0445600,698360
1748088000000,0.0445600,0.0446400,0.0442200,0.0444500,337389
1748091600000,0.0444800,0.0446200,0.0439500,0.0440300,754897
1748095200000,0.0440100,0.0445000,0.0439900,0.0443800,676994
1748098800000,0.0444100,0.0444400,0.0430900,0.0437000,2117967
1748102400000,0.0437500,0.0444500,0.0431800,0.0443500,1531797
1748106000000,0.0443400,0.0449100,0.0439100,0.0440500,1366646
1748109600000,0.0440200,0.0444300,0.0438200,0.0439200,515741
1748113200000,0.0438900,0.0439800,0.0436200,0.0437100,509166
1748116800000,0.0436900,0.0437700,0.0435100,0.0435400,308724
1748120400000,0.0435600,0.0438000,0.0431400,0.0435500,619297
1748124000000,0.0435600,0.0437300,0.0431900,0.0432800,507930
1748127600000,0.0432100,0.0436700,0.0430100,0.0433900,943627
1748131200000,0.0434000,0.0435800,0.0412000,0.0419400,5832267
1748134800000,0.0419100,0.0420700,0.0414600,0.0417500,1170109
1748138400000,0.0417500,0.0422300,0.0414400,0.0421900,851571
1748142000000,0.0421900,0.0424600,0.0421200,0.0422600,710410
1748145600000,0.0422600,0.0422600,0.0416600,0.0419100,615818
1748149200000,0.0418800,0.0421700,0.0415400,0.0417600,1089911
1748152800000,0.0417200,0.0417400,0.0410300,0.0414400,1358338
1748156400000,0.0414000,0.0414000,0.0404800,0.0411700,1652268
1748160000000,0.0411900,0.0412300,0.0404100,0.0407000,1306384
1748163600000,0.0407100,0.0415000,0.0401500,0.0406300,3803272
1748167200000,0.0406100,0.0406100,0.0400700,0.0401700,1728772
1748170800000,0.0402000,0.0404400,0.0400000,0.0402700,1520803
1748174400000,0.0402400,0.0411900,0.0400700,0.0411300,1738396
1748178000000,0.0411000,0.0414600,0.0401300,0.0405100,2497389
1748181600000,0.0405200,0.0406700,0.0398300,0.0400100,1487755
1748185200000,0.0400200,0.0401100,0.0389900,0.0399100,4454616
1748188800000,0.0399100,0.0399100,0.0392700,0.0395900,1037738
1748192400000,0.0395900,0.0398700,0.0395000,0.0396500,640593
1748196000000,0.0396600,0.0399300,0.0396100,0.0397100,469115
1748199600000,0.0397100,0.0403000,0.0395500,0.0400400,1170819
1748203200000,0.0400200,0.0401900,0.0398100,0.0398500,520465
1748206800000,0.0398500,0.0399600,0.0393600,0.0395000,686569
1748210400000,0.0395200,0.0409200,0.0394300,0.0408100,1779900
1748214000000,0.0408200,0.0409500,0.0405100,0.0408000,978541
1748217600000,0.0408000,0.0410000,0.0403700,0.0409800,786100
1748221200000,0.0409700,0.0416600,0.0406300,0.0416100,2366380
1748224800000,0.0416100,0.0417300,0.0410800,0.0416100,1189415
1748228400000,0.0416000,0.0421600,0.0414900,0.0417900,1079928
1748232000000,0.0418300,0.0424000,0.0417800,0.0420300,1061255
1748235600000,0.0420400,0.0424000,0.0417600,0.0421800,1409381
1748239200000,0.0421600,0.0422700,0.0418800,0.0420200,591652
1748242800000,0.0420100,0.0423400,0.0417300,0.0420400,1329819
1748246400000,0.0420600,0.0435000,0.0419700,0.0426300,4569073
1748250000000,0.0426900,0.0435400,0.0421400,0.0421700,6268379
1748253600000,0.0421800,0.0432600,0.0421200,0.0424600,3443331
1748257200000,0.0424800,0.0434000,0.0422800,0.0428900,2360996
1748260800000,0.0429200,0.0437000,0.0428200,0.0437000,903439
1748264400000,0.0436600,0.0439800,0.0422900,0.0426400,5995279
1748268000000,0.0426400,0.0439200,0.0423400,0.0431100,7739452
1748271600000,0.0432000,0.0439900,0.0431100,0.0438300,1517262
1748275200000,0.0438300,0.0444400,0.0430000,0.0433500,3320305
1748278800000,0.0434300,0.0436800,0.0428600,0.0430300,1316066
