open_time,open,high,low,close,volume
1747954800000,683.560,686.690,683.560,686.490,20028.25
1747958400000,686.490,686.680,683.770,685.330,20815.72
1747962000000,685.320,688.650,684.330,687.960,17985.58
1747965600000,687.970,691.540,687.350,689.250,40923.97
1747969200000,689.250,691.660,687.540,688.110,24540.12
1747972800000,688.100,689.590,683.870,686.770,27925.26
1747976400000,686.780,689.260,685.840,688.680,19125.04
1747980000000,688.690,690.150,682.580,684.340,39320.19
1747983600000,684.350,688.230,682.340,682.670,29653.34
1747987200000,682.670,685.310,682.320,684.960,18578.33
1747990800000,684.960,687.320,684.500,687.110,15354.20
1747994400000,687.110,687.370,683.210,683.860,13576.48
1747998000000,683.870,683.950,670.310,672.370,107441.08
1748001600000,672.370,672.650,660.590,665.260,154743.48
1748005200000,665.260,673.250,663.910,673.150,70294.57
1748008800000,673.150,675.260,672.110,673.340,53659.96
1748012400000,673.330,674.450,670.650,670.780,29581.93
1748016000000,670.780,671.290,665.990,669.610,34165.82
1748019600000,669.610,671.170,667.870,669.150,16256.04
1748023200000,669.140,669.150,666.300,667.080,20680.72
1748026800000,667.090,667.780,665.160,665.630,14172.63
1748030400000,665.630,665.660,662.220,662.900,22107.36
1748034000000,662.910,664.300,660.650,662.290,21181.19
1748037600000,662.290,664.080,659.090,659.900,21287.83
1748041200000,659.910,660.380,653.600,656.850,40267.74
1748044800000,656.850,661.410,655.310,659.400,24952.04
1748048400000,659.400,663.560,659.310,660.290,16437.12
1748052000000,660.280,664.000,659.740,663.960,13983.87
1748055600000,663.950,666.500,663.040,664.630,22920.23
1748059200000,664.620,668.000,664.400,667.830,20003.81
1748062800000,667.840,669.320,666.600,668.330,20335.99
1748066400000,668.340,670.980,666.450,668.840,27902.35
1748070000000,668.850,671.720,667.900,668.340,27289.73
1748073600000,668.350,672.780,668.340,671.640,24139.93
1748077200000,671.650,673.780,670.790,671.640,20913.31
1748080800000,671.630,677.270,671.350,676.500,43341.52
1748084400000,676.500,676.790,673.780,674.660,17673.93
1748088000000,674.670,676.000,673.960,675.990,16325.43
1748091600000,675.990,676.130,671.500,672.190,17492.36
1748095200000,672.180,674.430,671.580,674.010,11474.53
1748098800000,674.000,674.510,672.260,674.160,9610.51
1748102400000,674.150,675.460,672.790,675.360,9674.77
1748106000000,675.360,676.550,673.890,675.680,8938.82
1748109600000,675.670,676.810,674.680,675.450,9460.81
1748113200000,675.440,676.850,675.070,676.740,8382.02
1748116800000,676.730,676.940,671.800,672.600,21073.73
1748120400000,672.590,673.100,669.750,671.650,19315.48
1748124000000,671.660,671.660,669.050,669.440,15523.58
1748127600000,669.440,669.450,666.000,667.890,24659.96
