open_time,open,high,low,close,volume
1747954800000,110974.10,111692.90,110974.10,111662.70,4967.210
1747958400000,111662.60,111770.40,111338.70,111570.40,7724.805
1747962000000,111570.50,111699.60,111144.20,111284.50,6563.994
1747965600000,111284.60,111567.30,111126.10,111213.90,4983.126
1747969200000,111213.90,111316.00,110958.50,111044.00,3687.515
1747972800000,111044.00,111143.30,110483.60,110793.60,8443.923
1747976400000,110793.70,110905.60,110605.60,110810.30,3570.847
1747980000000,110810.40,110810.40,110351.50,110475.70,6908.920
1747983600000,110475.80,110820.00,110470.40,110685.20,4837.879
1747987200000,110685.30,110998.80,110677.70,110890.00,3837.952
1747990800000,110890.10,111348.00,110861.80,111282.10,5211.904
1747994400000,111282.20,111295.00,110773.10,111012.50,5103.378
1747998000000,111012.60,111063.70,108816.00,109033.20,30984.026
1748001600000,109033.20,109080.70,107250.00,108401.10,49038.892
1748005200000,108401.10,109698.00,107914.50,109603.40,28125.229
1748008800000,109603.40,109969.60,109423.30,109616.70,15682.759
1748012400000,109616.50,109813.00,108858.80,108892.40,16008.244
1748016000000,108892.50,109173.60,107950.00,109027.00,21272.879
1748019600000,109027.10,109760.00,108963.90,109361.20,10694.016
1748023200000,109361.10,109437.80,108600.00,108743.80,8721.537
1748026800000,108743.90,109120.00,108531.80,108659.40,5524.197
1748030400000,108659.50,108677.20,108119.10,108189.90,5048.821
1748034000000,108190.00,108635.50,108000.00,108242.40,4709.966
1748037600000,108242.40,108533.30,107588.00,107747.20,7348.481
1748041200000,107747.30,107863.00,106721.90,107271.50,15447.057
1748044800000,107271.60,107640.90,106836.00,107325.10,8841.573
1748048400000,107325.20,107836.80,107306.10,107437.50,4903.825
1748052000000,107437.60,107855.10,107188.10,107752.70,4468.089
1748055600000,107752.60,108330.60,107698.30,108306.80,6169.352
1748059200000,108306.70,108520.00,108238.10,108438.30,3505.200
1748062800000,108438.40,108476.40,108065.30,108193.20,4715.178
1748066400000,108193.10,108289.70,107640.80,107916.80,7502.645
1748070000000,107916.90,108181.80,107520.00,107550.60,5823.421
1748073600000,107550.70,108250.00,107546.10,108205.40,6396.962
1748077200000,108205.40,108385.00,108108.10,108122.20,4732.354
1748080800000,108122.20,109222.00,108115.00,109043.50,13922.210
1748084400000,109043.60,109440.20,109043.50,109152.20,9372.158
1748088000000,109152.20,109227.10,108556.00,108741.30,9394.752
1748091600000,108741.20,108849.90,108495.80,108564.30,3900.156
1748095200000,108564.20,108988.60,108550.00,108913.00,5591.697
1748098800000,108913.10,109169.60,108778.50,108889.20,10530.794
1748102400000,108889.10,109057.80,108647.10,108959.70,10112.744
1748106000000,108959.70,109165.80,108839.00,108876.30,5390.416
1748109600000,108876.20,109040.60,108737.00,108780.70,1633.722
1748113200000,108780.60,108971.30,108730.90,108912.70,1820.485
1748116800000,108912.70,109084.80,108813.50,108817.10,1754.616
1748120400000,108817.00,108824.90,108530.00,108788.40,1868.558
1748124000000,108788.50,108788.50,107923.10,108052.80,9612.478
1748127600000,108052.80,108366.00,107394.70,107698.90,23195.373
1748131200000,107699.00,108082.80,107234.00,107392.50,9385.630
1748134800000,107392.40,107958.00,107142.00,107602.30,7346.380
1748138400000,107602.40,107947.00,107422.20,107877.30,4174.015
1748142000000,107877.30,108210.00,107857.30,108045.40,4035.542
1748145600000,108045.40,108234.40,107890.80,108196.20,3172.372
1748149200000,108196.20,108250.10,107921.40,108065.10,1969.807
1748152800000,108065.10,108097.90,107631.40,107902.20,4011.555
1748156400000,107902.20,107902.20,107387.80,107637.10,5288.978
1748160000000,107637.10,107650.50,106879.40,107065.30,9806.218
1748163600000,107065.30,107214.70,106653.00,107083.90,11244.887
1748167200000,107083.90,107348.30,106758.40,106903.40,6850.600
1748170800000,106903.40,107235.30,106788.80,107214.00,4963.283
1748174400000,107214.00,107572.40,107145.00,107476.50,7937.818
1748178000000,107476.50,107698.40,107250.00,107474.80,3821.112
1748181600000,107474.70,107592.70,107100.00,107314.90,5025.657
1748185200000,107314.80,107379.50,106497.00,106927.90,16327.508
1748188800000,106928.00,107200.00,106593.40,107129.90,6806.258
1748192400000,107130.00,107330.80,107043.80,107323.00,2524.553
1748196000000,107323.10,107565.30,107212.50,107361.60,2176.948
1748199600000,107361.50,107888.00,107361.00,107656.30,2908.944
1748203200000,107656.30,107706.80,107369.20,107632.00,2552.037
1748206800000,107632.00,107864.70,107118.80,107406.70,3348.869
1748210400000,107406.80,109169.00,107292.30,109122.60,23349.362
1748214000000,109122.60,109285.10,108499.20,108955.90,10437.470
1748217600000,108956.00,109571.10,108616.60,109500.10,9168.767
1748221200000,109500.10,109856.00,109174.50,109500.10,11840.511
1748224800000,109500.10,109738.00,109151.30,109353.20,5808.330
1748228400000,109353.20,109730.00,109233.90,109587.00,4478.383
1748232000000,109587.10,109698.20,109450.00,109497.00,3927.140
1748235600000,109497.00,109648.30,109327.40,109591.60,3640.247
1748239200000,109591.50,109919.80,109475.70,109885.30,4764.096
1748242800000,109885.30,110197.90,109677.40,110049.90,9490.064
1748246400000,110049.90,110138.80,109551.00,109619.90,5234.481
1748250000000,109620.00,109939.00,109545.60,109663.20,4178.418
1748253600000,109663.20,109815.50,109508.80,109589.70,2519.871
1748257200000,109589.70,109791.70,109500.00,109736.70,2946.620
1748260800000,109736.60,110048.20,109608.80,109781.50,3778.301
1748264400000,109781.60,109935.20,109412.90,109549.20,5724.320
1748268000000,109549.10,109700.00,109456.50,109616.10,5896.073
1748271600000,109616.10,110400.00,109486.00,109963.20,14901.373
1748275200000,109963.20,110394.70,109042.30,109347.10,17652.520
1748278800000,109347.10,109662.30,108850.00,109138.00,7659.264
1748282400000,109138.00,109432.90,108957.00,109067.30,4268.358
1748286000000,109067.30,109147.40,108807.00,109074.30,4644.354
1748289600000,109074.40,109615.70,108894.00,109547.70,4318.779
1748293200000,109547.70,109613.40,109085.70,109297.90,2729.611
1748296800000,109297.90,109863.20,109115.20,109143.80,4355.953
1748300400000,109143.80,109420.60,109009.00,109386.80,3066.386
1748304000000,109386.80,109633.80,109084.00,109104.80,3830.727
1748307600000,109104.80,109105.20,107438.00,108354.40,28818.043
1748311200000,108354.40,108659.10,107855.00,108220.00,8364.705
1748314800000,108220.10,109285.40,108220.00,108844.90,10567.158
1748318400000,108845.00,109319.50,108808.50,108895.70,4775.325
1748322000000,108895.60,108937.10,108483.00,108866.40,6288.232
1748325600000,108866.50,109233.10,108780.60,108780.60,6559.859
1748329200000,108780.70,109600.00,108780.60,109488.00,7275.161
1748332800000,109488.00,109729.50,109440.20,109651.30,7002.536
1748336400000,109651.40,109861.50,109366.90,109788.50,8097.338
1748340000000,109788.50,109814.20,109571.50,109647.90,3087.924
1748343600000,109647.90,109729.80,109388.90,109541.80,3843.849
1748347200000,109541.90,109779.70,109388.90,109550.60,4509.636
1748350800000,109550.60,110700.00,109526.20,109791.60,34268.728
