open_time,open,high,low,close,volume
1747954800000,0.821,0.825,0.816,0.823,4663800.0
1747958400000,0.823,0.832,0.811,0.814,11218221.0
1747962000000,0.814,0.825,0.812,0.822,5494465.9
1747965600000,0.823,0.854,0.819,0.851,15294300.8
1747969200000,0.851,0.855,0.838,0.843,10608256.8
1747972800000,0.843,0.856,0.838,0.849,14184640.7
1747976400000,0.850,0.860,0.834,0.843,12424637.0
1747980000000,0.843,0.849,0.826,0.831,11802015.7
1747983600000,0.832,0.837,0.821,0.827,9849482.9
1747987200000,0.827,0.833,0.823,0.831,5280521.1
1747990800000,0.831,0.842,0.825,0.839,5662252.8
1747994400000,0.839,0.840,0.824,0.831,6379406.4
1747998000000,0.830,0.831,0.790,0.799,33390140.8
1748001600000,0.799,0.812,0.769,0.805,58334838.8
1748005200000,0.806,0.832,0.798,0.831,27954233.5
1748008800000,0.831,0.856,0.823,0.838,25605355.3
1748012400000,0.838,0.848,0.815,0.819,18864595.0
1748016000000,0.818,0.833,0.818,0.826,12570850.0
1748019600000,0.826,0.838,0.825,0.831,5083945.2
1748023200000,0.831,0.834,0.822,0.826,5212185.1
1748026800000,0.826,0.834,0.821,0.822,4429627.9
1748030400000,0.822,0.823,0.807,0.809,9386429.1
1748034000000,0.808,0.813,0.798,0.806,9940596.4
1748037600000,0.805,0.812,0.799,0.800,6077612.1
1748041200000,0.799,0.801,0.775,0.782,17999120.6
1748044800000,0.782,0.791,0.772,0.773,12757515.8
1748048400000,0.772,0.782,0.762,0.766,10594910.8
1748052000000,0.766,0.775,0.764,0.773,5747815.7
1748055600000,0.772,0.789,0.770,0.779,10379793.5
1748059200000,0.778,0.785,0.774,0.782,5350165.8
1748062800000,0.782,0.784,0.768,0.773,6323094.0
1748066400000,0.773,0.778,0.768,0.774,5622534.3
1748070000000,0.774,0.785,0.770,0.773,5400268.3
1748073600000,0.773,0.776,0.765,0.774,6734424.3
1748077200000,0.774,0.778,0.772,0.774,5316559.7
1748080800000,0.774,0.794,0.772,0.787,9668547.2
1748084400000,0.787,0.794,0.781,0.784,10240168.4
1748088000000,0.783,0.798,0.779,0.792,9054297.8
1748091600000,0.791,0.797,0.783,0.785,5718955.1
1748095200000,0.784,0.794,0.783,0.792,6308345.2
1748098800000,0.791,0.793,0.785,0.791,5297819.4
1748102400000,0.790,0.791,0.782,0.783,5000637.6
1748106000000,0.784,0.790,0.779,0.780,3708530.4
1748109600000,0.780,0.783,0.767,0.770,5400612.7
