open_time,open,high,low,close,volume
1747954800000,4.914,4.957,4.913,4.946,477393.6
1747958400000,4.947,4.984,4.927,4.956,1340571.4
1747962000000,4.956,5.012,4.934,4.988,1051004.9
1747965600000,4.989,5.100,4.979,5.065,4233248.3
1747969200000,5.064,5.108,5.062,5.104,1047679.7
1747972800000,5.103,5.117,5.002,5.037,1739667.6
1747976400000,5.037,5.043,4.969,5.002,1376169.8
1747980000000,5.001,5.004,4.898,4.916,2410285.7
1747983600000,4.916,4.965,4.907,4.920,1079984.0
1747987200000,4.921,4.973,4.921,4.962,906458.4
1747990800000,4.962,5.013,4.949,5.002,985065.1
1747994400000,5.003,5.004,4.936,4.963,1298327.1
1747998000000,4.963,4.964,4.714,4.744,6135907.5
1748001600000,4.744,4.749,4.588,4.684,9597506.0
1748005200000,4.683,4.771,4.656,4.766,2705140.8
1748008800000,4.766,4.816,4.747,4.777,2153087.1
1748012400000,4.777,4.793,4.706,4.713,1646152.5
1748016000000,4.713,4.740,4.675,4.732,2295727.2
1748019600000,4.732,4.767,4.726,4.742,901874.1
1748023200000,4.742,4.758,4.687,4.697,1235364.6
1748026800000,4.698,4.728,4.684,4.690,824538.7
1748030400000,4.690,4.690,4.639,4.648,1253111.1
1748034000000,4.648,4.677,4.620,4.640,1003325.8
1748037600000,4.640,4.669,4.605,4.605,1191656.3
1748041200000,4.605,4.616,4.527,4.558,2674422.6
1748044800000,4.557,4.605,4.536,4.566,1424151.7
1748048400000,4.565,4.609,4.562,4.574,803400.8
1748052000000,4.574,4.614,4.558,4.606,563251.2
1748055600000,4.605,4.630,4.600,4.613,858069.0
1748059200000,4.612,4.628,4.595,4.616,786446.0
1748062800000,4.617,4.620,4.578,4.593,711887.2
1748066400000,4.594,4.608,4.561,4.586,798249.1
1748070000000,4.586,4.615,4.578,4.589,1091845.8
1748073600000,4.589,4.610,4.571,4.604,1068441.5
1748077200000,4.604,4.615,4.583,4.587,722717.3
1748080800000,4.587,4.629,4.581,4.615,1198063.6
1748084400000,4.615,4.630,4.602,4.605,1015289.2
1748088000000,4.606,4.612,4.581,4.593,743388.5
1748091600000,4.593,4.594,4.563,4.565,778736.6
1748095200000,4.565,4.589,4.556,4.584,708321.1
1748098800000,4.583,4.594,4.554,4.566,829285.5
1748102400000,4.567,4.588,4.540,4.575,1494287.4
1748106000000,4.575,4.598,4.573,4.579,743621.7
1748109600000,4.579,4.608,4.563,4.566,777445.8
1748113200000,4.566,4.591,4.561,4.588,662157.0
1748116800000,4.588,4.604,4.579,4.587,562228.3
1748120400000,4.587,4.588,4.540,4.571,653500.5
1748124000000,4.571,4.572,4.524,4.528,705732.2
1748127600000,4.528,4.552,4.510,4.542,921805.8
1748131200000,4.542,4.562,4.467,4.483,2167604.7
1748134800000,4.483,4.498,4.451,4.475,1261947.7
1748138400000,4.476,4.513,4.456,4.510,780544.1
1748142000000,4.510,4.528,4.507,4.515,563295.8
1748145600000,4.515,4.541,4.501,4.539,560621.6
1748149200000,4.538,4.545,4.523,4.544,408078.7
1748152800000,4.544,4.546,4.520,4.533,449152.1
1748156400000,4.532,4.533,4.490,4.509,674177.2
1748160000000,4.509,4.509,4.431,4.457,1750982.2
1748163600000,4.458,4.469,4.423,4.458,1726098.8
1748167200000,4.459,4.467,4.434,4.438,1095684.0
1748170800000,4.437,4.462,4.429,4.454,921855.7
1748174400000,4.453,4.486,4.431,4.480,1021865.1
1748178000000,4.479,4.489,4.457,4.466,667014.1
1748181600000,4.467,4.472,4.415,4.434,875832.8
1748185200000,4.434,4.440,4.346,4.409,3479192.3
1748188800000,4.409,4.410,4.366,4.406,945362.2
1748192400000,4.405,4.420,4.393,4.411,480111.3
1748196000000,4.412,4.435,4.406,4.416,564108.2
1748199600000,4.416,4.459,4.407,4.441,571351.3
1748203200000,4.442,4.445,4.417,4.424,502312.2
1748206800000,4.424,4.442,4.394,4.410,478488.2
1748210400000,4.410,4.512,4.401,4.509,1859854.7
1748214000000,4.509,4.527,4.482,4.521,884425.1
1748217600000,4.520,4.565,4.491,4.563,1384991.4
1748221200000,4.562,4.572,4.531,4.554,799934.7
1748224800000,4.554,4.557,4.521,4.528,530139.6
1748228400000,4.528,4.570,4.519,4.559,779281.6
1748232000000,4.560,4.572,4.544,4.556,1051544.6
1748235600000,4.555,4.571,4.544,4.564,475239.8
1748239200000,4.564,4.586,4.550,4.579,1283961.5
1748242800000,4.579,4.615,4.578,4.604,1358555.7
1748246400000,4.604,4.606,4.561,4.568,1006690.9
1748250000000,4.569,4.586,4.551,4.557,729502.5
1748253600000,4.557,4.569,4.534,4.546,874606.4
1748257200000,4.545,4.547,4.510,4.519,1135083.2
1748260800000,4.520,4.548,4.501,4.536,1110650.9
1748264400000,4.536,4.551,4.480,4.491,1365260.7
1748268000000,4.491,4.523,4.461,4.488,2072209.7
1748271600000,4.489,4.547,4.474,4.524,1435227.8
1748275200000,4.524,4.545,4.459,4.483,1855977.8
1748278800000,4.482,4.497,4.419,4.439,1554426.5
1748282400000,4.439,4.477,4.427,4.447,891412.4
1748286000000,4.446,4.464,4.433,4.445,642711.9
1748289600000,4.444,4.483,4.430,4.481,691654.4
1748293200000,4.480,4.486,4.455,4.466,521271.0
1748296800000,4.467,4.497,4.447,4.452,660553.8
1748300400000,4.451,4.469,4.437,4.464,544114.0
1748304000000,4.465,4.491,4.438,4.440,591437.7
1748307600000,4.440,4.440,4.368,4.407,2273305.5
1748311200000,4.407,4.434,4.404,4.414,823826.4
1748314800000,4.413,4.453,4.413,4.425,1015856.6
1748318400000,4.424,4.464,4.423,4.442,580967.5
1748322000000,4.442,4.465,4.423,4.463,530590.8
1748325600000,4.464,4.531,4.463,4.484,1901966.7
1748329200000,4.483,4.535,4.482,4.518,821497.4
1748332800000,4.519,4.565,4.519,4.560,1164184.8
1748336400000,4.561,4.572,4.542,4.560,1081426.5
1748340000000,4.560,4.568,4.548,4.558,912624.2
1748343600000,4.557,4.563,4.530,4.558,1120040.2
1748347200000,4.558,4.574,4.536,4.564,867470.4
1748350800000,4.564,4.611,4.546,4.551,2484389.7
