open_time,open,high,low,close,volume
1747954800000,0.4087000,0.4176000,0.4085000,0.4167000,18271192
1747958400000,0.4167000,0.4196000,0.4112000,0.4154000,36148238
1747962000000,0.4154000,0.4279000,0.4133000,0.4272000,45730701
1747965600000,0.4273000,0.4452000,0.4268000,0.4403000,97986775
1747969200000,0.4403000,0.4468000,0.4403000,0.4412000,46257718
1747972800000,0.4412000,0.4445000,0.4339000,0.4401000,52607113
1747976400000,0.4401000,0.4408000,0.4172000,0.4252000,92406527
1747980000000,0.4252000,0.4260000,0.4157000,0.4189000,51450683
1747983600000,0.4190000,0.4279000,0.4170000,0.4182000,55739992
1747987200000,0.4182000,0.4234000,0.4167000,0.4213000,32657249
1747990800000,0.4213000,0.4302000,0.4190000,0.4301000,43005724
1747994400000,0.4301000,0.4308000,0.4222000,0.4264000,42328164
1747998000000,0.4264000,0.4264000,0.3985000,0.4006000,150461734
1748001600000,0.4007000,0.4011000,0.3851000,0.3959000,173307101
1748005200000,0.3958000,0.4071000,0.3919000,0.4063000,82080001
1748008800000,0.4063000,0.4105000,0.4015000,0.4047000,53770024
1748012400000,0.4046000,0.4070000,0.3935000,0.3940000,55136321
1748016000000,0.3940000,0.3979000,0.3890000,0.3975000,56759544
1748019600000,0.3975000,0.4007000,0.3945000,0.3966000,34540147
1748023200000,0.3965000,0.3980000,0.3886000,0.3906000,40163800
1748026800000,0.3906000,0.3940000,0.3898000,0.3904000,19512758
1748030400000,0.3904000,0.3909000,0.3818000,0.3831000,44648304
1748034000000,0.3832000,0.3858000,0.3800000,0.3820000,25064845
1748037600000,0.3820000,0.3857000,0.3780000,0.3780000,28265278
1748041200000,0.3781000,0.3796000,0.3675000,0.3703000,68645319
1748044800000,0.3704000,0.3741000,0.3682000,0.3684000,46154482
1748048400000,0.3684000,0.3732000,0.3661000,0.3668000,44082687
1748052000000,0.3668000,0.3724000,0.3653000,0.3700000,30502271
1748055600000,0.3700000,0.3748000,0.3689000,0.3739000,32068496
1748059200000,0.3739000,0.3825000,0.3721000,0.3800000,39998021
1748062800000,0.3801000,0.3802000,0.3701000,0.3720000,49337057
1748066400000,0.3719000,0.3746000,0.3684000,0.3717000,38322444
1748070000000,0.3717000,0.3755000,0.3675000,0.3684000,35310911
1748073600000,0.3684000,0.3704000,0.3642000,0.3700000,51289796
1748077200000,0.3701000,0.3759000,0.3685000,0.3705000,51146335
1748080800000,0.3706000,0.3784000,0.3690000,0.3765000,40848581
1748084400000,0.3765000,0.3796000,0.3749000,0.3760000,39898195
1748088000000,0.3761000,0.3779000,0.3723000,0.3747000,31396033
1748091600000,0.3748000,0.3756000,0.3695000,0.3704000,26104631
1748095200000,0.3703000,0.3762000,0.3696000,0.3754000,21477647
1748098800000,0.3754000,0.3769000,0.3676000,0.3711000,41192141
1748102400000,0.3711000,0.3727000,0.3669000,0.3710000,25593967
1748106000000,0.3710000,0.3752000,0.3690000,0.3700000,19665920
1748109600000,0.3701000,0.3730000,0.3664000,0.3670000,20611102
1748113200000,0.3671000,0.3697000,0.3665000,0.3687000,12573951
1748116800000,0.3687000,0.3725000,0.3673000,0.3696000,18944866
1748120400000,0.3697000,0.3700000,0.3650000,0.3678000,15489515
1748124000000,0.3678000,0.3679000,0.3643000,0.3662000,19126045
1748127600000,0.3662000,0.3705000,0.3630000,0.3681000,24541136
1748131200000,0.3681000,0.3708000,0.3604000,0.3621000,43947798
1748134800000,0.3620000,0.3651000,0.3561000,0.3609000,54321735
1748138400000,0.3611000,0.3666000,0.3566000,0.3658000,29655315
1748142000000,0.3657000,0.3748000,0.3655000,0.3721000,35203920
1748145600000,0.3722000,0.3722000,0.3660000,0.3692000,27435554
1748149200000,0.3692000,0.3700000,0.3662000,0.3684000,15960551
1748152800000,0.3683000,0.3697000,0.3666000,0.3678000,11729956
1748156400000,0.3678000,0.3680000,0.3615000,0.3629000,26665038
1748160000000,0.3629000,0.3629000,0.3552000,0.3576000,47734892
1748163600000,0.3577000,0.3613000,0.3554000,0.3600000,35362468
1748167200000,0.3601000,0.3616000,0.3575000,0.3580000,18559760
1748170800000,0.3579000,0.3609000,0.3572000,0.3589000,15454940
1748174400000,0.3589000,0.3653000,0.3571000,0.3644000,32273664
1748178000000,0.3644000,0.3650000,0.3604000,0.3610000,20625774
1748181600000,0.3610000,0.3623000,0.3560000,0.3578000,31063294
1748185200000,0.3579000,0.3590000,0.3485000,0.3570000,77474292
1748188800000,0.3570000,0.3570000,0.3519000,0.3556000,27422448
1748192400000,0.3556000,0.3573000,0.3537000,0.3560000,15738142
1748196000000,0.3561000,0.3594000,0.3543000,0.3557000,18242574
1748199600000,0.3557000,0.3644000,0.3551000,0.3627000,21723506
1748203200000,0.3628000,0.3677000,0.3607000,0.3658000,24412555
1748206800000,0.3657000,0.3673000,0.3618000,0.3633000,15681898
1748210400000,0.3633000,0.3774000,0.3625000,0.3771000,46790751
1748214000000,0.3771000,0.3799000,0.3740000,0.3782000,36771118
1748217600000,0.3783000,0.3865000,0.3757000,0.3862000,45603474
1748221200000,0.3863000,0.3869000,0.3801000,0.3828000,33824136
1748224800000,0.3828000,0.3830000,0.3758000,0.3782000,42481589
1748228400000,0.3783000,0.3835000,0.3767000,0.3815000,25178078
1748232000000,0.3815000,0.3833000,0.3806000,0.3822000,16230242
1748235600000,0.3821000,0.3853000,0.3802000,0.3844000,21799072
1748239200000,0.3845000,0.3897000,0.3836000,0.3894000,26309211
1748242800000,0.3893000,0.3951000,0.3873000,0.3932000,59551705
1748246400000,0.3932000,0.3939000,0.3864000,0.3877000,34680551
1748250000000,0.3877000,0.3899000,0.3833000,0.3850000,33311897
1748253600000,0.3849000,0.3858000,0.3814000,0.3829000,24657887
1748257200000,0.3829000,0.3848000,0.3806000,0.3839000,20936936
1748260800000,0.3839000,0.3861000,0.3817000,0.3840000,17906225
1748264400000,0.3840000,0.3857000,0.3764000,0.3780000,52022954
