open_time,open,high,low,close,volume
1747954800000,19.561,19.747,19.561,19.690,99212.50
1747958400000,19.691,19.758,19.586,19.657,164753.50
1747962000000,19.657,19.887,19.561,19.752,186234.15
1747965600000,19.752,20.160,19.737,19.955,348267.43
1747969200000,19.955,20.047,19.946,20.019,139226.53
1747972800000,20.019,20.080,19.643,19.753,404664.22
1747976400000,19.752,19.792,19.612,19.732,117175.77
1747980000000,19.731,19.740,19.430,19.474,336087.20
1747983600000,19.475,19.613,19.401,19.433,144352.03
1747987200000,19.433,19.554,19.381,19.517,214727.84
1747990800000,19.519,19.739,19.481,19.716,172665.57
1747994400000,19.717,19.722,19.540,19.623,112837.79
1747998000000,19.622,19.629,18.800,18.910,1120149.32
1748001600000,18.910,18.925,18.477,18.860,1598805.81
1748005200000,18.861,19.152,18.800,19.145,434715.87
1748008800000,19.143,19.268,19.067,19.164,214140.81
1748012400000,19.163,19.248,19.023,19.046,153697.72
1748016000000,19.046,19.131,18.886,19.090,244743.31
1748019600000,19.089,19.206,19.082,19.132,166926.90
1748023200000,19.133,19.177,18.989,19.036,118259.33
1748026800000,19.037,19.138,19.014,19.036,88535.03
1748030400000,19.037,19.043,18.836,18.862,137907.24
1748034000000,18.861,18.958,18.732,18.796,149590.13
1748037600000,18.800,18.933,18.660,18.665,140764.54
1748041200000,18.663,18.696,18.379,18.478,288914.07
1748044800000,18.478,18.618,18.368,18.416,184555.95
1748048400000,18.417,18.601,18.413,18.480,159092.34
1748052000000,18.480,18.615,18.423,18.605,116461.31
1748055600000,18.604,18.677,18.578,18.646,128596.86
1748059200000,18.646,18.723,18.571,18.696,130124.76
1748062800000,18.696,18.707,18.542,18.622,103891.14
1748066400000,18.620,18.663,18.527,18.615,120077.37
1748070000000,18.615,18.714,18.567,18.604,132831.46
1748073600000,18.604,18.696,18.519,18.681,145264.22
1748077200000,18.682,18.699,18.620,18.640,190020.35
1748080800000,18.641,18.776,18.614,18.746,164701.89
1748084400000,18.747,18.816,18.622,18.651,209128.01
1748088000000,18.651,18.666,18.558,18.628,120699.31
1748091600000,18.629,18.656,18.536,18.550,120816.66
1748095200000,18.548,18.638,18.529,18.623,68293.04
1748098800000,18.623,18.672,18.535,18.610,77988.50
1748102400000,18.610,18.650,18.517,18.617,100609.70
1748106000000,18.618,18.689,18.566,18.570,88841.95
1748109600000,18.569,18.647,18.509,18.524,82391.34
1748113200000,18.524,18.579,18.511,18.568,60913.87
1748116800000,18.568,18.581,18.511,18.536,58813.93
1748120400000,18.535,18.544,18.243,18.526,131142.37
1748124000000,18.528,18.529,18.334,18.352,100745.00
1748127600000,18.354,18.432,18.307,18.388,115797.14
1748131200000,18.388,18.453,18.101,18.169,257168.31
1748134800000,18.170,18.222,18.048,18.159,173246.05
1748138400000,18.159,18.245,18.064,18.228,89044.24
1748142000000,18.228,18.331,18.224,18.293,105574.59
1748145600000,18.293,18.340,18.238,18.332,105957.86
1748149200000,18.332,18.332,18.206,18.269,77436.87
1748152800000,18.268,18.274,18.164,18.222,59263.81
1748156400000,18.222,18.222,18.090,18.128,87657.24
1748160000000,18.128,18.130,17.888,17.960,246501.48
1748163600000,17.959,18.049,17.871,18.040,147763.10
1748167200000,18.041,18.112,18.014,18.029,104888.25
1748170800000,18.027,18.108,17.974,18.092,100243.06
1748174400000,18.091,18.143,18.003,18.129,122464.85
