open_time,open,high,low,close,volume
1747954800000,2634.80,2665.00,2634.80,2663.72,134152.954
1747958400000,2663.72,2679.00,2643.76,2662.08,269343.199
1747962000000,2662.07,2693.93,2650.01,2674.80,301371.223
1747965600000,2674.80,2734.30,2671.23,2704.83,747700.581
1747969200000,2704.94,2730.13,2699.43,2720.93,251946.033
1747972800000,2720.93,2725.39,2677.17,2696.79,388690.289
1747976400000,2696.80,2706.19,2678.54,2695.91,208607.268
1747980000000,2695.91,2696.62,2650.37,2656.16,500909.259
1747983600000,2656.17,2672.32,2650.01,2654.69,202076.216
1747987200000,2654.69,2675.62,2652.69,2668.36,191953.665
1747990800000,2668.35,2687.80,2664.06,2681.77,216214.646
1747994400000,2681.77,2682.40,2656.37,2670.55,230380.513
1747998000000,2670.55,2671.00,2550.00,2565.32,1194866.614
1748001600000,2565.32,2568.00,2497.00,2547.51,1257667.092
1748005200000,2547.52,2582.90,2536.00,2580.61,614496.366
1748008800000,2580.61,2591.19,2570.44,2573.09,304023.073
1748012400000,2573.09,2581.59,2564.28,2567.38,247558.499
1748016000000,2567.37,2575.00,2545.12,2565.87,376068.714
1748019600000,2565.87,2585.94,2564.56,2575.77,214327.569
1748023200000,2575.77,2580.69,2552.00,2558.70,235816.163
1748026800000,2558.71,2574.64,2555.24,2559.76,132968.652
1748030400000,2559.77,2561.62,2524.84,2542.31,243631.895
1748034000000,2542.31,2552.64,2526.00,2533.50,148210.118
1748037600000,2533.50,2558.18,2529.00,2537.60,221660.995
1748041200000,2537.60,2541.72,2502.10,2525.39,361056.188
1748044800000,2525.38,2543.62,2513.97,2514.99,198168.812
1748048400000,2514.99,2534.60,2514.40,2523.36,117099.516
1748052000000,2523.36,2544.45,2517.39,2539.75,98463.312
1748055600000,2539.75,2555.05,2536.79,2548.98,119824.717
1748059200000,2548.98,2562.33,2544.73,2558.20,99029.295
1748062800000,2558.21,2559.36,2542.00,2549.97,116837.587
1748066400000,2549.97,2554.63,2534.10,2546.35,117105.781
1748070000000,2546.35,2559.33,2543.45,2545.79,136640.734
1748073600000,2545.78,2557.68,2543.81,2555.90,111121.711
1748077200000,2555.88,2559.50,2549.97,2551.54,78631.144
1748080800000,2551.53,2574.50,2551.10,2568.61,199096.932
1748084400000,2568.61,2574.44,2560.98,2562.14,113664.561
1748088000000,2562.15,2564.37,2547.07,2558.08,149904.816
1748091600000,2558.08,2561.73,2542.36,2545.45,131376.237
1748095200000,2545.44,2560.45,2542.34,2557.45,106550.220
1748098800000,2557.44,2563.88,2548.32,2554.32,82575.172
1748102400000,2554.32,2561.00,2542.23,2556.42,96052.666
1748106000000,2556.41,2563.81,2554.14,2556.53,72240.548
1748109600000,2556.53,2566.40,2543.32,2548.22,86937.515
1748113200000,2548.22,2554.35,2545.20,2553.33,54256.411
1748116800000,2553.34,2555.47,2548.46,2551.15,36079.958
1748120400000,2551.15,2551.73,2511.13,2539.19,178015.493
1748124000000,2539.19,2539.20,2520.00,2524.29,104219.203
1748127600000,2524.30,2534.10,2516.10,2529.27,148635.607
1748131200000,2529.27,2538.38,2473.36,2485.58,423741.642
1748134800000,2485.57,2502.87,2478.01,2494.50,220097.686
1748138400000,2494.50,2509.76,2484.20,2506.88,191358.614
1748142000000,2506.88,2519.68,2505.68,2511.79,138050.004
1748145600000,2511.78,2517.66,2503.98,2516.19,78654.325
1748149200000,2516.18,2517.50,2506.00,2511.72,50819.848
1748152800000,2511.73,2512.37,2500.98,2506.26,75165.348
1748156400000,2506.26,2506.27,2486.30,2493.38,179414.769
1748160000000,2493.38,2493.50,2457.60,2476.50,295215.660
1748163600000,2476.49,2494.71,2471.14,2494.19,236375.347
1748167200000,2494.20,2501.74,2487.32,2491.52,163197.968
1748170800000,2491.51,2499.31,2487.77,2496.58,101914.709
1748174400000,2496.58,2517.61,2493.74,2515.67,195086.568
1748178000000,2515.67,2524.99,2510.14,2512.44,149976.888
1748181600000,2512.43,2517.33,2495.55,2505.19,170108.940
1748185200000,2505.19,2515.13,2478.00,2510.47,322922.500
1748188800000,2510.47,2512.37,2495.00,2510.49,158493.397
