open_time,open,high,low,close,volume
1747954800000,0.8755000,0.8842000,0.8719000,0.8841000,4449807
1747958400000,0.8841000,0.8886000,0.8736000,0.8787000,5776776
1747962000000,0.8786000,0.8879000,0.8739000,0.8843000,4515159
1747965600000,0.8843000,0.9102000,0.8811000,0.9074000,13278839
1747969200000,0.9073000,0.9539000,0.9061000,0.9404000,20085743
1747972800000,0.9404000,0.9491000,0.9143000,0.9408000,13603918
1747976400000,0.9408000,0.9439000,0.9143000,0.9187000,14603463
1747980000000,0.9186000,0.9201000,0.8935000,0.9039000,10454494
1747983600000,0.9039000,0.9115000,0.8943000,0.8982000,5957700
1747987200000,0.8982000,0.9463000,0.8949000,0.9334000,16019037
1747990800000,0.9335000,0.9897000,0.9251000,0.9877000,41099792
1747994400000,0.9879000,0.9898000,0.9642000,0.9702000,17511202
1747998000000,0.9700000,0.9706000,0.9098000,0.9151000,30608296
1748001600000,0.9151000,0.9300000,0.8694000,0.9091000,51631210
1748005200000,0.9092000,0.9328000,0.8969000,0.9304000,26469134
1748008800000,0.9304000,0.9452000,0.9193000,0.9355000,20017833
1748012400000,0.9355000,0.9430000,0.9087000,0.9108000,13947989
1748016000000,0.9108000,0.9213000,0.8975000,0.9171000,15296405
1748019600000,0.9171000,0.9221000,0.9034000,0.9099000,7177030
1748023200000,0.9098000,0.9162000,0.9001000,0.9025000,7493672
1748026800000,0.9025000,0.9144000,0.8883000,0.8918000,10385892
1748030400000,0.8918000,0.8940000,0.8738000,0.8757000,9331078
1748034000000,0.8757000,0.8874000,0.8683000,0.8729000,7896994
1748037600000,0.8730000,0.8831000,0.8553000,0.8555000,10559372
1748041200000,0.8554000,0.8617000,0.8410000,0.8466000,10310658
1748044800000,0.8467000,0.8636000,0.8410000,0.8456000,10337185
1748048400000,0.8456000,0.8598000,0.8441000,0.8464000,8538628
1748052000000,0.8463000,0.8557000,0.8430000,0.8531000,3857425
1748055600000,0.8530000,0.8754000,0.8503000,0.8671000,8980785
1748059200000,0.8672000,0.8675000,0.8571000,0.8629000,5201059
1748062800000,0.8628000,0.8642000,0.8498000,0.8580000,4201870
1748066400000,0.8579000,0.8608000,0.8476000,0.8521000,4836136
1748070000000,0.8521000,0.8607000,0.8429000,0.8464000,4486893
1748073600000,0.8463000,0.8521000,0.8361000,0.8514000,6849633
1748077200000,0.8514000,0.8647000,0.8460000,0.8526000,6730762
1748080800000,0.8525000,0.8723000,0.8505000,0.8692000,8291855
1748084400000,0.8690000,0.8750000,0.8631000,0.8680000,7779666
