open_time,open,high,low,close,volume
1747954800000,3.067,3.093,3.066,3.085,885201.8
1747958400000,3.084,3.098,3.069,3.082,1424326.9
1747962000000,3.082,3.110,3.065,3.095,1749049.5
1747965600000,3.096,3.157,3.090,3.132,3579055.1
1747969200000,3.132,3.144,3.119,3.131,1514177.1
1747972800000,3.132,3.139,3.076,3.097,2020059.1
1747976400000,3.097,3.102,3.066,3.091,1510981.5
1747980000000,3.091,3.092,3.030,3.043,3141490.4
1747983600000,3.043,3.065,3.033,3.042,1361945.9
1747987200000,3.042,3.072,3.038,3.063,1368018.6
1747990800000,3.064,3.104,3.058,3.100,1899610.5
1747994400000,3.100,3.102,3.066,3.083,1248495.3
1747998000000,3.084,3.085,2.930,2.950,8225866.3
1748001600000,2.951,2.954,2.865,2.941,9449733.3
1748005200000,2.941,2.999,2.924,2.996,3741690.6
1748008800000,2.997,3.015,2.977,2.994,2214003.9
1748012400000,2.995,3.003,2.951,2.954,2025456.6
1748016000000,2.954,2.974,2.934,2.969,2426765.1
1748019600000,2.970,2.982,2.960,2.969,1000383.1
1748023200000,2.969,2.976,2.937,2.946,1373299.6
1748026800000,2.946,2.960,2.928,2.934,921952.0
1748030400000,2.935,2.935,2.898,2.903,1685831.4
1748034000000,2.903,2.918,2.886,2.897,1782036.4
1748037600000,2.897,2.913,2.876,2.877,1220270.1
1748041200000,2.876,2.886,2.825,2.844,4483500.1
1748044800000,2.844,2.873,2.825,2.849,2599822.3
1748048400000,2.848,2.870,2.843,2.846,1272459.5
1748052000000,2.845,2.866,2.835,2.866,1277831.7
1748055600000,2.865,2.886,2.860,2.873,1238972.0
1748059200000,2.872,2.887,2.864,2.876,1342318.0
1748062800000,2.876,2.878,2.851,2.864,1459580.0
1748066400000,2.863,2.868,2.842,2.857,1185204.1
1748070000000,2.858,2.874,2.846,2.852,1290589.4
1748073600000,2.852,2.864,2.836,2.862,1595522.3
1748077200000,2.863,2.867,2.849,2.852,1169886.3
1748080800000,2.853,2.882,2.848,2.873,1490115.5
1748084400000,2.874,2.883,2.862,2.866,1308023.7
1748088000000,2.867,2.873,2.850,2.867,1546612.1
1748091600000,2.868,2.870,2.849,2.850,738870.0
1748095200000,2.850,2.874,2.848,2.870,842592.2
1748098800000,2.870,2.879,2.852,2.860,772988.3
1748102400000,2.861,2.867,2.841,2.859,1031668.5
1748106000000,2.859,2.877,2.855,2.857,963310.3
1748109600000,2.857,2.867,2.844,2.846,768141.0
1748113200000,2.846,2.855,2.839,2.851,662019.3
1748116800000,2.851,2.860,2.844,2.848,604310.8
1748120400000,2.849,2.850,2.800,2.840,1750764.3
1748124000000,2.839,2.840,2.816,2.819,972951.5
1748127600000,2.819,2.829,2.801,2.823,1580358.5
1748131200000,2.822,2.833,2.773,2.784,2626536.5
1748134800000,2.783,2.793,2.758,2.781,2817852.3
1748138400000,2.780,2.809,2.770,2.804,1556113.7
1748142000000,2.804,2.823,2.801,2.814,1560236.9
1748145600000,2.813,2.822,2.802,2.820,841089.7
1748149200000,2.819,2.821,2.809,2.820,642750.1
1748152800000,2.820,2.823,2.801,2.807,741160.8
1748156400000,2.807,2.808,2.783,2.794,1161140.4
