open_time,open,high,low,close,volume
1747954800000,0.0046040,0.0046580,0.0046040,0.0046350,53196317
1747958400000,0.0046330,0.0046490,0.0045640,0.0046070,118987149
1747962000000,0.0046070,0.0046530,0.0045820,0.0046460,62893431
1747965600000,0.0046460,0.0046910,0.0046260,0.0046420,104207923
1747969200000,0.0046420,0.0046620,0.0046120,0.0046320,64979157
1747972800000,0.0046320,0.0046340,0.0045010,0.0045560,156972221
1747976400000,0.0045550,0.0045740,0.0045010,0.0045510,63689926
1747980000000,0.0045520,0.0045520,0.0044450,0.0044630,95101783
1747983600000,0.0044630,0.0044940,0.0044240,0.0044500,79187983
1747987200000,0.0044490,0.0045250,0.0044310,0.0044880,92658560
1747990800000,0.0044890,0.0045470,0.0044760,0.0045410,68403231
1747994400000,0.0045400,0.0045420,0.0044750,0.0044840,66400433
1747998000000,0.0044840,0.0044950,0.0041530,0.0042950,440766342
1748001600000,0.0042970,0.0043370,0.0041070,0.0043130,536285026
1748005200000,0.0043110,0.0043590,0.0042920,0.0043220,123633902
1748008800000,0.0043230,0.0043450,0.0042860,0.0043020,95898769
1748012400000,0.0043020,0.0043200,0.0042720,0.0042770,97169223
1748016000000,0.0042760,0.0042950,0.0042400,0.0042890,97404980
1748019600000,0.0042890,0.0043160,0.0042740,0.0042940,56994154
1748023200000,0.0042940,0.0043190,0.0042830,0.0042960,115684662
1748026800000,0.0042960,0.0043180,0.0042730,0.0042880,70513040
1748030400000,0.0042880,0.0042880,0.0042220,0.0042390,79823588
1748034000000,0.0042390,0.0042770,0.0042210,0.0042390,61184485
1748037600000,0.0042390,0.0042670,0.0042010,0.0042050,74335031
1748041200000,0.0042060,0.0042260,0.0041380,0.0041790,138975237
1748044800000,0.0041790,0.0042100,0.0041440,0.0041450,106547709
1748048400000,0.0041440,0.0041620,0.0040880,0.0041210,104484703
1748052000000,0.0041200,0.0041230,0.0040390,0.0040800,89692432
1748055600000,0.0040790,0.0041160,0.0040220,0.0040520,114206980
1748059200000,0.0040510,0.0040970,0.0040140,0.0040710,90348226
1748062800000,0.0040690,0.0040720,0.0040040,0.0040650,92823101
1748066400000,0.0040640,0.0041090,0.0040490,0.0040930,105282192
1748070000000,0.0040940,0.0041140,0.0040410,0.0040490,78533147
1748073600000,0.0040480,0.0040570,0.0039380,0.0040010,185977799
1748077200000,0.0040010,0.0040360,0.0039830,0.0040080,84448866
1748080800000,0.0040080,0.0040690,0.0039780,0.0040520,92920125
1748084400000,0.0040500,0.0040770,0.0040080,0.0040170,71497360
1748088000000,0.0040170,0.0040480,0.0039840,0.0040400,83371118
1748091600000,0.0040400,0.0040500,0.0040050,0.0040090,57309804
1748095200000,0.0040080,0.0041850,0.0040060,0.0041280,311349562
1748098800000,0.0041270,0.0042660,0.0040700,0.0041920,229058278
1748102400000,0.0041930,0.0043950,0.0040710,0.0041780,635161532
1748106000000,0.0041780,0.0041920,0.0041060,0.0041110,180350817
1748109600000,0.0041090,0.0041170,0.0040610,0.0040860,141333252
1748113200000,0.0040840,0.0041030,0.0040680,0.0040920,72035173
1748116800000,0.0040900,0.0041210,0.0040710,0.0040870,56258095
1748120400000,0.0040870,0.0041000,0.0040460,0.0040700,70246018
1748124000000,0.0040700,0.0040720,0.0040300,0.0040500,84362870
1748127600000,0.0040510,0.0040750,0.0040160,0.0040410,77082438
1748131200000,0.0040410,0.0040620,0.0039760,0.0039890,117218425
1748134800000,0.0039890,0.0040390,0.0039600,0.0039960,125612145
1748138400000,0.0039970,0.0040230,0.0039810,0.0040140,57946381
1748142000000,0.0040140,0.0040710,0.0040000,0.0040520,90337265
1748145600000,0.0040520,0.0040690,0.0039890,0.0040150,124153572
1748149200000,0.0040150,0.0040330,0.0039950,0.0040060,58423931
1748152800000,0.0040040,0.0040150,0.0039870,0.0039900,53911684
1748156400000,0.0039900,0.0039900,0.0039160,0.0039390,135440817
1748160000000,0.0039390,0.0039390,0.0038500,0.0038780,179703086
1748163600000,0.0038780,0.0039050,0.0038510,0.0038720,123397993
1748167200000,0.0038720,0.0038850,0.0038350,0.0038380,112974128
1748170800000,0.0038380,0.0038600,0.0037970,0.0038450,165869879
1748174400000,0.0038450,0.0038480,0.0038010,0.0038370,89092129
1748178000000,0.0038370,0.0038510,0.0037730,0.0038230,242792705
1748181600000,0.0038220,0.0038920,0.0037740,0.0037910,259492900
1748185200000,0.0037900,0.0038700,0.0037760,0.0038210,339588040
1748188800000,0.0038220,0.0038410,0.0037520,0.0038050,103044949
1748192400000,0.0038060,0.0038290,0.0037930,0.0038090,77808470
1748196000000,0.0038090,0.0038110,0.0037580,0.0037730,114005318
1748199600000,0.0037710,0.0037930,0.0037180,0.0037550,154605416
1748203200000,0.0037560,0.0038070,0.0037530,0.0037630,120675789
1748206800000,0.0037640,0.0037750,0.0037290,0.0037440,81630126
1748210400000,0.0037440,0.0038460,0.0037310,0.0038400,166585746
1748214000000,0.0038390,0.0038430,0.0037800,0.0037880,120310843
1748217600000,0.0037880,0.0038310,0.0037610,0.0038260,141617221
1748221200000,0.0038240,0.0038310,0.0037740,0.0037900,131248079
1748224800000,0.0037890,0.0038340,0.0037800,0.0037950,120868617
1748228400000,0.0037950,0.0038430,0.0037940,0.0038250,129464412
1748232000000,0.0038240,0.0038690,0.0038190,0.0038640,128209915
1748235600000,0.0038640,0.0038810,0.0038250,0.0038340,109809732
1748239200000,0.0038330,0.0039120,0.0038290,0.0038910,171270489
1748242800000,0.0038910,0.0039090,0.0038480,0.0038620,153084420
1748246400000,0.0038610,0.0038860,0.0038000,0.0038150,192151755
1748250000000,0.0038170,0.0038690,0.0038000,0.0038410,174469744
1748253600000,0.0038420,0.0038570,0.0038280,0.0038350,75424134
1748257200000,0.0038350,0.0038410,0.0038090,0.0038370,76843442
1748260800000,0.0038370,0.0038680,0.0038160,0.0038470,115474998
1748264400000,0.0038450,0.0038560,0.0037630,0.0037810,121623750
1748268000000,0.0037790,0.0037790,0.0036610,0.0037000,394963009
1748271600000,0.0037000,0.0038210,0.0036950,0.0037950,219608938
1748275200000,0.0037960,0.0038210,0.0037250,0.0037430,319689258
1748278800000,0.0037440,0.0038030,0.0037350,0.0037580,278333068
1748282400000,0.0037590,0.0038000,0.0037400,0.0037720,259181820
1748286000000,0.0037720,0.0038290,0.0037700,0.0038120,199169468
1748289600000,0.0038130,0.0038200,0.0037700,0.0038000,66830304
1748293200000,0.0038000,0.0038010,0.0037500,0.0037540,40644206
1748296800000,0.0037540,0.0037750,0.0037360,0.0037460,55312209
1748300400000,0.0037450,0.0037580,0.0037260,0.0037510,35802816
1748304000000,0.0037500,0.0037860,0.0037260,0.0037300,70551782
1748307600000,0.0037310,0.0037400,0.0036410,0.0037170,182665249
1748311200000,0.0037180,0.0037270,0.0036910,0.0037130,89275475
1748314800000,0.0037120,0.0037470,0.0037050,0.0037330,66748501
1748318400000,0.0037320,0.0037420,0.0037000,0.0037300,70890151
1748322000000,0.0037310,0.0037420,0.0037020,0.0037330,81401243
1748325600000,0.0037330,0.0037590,0.0037070,0.0037090,71419902
1748329200000,0.0037110,0.0037610,0.0037060,0.0037430,83262548
1748332800000,0.0037430,0.0037750,0.0037330,0.0037570,78966399
1748336400000,0.0037580,0.0037930,0.0037400,0.0037900,120049839
1748340000000,0.0037900,0.0038080,0.0037700,0.0037910,82412854
1748343600000,0.0037900,0.0038310,0.0037720,0.0038150,143512707
1748347200000,0.0038150,0.0038470,0.0037990,0.0038200,105902536
1748350800000,0.0038190,0.0038670,0.0038110,0.0038220,134715227
1748354400000,0.0038220,0.0038330,0.0037410,0.0037900,132429850
1748358000000,0.0037910,0.0037960,0.0037490,0.0037920,92270896
1748361600000,0.0037930,0.0038090,0.0037550,0.0037930,80839088
1748365200000,0.0037940,0.0038130,0.0037770,0.0037830,58050218
1748368800000,0.0037830,0.0038300,0.0037750,0.0038150,68704279
1748372400000,0.0038140,0.0038330,0.0037800,0.0038240,222718396
1748376000000,0.0038240,0.0038620,0.0038120,0.0038620,72347762
1748379600000,0.0038620,0.0038760,0.0038150,0.0038280,80140175
1748383200000,0.0038270,0.0038370,0.0037850,0.0037950,53814466
1748386800000,0.0037950,0.0038130,0.0037850,0.0038090,34324855
1748390400000,0.0038070,0.0038770,0.0038040,0.0038710,89109796
