open_time,open,high,low,close,volume
1747954800000,0.0260700,0.0262700,0.0260700,0.0261600,4095627
1747958400000,0.0261700,0.0262500,0.0259100,0.0259600,4550931
1747962000000,0.0259600,0.0261500,0.0258700,0.0260100,3078758
1747965600000,0.0260200,0.0262800,0.0259900,0.0261900,2962813
1747969200000,0.0261900,0.0263200,0.0261400,0.0261900,3219091
1747972800000,0.0261900,0.0262500,0.0256800,0.0259700,9484771
1747976400000,0.0259600,0.0261900,0.0259000,0.0261300,3831857
1747980000000,0.0261300,0.0261300,0.0256400,0.0257000,6052954
1747983600000,0.0257000,0.0261100,0.0257000,0.0260300,3283458
1747987200000,0.0260400,0.0261700,0.0259700,0.0260700,2975778
1747990800000,0.0260700,0.0262500,0.0260000,0.0262100,3202336
1747994400000,0.0262200,0.0262400,0.0259000,0.0259700,2970670
1747998000000,0.0259600,0.0259600,0.0245600,0.0247800,12806968
1748001600000,0.0247800,0.0251000,0.0243300,0.0247700,18758448
1748005200000,0.0247700,0.0253700,0.0246500,0.0253300,5918055
1748008800000,0.0253400,0.0256000,0.0252200,0.0254600,3915520
1748012400000,0.0254500,0.0255000,0.0249800,0.0250000,3559484
1748016000000,0.0250000,0.0251600,0.0248400,0.0251500,2887746
1748019600000,0.0251500,0.0254000,0.0251400,0.0252300,2046613
1748023200000,0.0252200,0.0252700,0.0248400,0.0248900,3702235
1748026800000,0.0248800,0.0249600,0.0247200,0.0247300,2319672
1748030400000,0.0247400,0.0247400,0.0244200,0.0244600,6144237
1748034000000,0.0244500,0.0244600,0.0240400,0.0241600,4557740
1748037600000,0.0241700,0.0243500,0.0239000,0.0239000,2669240
1748041200000,0.0239000,0.0239200,0.0232600,0.0234900,10572423
1748044800000,0.0235000,0.0237800,0.0234400,0.0235500,4310478
1748048400000,0.0235400,0.0238200,0.0235400,0.0236200,2960571
1748052000000,0.0236200,0.0238100,0.0235200,0.0237700,2936397
1748055600000,0.0237600,0.0240800,0.0237500,0.0240700,4236964
1748059200000,0.0240600,0.0242000,0.0239100,0.0241500,2908613
1748062800000,0.0241600,0.0241700,0.0240200,0.0240900,3139941
1748066400000,0.0240900,0.0241000,0.0239500,0.0240300,1825257
1748070000000,0.0240400,0.0242500,0.0240200,0.0241000,1645694
1748073600000,0.0241100,0.0241400,0.0236800,0.0239200,6373854
1748077200000,0.0239100,0.0240700,0.0238800,0.0239600,2053073
1748080800000,0.0239500,0.0242400,0.0238700,0.0242200,1936224
1748084400000,0.0242100,0.0246000,0.0241800,0.0245600,5902266
