open_time,open,high,low,close,volume
1747954800000,0.20342,0.20520,0.20312,0.20464,10063244
1747958400000,0.20465,0.20545,0.20352,0.20427,17000135
1747962000000,0.20426,0.20670,0.20332,0.20649,19270634
1747965600000,0.20647,0.20935,0.20629,0.20778,27316907
1747969200000,0.20778,0.20867,0.20762,0.20834,12025072
1747972800000,0.20834,0.20847,0.20455,0.20593,21871947
1747976400000,0.20592,0.20627,0.20427,0.20553,12233872
1747980000000,0.20553,0.20556,0.20228,0.20307,24484988
1747983600000,0.20307,0.20490,0.20289,0.20342,18251022
1747987200000,0.20343,0.20616,0.20334,0.20602,10982672
1747990800000,0.20601,0.20766,0.20545,0.20748,12005402
1747994400000,0.20749,0.20753,0.20547,0.20649,19149986
1747998000000,0.20648,0.20706,0.19600,0.19771,87933185
1748001600000,0.19769,0.19787,0.19250,0.19651,77985293
1748005200000,0.19650,0.20008,0.19531,0.19993,32255550
1748008800000,0.19994,0.20176,0.19952,0.20107,19822082
1748012400000,0.20106,0.20166,0.19836,0.19856,25153706
1748016000000,0.19857,0.19920,0.19644,0.19891,28191890
1748019600000,0.19891,0.19974,0.19824,0.19891,7557240
1748023200000,0.19890,0.19924,0.19671,0.19726,18256850
1748026800000,0.19726,0.19846,0.19632,0.19649,10857448
1748030400000,0.19648,0.19662,0.19410,0.19437,16354684
1748034000000,0.19437,0.19537,0.19330,0.19411,14924618
1748037600000,0.19411,0.19507,0.19271,0.19271,11370702
1748041200000,0.19270,0.19302,0.18872,0.19034,41445683
1748044800000,0.19033,0.19191,0.18916,0.18986,18227786
1748048400000,0.18985,0.19138,0.18971,0.19002,6636615
1748052000000,0.19002,0.19166,0.18950,0.19160,7464593
1748055600000,0.19158,0.19274,0.19118,0.19252,12225636
1748059200000,0.19252,0.19351,0.19214,0.19325,9439993
1748062800000,0.19324,0.19346,0.19131,0.19204,7979445
1748066400000,0.19204,0.19239,0.19028,0.19146,7161519
1748070000000,0.19147,0.19218,0.19027,0.19074,7372019
1748073600000,0.19075,0.19176,0.19007,0.19170,7730980
1748077200000,0.19171,0.19184,0.19028,0.19045,11895220
1748080800000,0.19046,0.19217,0.19015,0.19175,26476500
1748084400000,0.19175,0.19257,0.19066,0.19101,11179281
1748088000000,0.19102,0.19138,0.18966,0.19085,9344977
1748091600000,0.19085,0.19106,0.18951,0.18959,9447215
1748095200000,0.18959,0.19086,0.18923,0.19069,10366599
1748098800000,0.19068,0.19117,0.18930,0.19007,10545967
1748102400000,0.19008,0.19061,0.18920,0.19017,8786590
1748106000000,0.19018,0.19102,0.18973,0.19016,7274058
1748109600000,0.19016,0.19117,0.18943,0.18963,6801926
