open_time,open,high,low,close,volume
1747954800000,0.1190000,0.1208000,0.1189000,0.1202000,2629009
1747958400000,0.1202000,0.1214000,0.1192000,0.1204000,3382364
1747962000000,0.1205000,0.1218000,0.1195000,0.1205000,2414097
1747965600000,0.1205000,0.1224000,0.1203000,0.1217000,3544991
1747969200000,0.1217000,0.1231000,0.1212000,0.1218000,3608162
1747972800000,0.1217000,0.1223000,0.1180000,0.1184000,4803684
1747976400000,0.1185000,0.1191000,0.1171000,0.1185000,4607363
1747980000000,0.1184000,0.1187000,0.1157000,0.1166000,5300686
1747983600000,0.1166000,0.1177000,0.1161000,0.1166000,3590736
1747987200000,0.1167000,0.1190000,0.1167000,0.1186000,4246166
1747990800000,0.1185000,0.1204000,0.1182000,0.1199000,2752123
1747994400000,0.1198000,0.1200000,0.1183000,0.1186000,2937597
1747998000000,0.1185000,0.1186000,0.1107000,0.1124000,18008767
1748001600000,0.1125000,0.1130000,0.1080000,0.1120000,19784431
1748005200000,0.1120000,0.1134000,0.1111000,0.1129000,6121733
1748008800000,0.1130000,0.1134000,0.1122000,0.1125000,4045459
1748012400000,0.1125000,0.1131000,0.1112000,0.1113000,3372071
1748016000000,0.1112000,0.1121000,0.1100000,0.1115000,4459797
1748019600000,0.1115000,0.1126000,0.1114000,0.1120000,2014566
1748023200000,0.1120000,0.1125000,0.1109000,0.1112000,2333720
1748026800000,0.1112000,0.1117000,0.1106000,0.1108000,2052033
1748030400000,0.1109000,0.1109000,0.1090000,0.1094000,3798670
1748034000000,0.1093000,0.1101000,0.1088000,0.1093000,1614322
1748037600000,0.1094000,0.1106000,0.1086000,0.1087000,2552635
1748041200000,0.1088000,0.1090000,0.1056000,0.1066000,7652062
1748044800000,0.1066000,0.1080000,0.1058000,0.1072000,4610099
1748048400000,0.1072000,0.1087000,0.1069000,0.1074000,3064358
1748052000000,0.1074000,0.1123000,0.1070000,0.1116000,7696495
1748055600000,0.1115000,0.1126000,0.1108000,0.1114000,4344303
1748059200000,0.1113000,0.1135000,0.1111000,0.1127000,3255722
1748062800000,0.1126000,0.1147000,0.1121000,0.1139000,7758440
1748066400000,0.1140000,0.1146000,0.1127000,0.1136000,5159997
1748070000000,0.1136000,0.1153000,0.1118000,0.1151000,5333976
1748073600000,0.1152000,0.1166000,0.1134000,0.1148000,5859533
1748077200000,0.1148000,0.1162000,0.1139000,0.1142000,3648180
1748080800000,0.1141000,0.1147000,0.1126000,0.1137000,4516817
1748084400000,0.1137000,0.1145000,0.1132000,0.1141000,2833514
1748088000000,0.1141000,0.1153000,0.1133000,0.1139000,4396082
1748091600000,0.1139000,0.1150000,0.1133000,0.1135000,3819123
1748095200000,0.1135000,0.1153000,0.1131000,0.1152000,3572109
1748098800000,0.1151000,0.1157000,0.1140000,0.1155000,3241600
1748102400000,0.1154000,0.1183000,0.1139000,0.1169000,9099991
1748106000000,0.1169000,0.1205000,0.1155000,0.1170000,18669035
1748109600000,0.1171000,0.1171000,0.1153000,0.1160000,5810550
1748113200000,0.1159000,0.1171000,0.1156000,0.1163000,2638505
1748116800000,0.1163000,0.1170000,0.1142000,0.1150000,3822664
1748120400000,0.1149000,0.1150000,0.1114000,0.1135000,5397881
1748124000000,0.1135000,0.1135000,0.1108000,0.1121000,6288856
1748127600000,0.1121000,0.1134000,0.1120000,0.1131000,2809800
1748131200000,0.1131000,0.1138000,0.1091000,0.1095000,8347832
1748134800000,0.1096000,0.1105000,0.1082000,0.1092000,5458381
1748138400000,0.1092000,0.1116000,0.1085000,0.1114000,4192942
1748142000000,0.1114000,0.1145000,0.1113000,0.1132000,7801686
1748145600000,0.1131000,0.1145000,0.1123000,0.1137000,7395128
1748149200000,0.1137000,0.1144000,0.1130000,0.1138000,3732906
1748152800000,0.1137000,0.1138000,0.1123000,0.1132000,2493023
1748156400000,0.1131000,0.1131000,0.1104000,0.1116000,4917957
1748160000000,0.1116000,0.1120000,0.1105000,0.1113000,3722609
1748163600000,0.1113000,0.1128000,0.1096000,0.1102000,6434068
1748167200000,0.1103000,0.1104000,0.1086000,0.1093000,4304431
1748170800000,0.1093000,0.1108000,0.1092000,0.1094000,3747445
1748174400000,0.1093000,0.1108000,0.1092000,0.1107000,3084073
1748178000000,0.1108000,0.1110000,0.1093000,0.1097000,2546172
1748181600000,0.1096000,0.1097000,0.1073000,0.1078000,4156733
1748185200000,0.1077000,0.1080000,0.1056000,0.1075000,8947690
1748188800000,0.1075000,0.1077000,0.1060000,0.1067000,3207183
1748192400000,0.1066000,0.1077000,0.1064000,0.1068000,3776160
1748196000000,0.1067000,0.1079000,0.1064000,0.1068000,3678529
1748199600000,0.1069000,0.1081000,0.1064000,0.1073000,2269694
1748203200000,0.1073000,0.1085000,0.1060000,0.1074000,3141994
1748206800000,0.1073000,0.1085000,0.1073000,0.1081000,1802500
1748210400000,0.1080000,0.1117000,0.1076000,0.1113000,5533548
1748214000000,0.1114000,0.1120000,0.1105000,0.1114000,2439922
1748217600000,0.1114000,0.1125000,0.1103000,0.1125000,3094225
1748221200000,0.1124000,0.1127000,0.1108000,0.1113000,3016899
1748224800000,0.1113000,0.1114000,0.1104000,0.1108000,1940112
1748228400000,0.1107000,0.1127000,0.1105000,0.1117000,2211791
1748232000000,0.1117000,0.1132000,0.1113000,0.1125000,3535231
1748235600000,0.1125000,0.1130000,0.1120000,0.1122000,2268500
1748239200000,0.1122000,0.1128000,0.1119000,0.1126000,1607788
1748242800000,0.1126000,0.1134000,0.1115000,0.1126000,3579069
1748246400000,0.1126000,0.1127000,0.1115000,0.1120000,1473760
1748250000000,0.1121000,0.1132000,0.1118000,0.1122000,2961878
1748253600000,0.1123000,0.1136000,0.1115000,0.1119000,3232007
1748257200000,0.1120000,0.1125000,0.1115000,0.1120000,2409099
1748260800000,0.1121000,0.1121000,0.1106000,0.1115000,2861577
1748264400000,0.1115000,0.1122000,0.1095000,0.1102000,3898771
1748268000000,0.1101000,0.1104000,0.1081000,0.1094000,3953692
1748271600000,0.1094000,0.1113000,0.1086000,0.1107000,4351067
1748275200000,0.1106000,0.1111000,0.1085000,0.1090000,3304499
1748278800000,0.1089000,0.1096000,0.1079000,0.1088000,1981088
1748282400000,0.1088000,0.1100000,0.1087000,0.1094000,1520056
1748286000000,0.1094000,0.1111000,0.1092000,0.1104000,1946007
1748289600000,0.1104000,0.1115000,0.1099000,0.1115000,1004359
1748293200000,0.1114000,0.1135000,0.1114000,0.1126000,2081703
1748296800000,0.1126000,0.1147000,0.1125000,0.1138000,3683088
1748300400000,0.1137000,0.1141000,0.1124000,0.1126000,2126768
1748304000000,0.1125000,0.1145000,0.1123000,0.1125000,3637776
1748307600000,0.1126000,0.1126000,0.1097000,0.1107000,4703144
1748311200000,0.1107000,0.1124000,0.1103000,0.1121000,3713109
1748314800000,0.1120000,0.1135000,0.1120000,0.1125000,2212130
1748318400000,0.1124000,0.1127000,0.1113000,0.1117000,1781635
