open_time,open,high,low,close,volume
1747954800000,2.133900,2.188200,2.133900,2.165500,4763038.5
1747958400000,2.166400,2.167400,2.091800,2.108100,5172471.4
1747962000000,2.108200,2.122900,2.085400,2.098200,3051827.3
1747965600000,2.098100,2.139600,2.089700,2.124100,3227707.2
1747969200000,2.124000,2.136000,2.112600,2.117700,2469186.8
1747972800000,2.117600,2.123100,2.095900,2.101000,2799717.4
1747976400000,2.101200,2.112300,2.088600,2.111600,2352205.4
1747980000000,2.111600,2.114200,2.033700,2.045300,6641994.3
1747983600000,2.045400,2.087500,2.042600,2.062300,3099846.4
1747987200000,2.062400,2.078000,2.048000,2.065500,2738987.7
1747990800000,2.065600,2.085900,2.058400,2.085000,1799350.1
1747994400000,2.085100,2.085700,2.050500,2.065700,2997808.1
1747998000000,2.065700,2.066000,1.985000,2.005100,8689243.6
1748001600000,2.005100,2.007500,1.913700,1.946100,14575311.2
1748005200000,1.946100,1.981700,1.945600,1.969700,4899780.8
1748008800000,1.969800,1.999000,1.969600,1.975600,3933196.7
1748012400000,1.975600,1.984800,1.946800,1.954600,3054025.0
1748016000000,1.954700,1.974400,1.949100,1.966900,2523763.0
1748019600000,1.966900,1.982300,1.960000,1.965500,1919848.0
1748023200000,1.965400,1.970900,1.956200,1.962300,1158047.9
1748026800000,1.962400,1.972500,1.955600,1.966700,1397257.0
1748030400000,1.966600,1.968700,1.941300,1.947400,1792144.7
1748034000000,1.947400,1.947800,1.907600,1.919100,3171354.2
1748037600000,1.919100,1.942500,1.911800,1.912400,1700837.3
1748041200000,1.912400,1.920200,1.881000,1.906100,3701591.1
1748044800000,1.906000,1.935900,1.896000,1.921400,3810345.8
1748048400000,1.921400,1.972800,1.918300,1.954100,3880669.9
1748052000000,1.954000,1.983100,1.948300,1.976600,2554015.5
1748055600000,1.976300,1.987200,1.949000,1.963000,2666706.5
1748059200000,1.963000,1.996600,1.959300,1.978500,2858537.4
1748062800000,1.978600,1.984300,1.965100,1.982800,1448856.0
1748066400000,1.982600,1.986900,1.957700,1.967700,1668187.8
1748070000000,1.967700,1.971100,1.953700,1.964800,1566753.0
1748073600000,1.964400,1.984800,1.959800,1.977600,2830932.2
1748077200000,1.977500,1.987100,1.958200,1.960200,1640361.3
1748080800000,1.960100,1.965600,1.934000,1.952200,3226245.4
1748084400000,1.952200,1.958400,1.930400,1.935700,2574394.7
1748088000000,1.935800,1.944800,1.920300,1.937000,2577973.6
1748091600000,1.937000,1.953900,1.931300,1.931700,1573366.0
1748095200000,1.931700,1.955900,1.926900,1.941100,1650698.3
1748098800000,1.941100,1.956800,1.935600,1.956400,1321657.8
1748102400000,1.956300,1.957600,1.933600,1.952900,1464200.1
1748106000000,1.952900,1.968900,1.951300,1.954400,1612896.5
1748109600000,1.954000,1.983000,1.953400,1.964800,2057373.6
1748113200000,1.964700,1.974600,1.960100,1.961200,862612.7
1748116800000,1.961400,1.965600,1.950100,1.956800,1052894.4
1748120400000,1.956900,1.961400,1.944100,1.955900,917233.8
1748124000000,1.955900,1.968500,1.947600,1.954900,1062522.5
1748127600000,1.955000,1.967300,1.941100,1.949400,1419329.3
1748131200000,1.949400,1.985800,1.931600,1.941100,3845485.0
1748134800000,1.941100,1.968700,1.927600,1.959900,2651022.5
1748138400000,1.959900,1.976100,1.943600,1.969500,2383929.8
1748142000000,1.969100,1.991700,1.961300,1.966800,2584358.8
1748145600000,1.966500,1.974200,1.942100,1.946700,2548452.3
1748149200000,1.946700,1.957600,1.943000,1.950500,1448744.7
1748152800000,1.950500,1.954600,1.936600,1.937400,988288.4
1748156400000,1.937500,1.938300,1.891400,1.905200,3745098.2
1748160000000,1.905100,1.905300,1.844700,1.852000,4961063.0
1748163600000,1.852300,1.863800,1.777600,1.860700,9918900.6
1748167200000,1.860700,1.886200,1.847200,1.866600,5936996.2
1748170800000,1.866600,1.920000,1.856400,1.878700,4422603.1
1748174400000,1.878800,1.897500,1.866800,1.886700,2569422.3
1748178000000,1.886700,1.890700,1.856700,1.859300,2652561.5
1748181600000,1.859300,1.862500,1.842300,1.849000,1777662.4
1748185200000,1.849200,1.861500,1.832600,1.856500,3031222.9
1748188800000,1.856500,1.863400,1.828900,1.834900,1599520.5
1748192400000,1.834800,1.850700,1.832300,1.844600,1123639.4
1748196000000,1.844800,1.848200,1.835000,1.842300,892527.5
1748199600000,1.842300,1.869700,1.840400,1.859200,1117479.0
1748203200000,1.859000,1.873200,1.843500,1.848400,1324599.7
1748206800000,1.848400,1.867200,1.847400,1.856400,1236266.7
1748210400000,1.856400,1.912800,1.854000,1.911600,2647473.7
1748214000000,1.911500,1.920000,1.884100,1.894200,2122825.3
1748217600000,1.894100,1.898000,1.871000,1.893200,2108941.7
1748221200000,1.893300,1.968400,1.877400,1.950800,5489027.8
1748224800000,1.950600,1.968200,1.925300,1.951600,3560286.0
1748228400000,1.951600,1.965000,1.936500,1.957900,2253316.0
1748232000000,1.958000,1.972900,1.943200,1.951100,2146332.3
1748235600000,1.951000,1.972300,1.941700,1.959400,2048736.7
1748239200000,1.959500,1.966200,1.942500,1.955300,1606940.5
1748242800000,1.955600,2.018000,1.948700,1.982900,5607551.8
1748246400000,1.983000,1.983800,1.947300,1.965800,4169641.3
1748250000000,1.965700,1.971700,1.951100,1.957500,1832324.7
1748253600000,1.957700,1.990800,1.948000,1.981200,2214016.0
1748257200000,1.981200,1.989900,1.964000,1.978700,2127108.8
1748260800000,1.978600,2.017300,1.967500,1.999000,3742673.7
1748264400000,1.999200,2.014400,1.975500,1.986600,3602441.3
1748268000000,1.986600,1.992400,1.955400,1.971000,2933252.4
1748271600000,1.971100,2.004300,1.956600,1.997200,2713021.7
1748275200000,1.997100,2.022100,1.968200,1.986900,3919448.8
1748278800000,1.986900,2.002000,1.963800,1.974500,1709379.6
1748282400000,1.974400,2.005900,1.972900,1.980100,1855023.2
1748286000000,1.980200,2.010900,1.976100,2.002000,1732814.5
1748289600000,2.001900,2.055700,1.994500,2.054000,3908258.5
1748293200000,2.053800,2.064800,2.016000,2.047400,3823595.1
1748296800000,2.047500,2.084800,2.029100,2.029400,4206422.1
1748300400000,2.029300,2.048500,2.017100,2.035500,2360787.0
1748304000000,2.035000,2.058000,2.002300,2.007900,3738310.5
1748307600000,2.008300,2.008500,1.975900,2.002000,3680325.2
1748311200000,2.002000,2.073500,2.000000,2.063200,4530000.2
1748314800000,2.063800,2.115900,2.063800,2.092600,6143068.0
1748318400000,2.092600,2.110500,2.012200,2.022000,5420364.7
1748322000000,2.022000,2.049300,2.019400,2.035400,3257289.1
1748325600000,2.035500,2.061300,2.035500,2.044300,2472552.5
1748329200000,2.044000,2.110300,2.040600,2.093400,3798461.4
1748332800000,2.093500,2.146800,2.091800,2.139000,6059724.0
1748336400000,2.138700,2.146900,2.113500,2.127900,3558579.2
1748340000000,2.127900,2.152600,2.123400,2.137800,2537775.0
1748343600000,2.137800,2.150600,2.124700,2.142200,2411282.6
1748347200000,2.142300,2.184200,2.141400,2.179700,6172511.5
1748350800000,2.179700,2.218100,2.158600,2.167000,8089261.3
1748354400000,2.166600,2.205100,2.163500,2.175700,5522181.6
1748358000000,2.175700,2.194400,2.148600,2.174100,3915086.8
1748361600000,2.174100,2.236500,2.165000,2.227100,4924344.7
1748365200000,2.227300,2.274000,2.205800,2.233300,6236243.9
1748368800000,2.233700,2.271200,2.222100,2.256400,4904039.0
1748372400000,2.256400,2.376700,2.256200,2.349700,10482957.9
1748376000000,2.349600,2.370600,2.309100,2.348700,6277402.2
1748379600000,2.348600,2.389500,2.318500,2.323800,5937673.0
1748383200000,2.323800,2.338300,2.292200,2.304800,4069508.5
1748386800000,2.304700,2.332900,2.292500,2.307400,4044450.1
1748390400000,2.307200,2.319800,2.245200,2.261000,6037792.8
1748394000000,2.261200,2.296000,2.249000,2.273000,3109909.3
1748397600000,2.272700,2.292600,2.253200,2.279500,2646732.7
1748401200000,2.279600,2.309000,2.272000,2.286100,3061035.6
1748404800000,2.286200,2.293100,2.253500,2.286300,2560425.8
1748408400000,2.286300,2.307600,2.270200,2.306200,2112639.1
1748412000000,2.306400,2.334300,2.284500,2.312500,4194538.3
1748415600000,2.312500,2.345900,2.300100,2.302900,4525739.4
1748419200000,2.302900,2.328700,2.280700,2.287500,4408003.1
1748422800000,2.287600,2.296000,2.260500,2.268900,3316794.5
1748426400000,2.268800,2.270000,2.232800,2.238900,3647292.0
1748430000000,2.239000,2.253000,2.207900,2.231000,5043085.2
1748433600000,2.231100,2.255800,2.228500,2.243200,3121203.6
1748437200000,2.243500,2.245000,2.208200,2.218100,3360389.2
1748440800000,2.218100,2.222400,2.194800,2.197200,3503236.5
1748444400000,2.197300,2.211500,2.184400,2.193000,3261560.3
1748448000000,2.193100,2.209300,2.182800,2.203800,2208360.8
1748451600000,2.203800,2.217100,2.168800,2.179400,3070232.1
1748455200000,2.179400,2.194500,2.177500,2.185100,1675124.6
1748458800000,2.185100,2.197400,2.173100,2.181500,1615939.8
1748462400000,2.181700,2.189000,2.169600,2.173300,1482822.2
1748466000000,2.173600,2.195700,2.171600,2.181600,1088765.7
1748469600000,2.181400,2.184000,2.164300,2.167100,1116803.3
1748473200000,2.167000,2.182700,2.166000,2.169500,1442783.4
1748476800000,2.169700,2.206900,2.168200,2.203300,3372676.3
1748480400000,2.203300,2.259100,2.193300,2.211300,5233163.1
1748484000000,2.211300,2.229900,2.186200,2.226200,3700923.7
1748487600000,2.226500,2.243700,2.194500,2.200400,3186389.9
1748491200000,2.200300,2.220000,2.174000,2.197800,3061536.0
1748494800000,2.198000,2.246000,2.183900,2.243000,2377742.3
1748498400000,2.242600,2.296800,2.238600,2.286200,4404271.7
1748502000000,2.286300,2.352800,2.281500,2.328400,6209485.0
1748505600000,2.328300,2.387500,2.328300,2.375300,6356029.9
1748509200000,2.375800,2.419900,2.226500,2.233300,11846555.3
1748512800000,2.233800,2.334100,2.213000,2.324700,9801849.3
1748516400000,2.324700,2.341500,2.287200,2.296600,4741153.0
