open_time,open,high,low,close,volume
1747954800000,0.954200,0.968900,0.954200,0.965900,1766856
1747958400000,0.966000,0.973100,0.956900,0.966900,4317575
1747962000000,0.966700,0.987800,0.963200,0.976000,5079168
1747965600000,0.976100,1.006200,0.973000,0.988400,8228678
1747969200000,0.988200,1.011800,0.987500,1.009800,4339072
1747972800000,1.009700,1.014300,0.973400,0.982900,5935387
1747976400000,0.982800,0.994600,0.974100,0.986200,3351860
1747980000000,0.986200,0.988200,0.958100,0.964700,5241798
1747983600000,0.965000,0.975100,0.960500,0.961200,2844874
1747987200000,0.961300,0.980700,0.959100,0.978500,3526260
1747990800000,0.978700,0.993300,0.975000,0.992700,3350416
1747994400000,0.992800,0.993100,0.971200,0.978500,4345784
1747998000000,0.978400,0.978600,0.894300,0.905300,24426815
1748001600000,0.905400,0.906600,0.870300,0.900700,22760803
1748005200000,0.900800,0.921300,0.890100,0.920900,7770672
1748008800000,0.920800,0.924500,0.908600,0.912500,4375663
1748012400000,0.912500,0.916100,0.896000,0.898300,4824093
1748016000000,0.898300,0.903200,0.887400,0.898800,6102905
1748019600000,0.898600,0.911700,0.898000,0.903200,4657749
1748023200000,0.903200,0.906100,0.892000,0.894200,3315771
1748026800000,0.894300,0.902900,0.892700,0.896000,2715252
1748030400000,0.895900,0.896800,0.878600,0.882300,4097055
1748034000000,0.882300,0.888000,0.875400,0.880100,2415893
1748037600000,0.880200,0.888400,0.871800,0.871900,2551302
1748041200000,0.872000,0.873900,0.853000,0.858800,5723833
1748044800000,0.858800,0.868700,0.852000,0.858100,3347686
1748048400000,0.858000,0.870900,0.858000,0.863400,2274364
1748052000000,0.863300,0.873200,0.859400,0.870600,2612066
1748055600000,0.870500,0.877200,0.868300,0.874800,1683669
1748059200000,0.874600,0.878500,0.869000,0.875900,2568433
1748062800000,0.875800,0.876700,0.863800,0.869100,2326641
1748066400000,0.869000,0.873600,0.860800,0.868900,2236073
1748070000000,0.869000,0.875300,0.866300,0.868300,1857869
1748073600000,0.868400,0.871700,0.861900,0.870500,1983152
1748077200000,0.870600,0.872300,0.864200,0.865300,2114278
1748080800000,0.865300,0.876400,0.864000,0.873500,3145723
1748084400000,0.873400,0.877100,0.867100,0.868200,2607714
1748088000000,0.868300,0.870800,0.862700,0.868600,2652868
1748091600000,0.868600,0.870000,0.858800,0.859900,2813236
1748095200000,0.859800,0.875100,0.858000,0.873200,3638808
1748098800000,0.873200,0.875800,0.863700,0.869100,2293576
1748102400000,0.869000,0.872300,0.860400,0.869100,2227059
1748106000000,0.869100,0.876300,0.866700,0.869400,2167189
1748109600000,0.869300,0.874600,0.862100,0.863900,1387631
1748113200000,0.864000,0.871700,0.862800,0.870300,1523949
1748116800000,0.870500,0.874800,0.868000,0.872500,1427086
1748120400000,0.872500,0.874000,0.861300,0.870600,1727122
1748124000000,0.870700,0.870800,0.864400,0.866800,1418935
1748127600000,0.866800,0.874800,0.862500,0.872100,2923018
1748131200000,0.872100,0.875900,0.852400,0.857700,5028657
1748134800000,0.857800,0.858600,0.843000,0.853400,5039084
1748138400000,0.853600,0.860000,0.841200,0.858500,2546718
1748142000000,0.858400,0.867900,0.858200,0.864700,1799649
1748145600000,0.864800,0.864800,0.857800,0.864100,1301211
1748149200000,0.864000,0.867600,0.860600,0.866100,1164231
1748152800000,0.866200,0.867200,0.860400,0.863000,1223315
1748156400000,0.862900,0.863100,0.849700,0.856900,2671809
1748160000000,0.856900,0.856900,0.838300,0.843200,4208440
1748163600000,0.843200,0.851100,0.838300,0.849400,2959129
1748167200000,0.849400,0.852800,0.844000,0.844700,1508749
1748170800000,0.844700,0.851200,0.842300,0.848800,1792960
1748174400000,0.848700,0.856500,0.843700,0.856200,1903432
1748178000000,0.856000,0.859000,0.849600,0.852500,1629938
1748181600000,0.852500,0.855300,0.842400,0.847000,1938980
1748185200000,0.847000,0.849100,0.828200,0.847600,5056264
1748188800000,0.847600,0.847700,0.836900,0.846500,1982403
1748192400000,0.846500,0.850800,0.842300,0.843600,1421710
1748196000000,0.843700,0.848100,0.841100,0.843900,1886216
1748199600000,0.843800,0.857600,0.843000,0.852300,1787259
1748203200000,0.852400,0.853000,0.845100,0.849400,1506760
1748206800000,0.849400,0.855000,0.842100,0.847500,1419507
1748210400000,0.847700,0.875900,0.845600,0.873100,4775048
1748214000000,0.873200,0.874900,0.866400,0.874100,2580279
1748217600000,0.874100,0.883800,0.867900,0.883000,3125356
1748221200000,0.883100,0.884500,0.870100,0.872400,2767648
1748224800000,0.872500,0.872600,0.866300,0.868000,1384471
1748228400000,0.867900,0.875000,0.864500,0.871500,2706231
1748232000000,0.871600,0.872200,0.867800,0.868800,1493720
1748235600000,0.868700,0.877900,0.867000,0.875600,1528737
1748239200000,0.875500,0.886000,0.873500,0.884900,2756600
1748242800000,0.884700,0.894600,0.882300,0.891000,3962016
1748246400000,0.891000,0.893300,0.881700,0.883900,2482159
1748250000000,0.883900,0.890200,0.879300,0.882100,2901434
1748253600000,0.881900,0.883700,0.873900,0.877300,2267774
1748257200000,0.877300,0.880200,0.870700,0.877500,1854922
1748260800000,0.877500,0.887400,0.873600,0.884700,2214263
1748264400000,0.884600,0.887600,0.867900,0.872000,3649920
1748268000000,0.872000,0.875400,0.863100,0.870900,3556487
1748271600000,0.871000,0.887900,0.866600,0.885900,3860481
1748275200000,0.886100,0.891300,0.867400,0.874500,5809176
1748278800000,0.874600,0.883600,0.868600,0.874000,4400621
1748282400000,0.873800,0.885200,0.870300,0.877000,2390470
1748286000000,0.876900,0.886800,0.874800,0.883900,1992920
1748289600000,0.883800,0.899100,0.881400,0.898500,3376127
1748293200000,0.898500,0.899900,0.889500,0.897400,2623616
