open_time,open,high,low,close,volume
1747954800000,16.625,16.777,16.599,16.733,457853.23
1747958400000,16.734,16.820,16.621,16.692,806032.11
1747962000000,16.693,16.863,16.584,16.754,845406.49
1747965600000,16.753,17.129,16.741,16.979,1412313.57
1747969200000,16.978,17.154,16.971,17.122,792180.79
1747972800000,17.122,17.145,16.743,16.900,952195.48
1747976400000,16.900,17.003,16.784,16.942,579502.99
1747980000000,16.941,16.948,16.551,16.624,1116456.35
1747983600000,16.624,16.803,16.615,16.665,597803.23
1747987200000,16.665,16.863,16.630,16.829,586151.43
1747990800000,16.830,17.075,16.801,17.042,809853.78
1747994400000,17.043,17.122,16.872,17.097,945580.40
1747998000000,17.097,17.100,16.208,16.300,3547051.23
1748001600000,16.302,16.312,15.770,16.078,6578906.34
1748005200000,16.078,16.414,16.009,16.369,2099411.58
1748008800000,16.368,16.474,16.283,16.394,1340187.57
1748012400000,16.394,16.437,16.173,16.195,913447.95
1748016000000,16.196,16.259,16.037,16.220,1143220.43
1748019600000,16.219,16.369,16.199,16.243,470281.13
1748023200000,16.243,16.283,16.029,16.071,766043.38
1748026800000,16.071,16.192,16.019,16.040,498086.18
1748030400000,16.039,16.041,15.825,15.844,744213.96
1748034000000,15.845,15.950,15.742,15.811,654950.63
1748037600000,15.810,15.926,15.700,15.701,720311.73
1748041200000,15.701,15.745,15.410,15.528,1592545.05
1748044800000,15.528,15.667,15.440,15.451,905923.62
1748048400000,15.450,15.639,15.441,15.529,565490.22
1748052000000,15.528,15.670,15.468,15.658,461548.45
1748055600000,15.657,15.799,15.634,15.733,666562.32
1748059200000,15.732,15.877,15.688,15.830,617492.82
1748062800000,15.831,15.860,15.712,15.771,390711.16
1748066400000,15.772,15.803,15.654,15.728,385712.29
1748070000000,15.728,15.812,15.634,15.672,393564.93
1748073600000,15.672,15.752,15.616,15.745,429754.50
1748077200000,15.745,15.781,15.668,15.675,343888.66
1748080800000,15.675,15.863,15.664,15.832,549393.38
1748084400000,15.832,15.896,15.742,15.749,493113.75
1748088000000,15.750,15.796,15.681,15.725,420152.30
1748091600000,15.725,15.746,15.593,15.606,499164.56
