open_time,open,high,low,close,volume
1747954800000,1.054100,1.067200,1.048500,1.059000,176334.4
1747958400000,1.059500,1.062000,1.041300,1.048000,222853.8
1747962000000,1.048200,1.061500,1.045400,1.051200,225671.4
1747965600000,1.051200,1.078100,1.051100,1.062900,201840.4
1747969200000,1.062700,1.072000,1.060500,1.068400,154321.7
1747972800000,1.068300,1.073100,1.034900,1.044200,368082.4
1747976400000,1.044000,1.055500,1.022400,1.044000,422584.3
1747980000000,1.043900,1.044900,1.024200,1.030400,261121.2
1747983600000,1.030200,1.039600,1.025000,1.029800,152263.4
1747987200000,1.029800,1.041000,1.027800,1.038800,127186.2
1747990800000,1.039000,1.057400,1.036500,1.054900,194949.3
1747994400000,1.055300,1.057400,1.036200,1.047400,163217.7
1747998000000,1.046900,1.049600,0.978100,0.990600,831887.9
1748001600000,0.990700,0.991800,0.951700,0.979700,1440457.6
1748005200000,0.979800,1.006200,0.973800,1.003200,472481.2
1748008800000,1.003700,1.045200,1.000000,1.023600,752957.1
1748012400000,1.023600,1.045700,0.993800,0.999400,3041442.9
1748016000000,0.999800,1.030600,0.994700,1.026500,502580.0
1748019600000,1.026100,1.036400,1.013400,1.016300,286012.7
1748023200000,1.016200,1.018000,1.002600,1.005700,180090.8
1748026800000,1.005700,1.016600,1.003500,1.005900,193491.3
1748030400000,1.006000,1.010800,0.991000,0.994000,234518.5
1748034000000,0.994600,1.004200,0.987700,0.996000,211156.6
1748037600000,0.996100,1.006600,0.976900,0.980700,447887.4
1748041200000,0.980500,0.984000,0.955000,0.965200,469561.1
1748044800000,0.965300,0.985500,0.959900,0.970900,388428.7
1748048400000,0.971300,0.984700,0.970200,0.971500,141659.2
1748052000000,0.971400,0.996400,0.968500,0.980800,626244.7
1748055600000,0.980600,0.989900,0.977900,0.981600,126020.6
1748059200000,0.981600,0.990300,0.977500,0.985000,114804.4
1748062800000,0.984200,0.984900,0.972300,0.978800,103746.1
1748066400000,0.978600,0.978700,0.958800,0.970800,275262.3
1748070000000,0.970800,0.977100,0.964400,0.967700,125369.4
1748073600000,0.967700,0.970200,0.955600,0.965300,254221.9
1748077200000,0.965300,0.970600,0.960100,0.961300,104413.8
1748080800000,0.961200,0.990800,0.959500,0.988000,202738.1
1748084400000,0.987700,0.997800,0.981700,0.986500,170443.9
1748088000000,0.986600,0.987700,0.975000,0.980100,149759.8
1748091600000,0.980200,0.982600,0.966900,0.967000,154970.9
1748095200000,0.966900,0.986400,0.966600,0.983000,177432.9
1748098800000,0.983100,0.984400,0.972600,0.980100,133005.6
1748102400000,0.979800,0.979900,0.957700,0.963500,188806.3
1748106000000,0.963500,0.969600,0.944700,0.952200,284314.7
1748109600000,0.951800,0.953600,0.938900,0.940000,173910.0
1748113200000,0.940000,0.944500,0.934900,0.939600,184544.5
1748116800000,0.940000,0.942000,0.931500,0.932900,173637.7
1748120400000,0.932600,0.933200,0.914000,0.925000,324206.7
1748124000000,0.924900,0.924900,0.913900,0.914700,199082.4
1748127600000,0.915200,0.918900,0.907000,0.914000,262584.5
1748131200000,0.914200,0.918900,0.895100,0.898200,426508.4
1748134800000,0.898600,0.903200,0.889400,0.892700,457979.3
1748138400000,0.892400,0.902900,0.885700,0.898500,374193.4
1748142000000,0.898700,0.908700,0.898200,0.900400,215894.4
1748145600000,0.901100,0.901400,0.889400,0.896100,333960.1
1748149200000,0.895700,0.903900,0.894800,0.902100,183544.9
1748152800000,0.902000,0.902100,0.892200,0.898100,134681.8
1748156400000,0.898000,0.898000,0.886600,0.895100,229595.5
1748160000000,0.895100,0.895100,0.876700,0.881400,249546.5
1748163600000,0.881600,0.885200,0.872200,0.881000,359369.7
1748167200000,0.881100,0.881600,0.869400,0.871100,191823.3
1748170800000,0.871000,0.875400,0.866200,0.869100,178715.7
1748174400000,0.868900,0.871600,0.859100,0.865300,324046.5
1748178000000,0.865500,0.869900,0.860000,0.863100,272250.4
1748181600000,0.862800,0.863600,0.851200,0.857400,509219.0
1748185200000,0.857400,0.859800,0.839400,0.855000,751471.5
1748188800000,0.855100,0.855500,0.839200,0.848000,341550.3
1748192400000,0.847700,0.850500,0.841800,0.845000,187451.7
1748196000000,0.845200,0.850800,0.841600,0.843500,158348.7
1748199600000,0.842700,0.860800,0.840600,0.855500,307847.2
1748203200000,0.854800,0.856500,0.844200,0.848600,820143.2
1748206800000,0.848100,0.851700,0.835600,0.839700,217499.6
1748210400000,0.839400,0.878100,0.836800,0.877300,929969.9
1748214000000,0.877300,0.880200,0.863700,0.874400,380525.2
1748217600000,0.875000,0.889700,0.866800,0.888500,258800.6
1748221200000,0.888800,0.890900,0.875700,0.879900,365692.7
1748224800000,0.879800,0.887500,0.871200,0.872000,196955.7
1748228400000,0.872000,0.886000,0.871100,0.881200,199305.7
1748232000000,0.881100,0.881400,0.874100,0.876100,144060.1
1748235600000,0.875900,0.877000,0.870800,0.870900,209687.6
1748239200000,0.870800,0.884200,0.868300,0.883200,243690.1
1748242800000,0.882900,0.889800,0.874900,0.882700,414157.9
1748246400000,0.883300,0.887100,0.875700,0.878700,203895.9
1748250000000,0.879200,0.885100,0.872300,0.873700,215855.8
1748253600000,0.873800,0.875300,0.856800,0.860100,517490.7
1748257200000,0.860200,0.869100,0.859500,0.865000,435123.9
1748260800000,0.865000,0.865400,0.850400,0.853100,625220.3
1748264400000,0.852800,0.858100,0.833300,0.838600,606706.3
