open_time,open,high,low,close,volume
1747954800000,100.46,100.63,99.94,100.22,71426.585
1747958400000,100.22,100.69,99.65,100.68,115541.987
1747962000000,100.68,101.19,100.30,100.79,89027.781
1747965600000,100.79,102.42,100.74,102.04,176738.285
1747969200000,102.04,102.93,101.72,102.10,135191.579
1747972800000,102.10,102.44,100.67,101.34,173897.476
1747976400000,101.34,101.44,100.42,101.32,85870.955
1747980000000,101.31,101.37,99.58,99.91,163812.824
1747983600000,99.91,100.81,99.91,100.01,85994.340
1747987200000,100.01,100.95,99.88,100.83,84627.675
1747990800000,100.84,102.01,100.76,101.93,86252.450
1747994400000,101.93,101.98,101.01,101.63,88315.439
1747998000000,101.62,101.63,96.85,97.38,560873.929
1748001600000,97.39,97.64,95.00,97.40,601526.373
1748005200000,97.40,99.60,97.11,99.48,272753.029
1748008800000,99.48,99.94,98.92,99.41,169099.708
1748012400000,99.40,99.71,98.24,98.31,152654.878
1748016000000,98.31,98.94,97.64,98.52,164625.720
1748019600000,98.52,99.36,98.47,99.05,78162.306
1748023200000,99.05,99.32,97.89,98.25,95911.297
1748026800000,98.24,99.11,98.04,98.62,59596.646
1748030400000,98.62,98.62,96.94,97.00,121861.169
1748034000000,97.01,97.59,96.56,96.94,91809.121
1748037600000,96.94,97.68,96.31,96.31,80824.437
1748041200000,96.31,96.57,94.50,95.18,196477.719
1748044800000,95.17,96.28,94.71,95.46,110810.418
1748048400000,95.45,96.45,95.43,95.83,73311.732
1748052000000,95.82,96.65,95.58,96.57,53773.026
1748055600000,96.56,97.13,96.45,96.66,62650.855
1748059200000,96.66,97.12,96.59,96.97,37465.728
1748062800000,96.97,97.04,96.27,96.49,35416.442
1748066400000,96.48,96.68,95.98,96.54,41470.506
1748070000000,96.55,96.91,96.31,96.56,49929.766
1748073600000,96.56,97.42,96.48,97.40,55942.569
1748077200000,97.40,97.74,97.05,97.09,88466.367
1748080800000,97.10,97.75,96.96,97.54,68929.369
1748084400000,97.55,97.71,97.04,97.15,55800.073
1748088000000,97.16,97.36,96.75,96.96,71699.443
1748091600000,96.96,97.04,96.33,96.42,52784.936
1748095200000,96.42,96.91,96.33,96.79,48056.186
1748098800000,96.79,96.99,96.63,96.91,33100.023
1748102400000,96.90,96.92,95.81,96.21,82107.517
1748106000000,96.20,96.58,95.88,96.22,52318.326
1748109600000,96.21,96.83,96.20,96.45,46154.481
1748113200000,96.44,96.84,96.31,96.80,32118.051
1748116800000,96.80,96.81,96.31,96.34,37108.649
1748120400000,96.33,96.50,95.72,96.30,44835.435
1748124000000,96.31,96.32,95.32,95.55,86691.778
1748127600000,95.55,95.90,95.26,95.56,68793.536
1748131200000,95.56,96.00,94.49,94.82,111193.457
1748134800000,94.83,95.17,94.19,94.91,77436.629
1748138400000,94.91,95.54,94.58,95.37,48633.889
1748142000000,95.36,95.88,95.29,95.72,34381.633
1748145600000,95.73,95.81,95.32,95.75,34715.275
1748149200000,95.76,95.86,95.54,95.79,24457.828
1748152800000,95.79,95.91,95.51,95.81,25565.596
1748156400000,95.82,95.83,95.04,95.23,57850.611
1748160000000,95.23,95.23,93.72,94.15,106604.019
1748163600000,94.15,94.52,93.84,94.48,80226.719
1748167200000,94.49,94.69,93.91,94.02,43466.185
1748170800000,94.02,94.46,93.77,94.44,56076.146
1748174400000,94.43,95.07,94.23,95.00,52557.373
1748178000000,95.00,95.13,94.58,94.72,51085.155
1748181600000,94.72,95.20,94.33,94.46,50513.104
1748185200000,94.47,94.60,93.04,94.29,143373.177
1748188800000,94.29,94.30,93.32,94.15,54965.520
1748192400000,94.15,94.60,94.05,94.51,53766.414
1748196000000,94.52,94.60,94.11,94.24,33426.891
1748199600000,94.24,94.88,94.19,94.61,36511.699
1748203200000,94.62,94.66,94.04,94.27,37915.723
1748206800000,94.27,94.55,93.70,93.87,36750.453
1748210400000,93.88,95.73,93.75,95.62,109110.884
1748214000000,95.62,95.80,95.15,95.55,58479.454
1748217600000,95.55,96.27,95.12,96.24,63376.819
1748221200000,96.24,96.46,95.98,96.23,59588.808
1748224800000,96.23,96.24,95.66,95.90,39977.931
1748228400000,95.91,96.30,95.68,96.13,37286.858
1748232000000,96.13,96.36,95.95,96.29,36918.968
1748235600000,96.29,96.59,96.15,96.57,30633.296
1748239200000,96.56,96.88,96.42,96.80,41896.033
1748242800000,96.80,97.17,96.65,96.95,62247.483
1748246400000,96.96,97.30,96.58,96.71,74118.637
1748250000000,96.70,96.99,96.38,96.62,48432.037
1748253600000,96.62,96.89,96.40,96.70,35312.579
1748257200000,96.70,96.99,96.50,96.86,31419.418
1748260800000,96.85,97.55,96.66,97.43,67472.601
1748264400000,97.44,97.53,96.50,96.75,82107.207
1748268000000,96.75,97.17,96.47,96.76,80493.702
1748271600000,96.76,97.41,96.36,97.14,73053.638
1748275200000,97.15,97.39,95.80,95.84,129795.255
1748278800000,95.84,95.94,94.39,94.60,152967.683
1748282400000,94.60,95.03,94.25,94.77,76289.842
1748286000000,94.76,94.99,94.50,94.70,38396.984
1748289600000,94.69,95.18,94.34,95.16,60986.281
1748293200000,95.15,95.36,94.81,95.28,32914.045
1748296800000,95.27,95.62,94.51,94.51,48013.921
1748300400000,94.52,94.99,94.33,94.96,55107.853
1748304000000,94.96,95.24,94.10,94.32,58957.223
1748307600000,94.32,94.32,92.93,93.73,149151.494
1748311200000,93.73,94.16,93.55,93.93,44721.624
1748314800000,93.94,94.80,93.88,94.43,63324.076
1748318400000,94.42,94.84,94.17,94.21,41350.421
1748322000000,94.21,94.49,93.66,94.41,47703.291
1748325600000,94.41,95.35,94.33,94.41,116137.522
1748329200000,94.42,95.65,94.42,95.53,71077.186
1748332800000,95.53,96.11,95.53,96.10,108342.052
1748336400000,96.10,96.23,95.64,95.68,75250.752
1748340000000,95.68,95.76,95.19,95.33,95655.992
1748343600000,95.33,95.52,94.96,95.48,55215.141
1748347200000,95.48,95.78,95.27,95.71,68141.926
1748350800000,95.71,96.77,95.66,96.00,174889.280
1748354400000,95.99,96.37,94.88,95.56,143712.708
1748358000000,95.55,96.53,95.23,96.31,72298.262
1748361600000,96.32,96.97,95.96,96.49,107401.219
1748365200000,96.48,96.77,96.06,96.58,93144.181
1748368800000,96.58,96.91,96.34,96.46,66960.540
1748372400000,96.46,96.74,96.21,96.69,51039.301
1748376000000,96.70,96.99,96.66,96.87,49691.040
1748379600000,96.86,96.94,95.87,95.98,72347.372
1748383200000,95.98,96.07,95.28,95.82,53619.103
1748386800000,95.82,95.96,95.48,95.86,37033.575
1748390400000,95.86,96.14,95.21,96.11,59000.297
1748394000000,96.12,96.26,95.64,95.77,49643.366
1748397600000,95.77,96.03,95.04,95.32,68257.640
1748401200000,95.32,95.74,95.15,95.70,39592.318
1748404800000,95.70,95.89,95.20,95.81,36652.342
1748408400000,95.82,95.91,95.50,95.81,30893.741
1748412000000,95.82,95.82,94.89,95.12,63955.185
1748415600000,95.12,95.75,94.95,95.47,33650.770
1748419200000,95.48,96.07,95.23,96.07,40258.349
1748422800000,96.07,96.31,95.30,95.68,77415.693
1748426400000,95.68,96.30,95.26,96.23,82725.474
1748430000000,96.22,97.24,96.22,97.20,122271.463
1748433600000,97.20,97.45,96.77,96.81,178446.187
1748437200000,96.82,97.01,95.81,95.89,109554.517
1748440800000,95.88,95.99,94.86,94.90,127435.274
1748444400000,94.89,95.19,93.89,94.42,146573.961
1748448000000,94.41,95.21,94.25,95.20,75324.341
1748451600000,95.20,95.73,94.93,95.28,69536.383
1748455200000,95.27,95.52,94.36,94.48,67738.551
1748458800000,94.47,94.99,93.41,93.51,103104.950
1748462400000,93.51,94.49,93.46,94.37,62530.579
1748466000000,94.37,95.21,94.25,95.09,47490.177
1748469600000,95.08,95.12,94.16,94.38,69774.439
1748473200000,94.37,95.58,94.37,95.34,75212.558
1748476800000,95.33,96.70,94.90,96.57,102841.172
1748480400000,96.56,96.59,95.84,96.33,78494.487
1748484000000,96.33,98.91,96.06,98.31,284682.285
1748487600000,98.31,99.06,96.94,97.25,269195.173
1748491200000,97.25,98.12,95.99,96.87,184647.848
1748494800000,96.88,97.00,96.50,96.65,51001.295
1748498400000,96.64,97.19,96.38,97.04,49643.803
1748502000000,97.05,97.29,96.68,96.96,41877.314
1748505600000,96.97,97.62,96.51,97.46,69070.353
1748509200000,97.47,97.65,97.23,97.53,44443.265
1748512800000,97.53,97.62,97.10,97.54,34670.484
1748516400000,97.54,97.55,96.87,97.07,47938.029
1748520000000,97.07,97.08,96.22,96.52,119611.497
1748523600000,96.52,97.15,95.63,95.95,121560.570
1748527200000,95.94,96.39,94.68,96.25,206259.988
1748530800000,96.26,96.59,95.52,95.71,107388.021
1748534400000,95.71,96.08,94.58,94.82,103521.693
1748538000000,94.82,95.48,94.60,95.35,110350.776
1748541600000,95.36,95.66,94.29,94.32,102965.582
1748545200000,94.33,94.55,93.56,93.76,130689.241
1748548800000,93.76,94.28,93.50,93.70,91406.989
1748552400000,93.70,94.68,93.68,94.62,54598.553
1748556000000,94.63,94.63,93.73,93.75,57207.805
1748559600000,93.76,94.06,92.76,93.14,132388.296
1748563200000,93.14,93.84,89.18,90.26,428231.985
1748566800000,90.27,91.74,90.04,91.28,187600.194
1748570400000,91.28,92.00,91.13,91.58,97222.291
