open_time,open,high,low,close,volume
1747954800000,1732.50,1750.60,1730.50,1747.20,483.465
1747958400000,1747.30,1759.40,1737.30,1755.00,905.328
1747962000000,1754.90,1784.50,1744.10,1778.10,1859.169
1747965600000,1778.20,1818.70,1776.40,1788.10,2220.281
1747969200000,1787.90,1798.30,1774.70,1796.40,1476.477
1747972800000,1796.40,1799.60,1764.90,1777.40,1493.286
1747976400000,1777.30,1787.20,1759.00,1785.80,806.448
1747980000000,1786.10,1788.10,1742.60,1749.20,1674.210
1747983600000,1748.90,1761.80,1742.20,1745.20,632.277
1747987200000,1745.50,1756.90,1743.40,1752.20,799.384
1747990800000,1752.10,1766.60,1748.30,1761.00,761.183
1747994400000,1761.10,1762.20,1729.20,1737.20,1117.061
1747998000000,1737.40,1737.90,1652.70,1667.90,5114.757
1748001600000,1668.10,1672.30,1625.80,1669.90,4565.096
1748005200000,1669.60,1692.00,1662.20,1687.90,2433.800
1748008800000,1688.10,1691.90,1671.90,1673.40,1710.691
1748012400000,1673.40,1687.90,1664.60,1667.00,1307.938
1748016000000,1667.00,1673.80,1650.30,1659.40,1670.167
1748019600000,1659.30,1672.70,1658.20,1665.60,730.995
1748023200000,1665.60,1668.20,1646.60,1652.90,806.734
1748026800000,1652.80,1661.50,1649.50,1656.80,525.342
1748030400000,1656.30,1656.30,1635.90,1638.20,697.299
1748034000000,1638.60,1651.50,1634.20,1644.90,833.181
1748037600000,1645.20,1662.00,1638.20,1638.40,866.623
1748041200000,1638.50,1643.10,1615.40,1632.80,1930.046
1748044800000,1632.90,1648.10,1627.80,1632.20,821.304
1748048400000,1632.30,1645.80,1631.50,1634.80,580.902
1748052000000,1634.80,1649.20,1631.40,1646.30,502.376
1748055600000,1646.20,1665.70,1644.70,1665.00,1259.748
1748059200000,1665.10,1671.70,1658.80,1671.60,467.363
1748062800000,1671.20,1674.90,1660.20,1665.80,453.021
1748066400000,1665.80,1668.00,1650.30,1659.80,465.591
1748070000000,1660.00,1668.90,1656.20,1660.20,461.241
1748073600000,1660.10,1673.50,1657.10,1666.80,1076.901
1748077200000,1666.90,1674.30,1661.80,1663.90,1692.832
1748080800000,1663.90,1675.90,1662.10,1670.70,516.938
1748084400000,1670.60,1675.00,1664.80,1666.40,783.406
1748088000000,1666.70,1669.00,1656.40,1667.80,511.453
1748091600000,1667.80,1675.10,1664.50,1667.90,376.361
1748095200000,1667.70,1680.50,1665.70,1679.20,415.769
1748098800000,1679.20,1679.80,1665.50,1670.90,386.516
1748102400000,1670.90,1679.60,1662.00,1673.60,445.074
1748106000000,1673.80,1678.90,1666.00,1669.50,343.800
1748109600000,1669.50,1672.80,1660.40,1664.60,265.256
1748113200000,1664.50,1668.10,1662.70,1667.80,226.838
1748116800000,1667.90,1668.30,1657.00,1660.60,294.607
1748120400000,1660.60,1660.80,1643.60,1654.80,410.244
1748124000000,1655.00,1655.30,1644.70,1648.40,307.784
1748127600000,1648.50,1655.70,1641.70,1650.40,428.004
1748131200000,1650.40,1654.40,1617.00,1621.70,943.382
