open_time,open,high,low,close,volume
1747954800000,0.0582500,0.0597700,0.0582200,0.0594100,96691707
1747958400000,0.0593900,0.0596400,0.0577100,0.0587800,100211155
1747962000000,0.0587800,0.0620000,0.0587000,0.0618000,119534815
1747965600000,0.0617900,0.0662500,0.0617900,0.0635500,271756914
1747969200000,0.0635600,0.0635700,0.0620600,0.0624200,97474841
1747972800000,0.0624100,0.0633200,0.0621000,0.0625900,91197282
1747976400000,0.0626100,0.0648900,0.0604500,0.0611600,192590921
1747980000000,0.0611700,0.0616100,0.0595600,0.0597900,115906133
1747983600000,0.0598000,0.0622800,0.0597600,0.0606600,117567904
1747987200000,0.0606600,0.0633400,0.0606600,0.0628000,130758808
1747990800000,0.0627900,0.0629600,0.0619000,0.0623800,69390610
1747994400000,0.0624100,0.0624900,0.0609800,0.0621500,70765882
1747998000000,0.0621400,0.0621500,0.0568800,0.0573500,248492616
1748001600000,0.0573500,0.0586500,0.0548600,0.0578400,332121109
1748005200000,0.0578400,0.0597500,0.0572300,0.0593600,140355275
1748008800000,0.0593600,0.0599900,0.0583300,0.0587400,105772331
1748012400000,0.0587400,0.0589900,0.0582900,0.0584500,66366886
1748016000000,0.0584600,0.0593400,0.0577000,0.0584600,76443770
1748019600000,0.0584400,0.0592600,0.0579300,0.0585400,45383858
1748023200000,0.0585500,0.0589000,0.0581500,0.0583100,32398931
1748026800000,0.0583100,0.0588000,0.0581000,0.0583300,27097926
1748030400000,0.0583400,0.0584300,0.0574700,0.0578000,42873938
1748034000000,0.0578000,0.0578900,0.0560000,0.0566100,74055059
1748037600000,0.0566100,0.0585800,0.0565900,0.0579300,90930481
1748041200000,0.0579300,0.0584200,0.0570400,0.0576100,107465357
1748044800000,0.0576200,0.0583200,0.0562600,0.0563400,88293370
1748048400000,0.0563400,0.0568600,0.0553700,0.0556700,68281229
1748052000000,0.0556700,0.0560500,0.0550700,0.0558800,59788462
1748055600000,0.0558800,0.0571000,0.0556600,0.0567100,47779350
1748059200000,0.0567100,0.0570600,0.0561600,0.0563700,33969537
1748062800000,0.0563700,0.0565400,0.0556900,0.0559400,38306796
1748066400000,0.0559500,0.0564500,0.0554300,0.0561400,52935627
1748070000000,0.0561400,0.0569200,0.0556000,0.0561900,43346274
1748073600000,0.0561900,0.0562800,0.0551300,0.0556800,42385737
1748077200000,0.0556900,0.0561600,0.0552400,0.0556000,38055559
1748080800000,0.0556000,0.0572300,0.0550500,0.0571200,61735395
1748084400000,0.0571100,0.0580300,0.0566200,0.0568600,83365597
1748088000000,0.0568600,0.0569600,0.0561100,0.0566000,49317810
1748091600000,0.0566100,0.0570600,0.0562900,0.0565600,27326624
1748095200000,0.0565400,0.0573500,0.0563600,0.0571900,35938059
1748098800000,0.0571900,0.0579300,0.0563000,0.0569800,63334087
1748102400000,0.0569800,0.0576800,0.0565800,0.0574100,45380952
1748106000000,0.0574000,0.0582800,0.0567700,0.0571000,42797039
1748109600000,0.0571100,0.0577000,0.0565200,0.0567100,32401974
1748113200000,0.0566900,0.0573000,0.0566100,0.0567000,28996934
1748116800000,0.0567100,0.0570000,0.0563400,0.0566700,29124415
1748120400000,0.0566700,0.0568900,0.0553000,0.0558200,37160109
1748124000000,0.0558200,0.0558200,0.0530700,0.0538500,139279910
1748127600000,0.0538600,0.0543300,0.0527200,0.0534800,85225890
1748131200000,0.0534800,0.0539200,0.0518900,0.0523200,98656812
1748134800000,0.0523100,0.0525800,0.0514500,0.0515800,95194935
1748138400000,0.0515800,0.0525100,0.0509000,0.0524200,63643350
1748142000000,0.0524100,0.0529300,0.0521600,0.0521900,52831828
1748145600000,0.0522000,0.0527600,0.0519800,0.0526800,35357830
1748149200000,0.0526700,0.0531700,0.0524600,0.0530000,37196730
1748152800000,0.0530000,0.0539700,0.0529100,0.0533200,48117152
1748156400000,0.0533200,0.0534200,0.0522800,0.0523600,60813682
1748160000000,0.0523600,0.0523800,0.0508400,0.0512400,79770320
1748163600000,0.0512500,0.0515000,0.0504200,0.0511100,86564208
1748167200000,0.0511100,0.0514200,0.0507200,0.0508400,43561750
1748170800000,0.0508400,0.0512100,0.0503400,0.0507000,45940302
1748174400000,0.0507100,0.0517800,0.0501600,0.0513900,84263528
1748178000000,0.0513900,0.0518900,0.0511300,0.0513100,39867273
1748181600000,0.0513200,0.0515000,0.0503800,0.0507900,50905697
1748185200000,0.0508000,0.0509400,0.0487800,0.0502400,128524200
1748188800000,0.0502400,0.0502700,0.0490100,0.0500700,64324001
1748192400000,0.0500700,0.0505200,0.0497300,0.0500700,39972976
1748196000000,0.0500700,0.0504200,0.0498600,0.0502900,25467848
1748199600000,0.0502900,0.0518500,0.0502200,0.0512100,77364340
1748203200000,0.0512100,0.0518000,0.0510500,0.0515400,31762621
1748206800000,0.0515300,0.0519500,0.0509400,0.0513800,31273460
1748210400000,0.0513800,0.0546200,0.0513800,0.0543200,130007939
1748214000000,0.0543200,0.0551200,0.0537100,0.0545900,67247302
1748217600000,0.0545900,0.0555900,0.0543900,0.0555000,66577150
1748221200000,0.0555200,0.0556900,0.0542300,0.0550100,51448135
1748224800000,0.0550000,0.0552400,0.0539800,0.0541900,50303844
1748228400000,0.0542200,0.0547000,0.0540900,0.0543800,41499356
1748232000000,0.0543800,0.0545000,0.0537200,0.0539000,42799493
1748235600000,0.0538800,0.0544500,0.0536700,0.0542900,34642616
1748239200000,0.0542800,0.0544700,0.0534100,0.0537400,40843224
1748242800000,0.0537300,0.0543900,0.0532300,0.0538000,57906993
1748246400000,0.0538200,0.0541300,0.0530400,0.0533300,44890064
1748250000000,0.0533400,0.0535200,0.0528100,0.0529300,38446885
1748253600000,0.0529200,0.0533300,0.0525500,0.0529900,41047179
1748257200000,0.0530000,0.0532800,0.0520000,0.0525400,54600603
1748260800000,0.0525300,0.0525300,0.0516500,0.0520200,61743759
1748264400000,0.0520300,0.0523900,0.0510100,0.0512100,67551910
1748268000000,0.0512100,0.0514400,0.0507100,0.0514000,68470018
1748271600000,0.0514100,0.0526900,0.0511900,0.0524100,79222828
1748275200000,0.0524200,0.0529700,0.0508800,0.0513200,102125276
1748278800000,0.0513100,0.0514700,0.0503500,0.0508900,55291023
1748282400000,0.0509000,0.0513700,0.0507100,0.0510400,35101696
1748286000000,0.0510400,0.0512100,0.0506300,0.0507900,26860567
1748289600000,0.0508000,0.0513000,0.0503500,0.0509400,40930249
1748293200000,0.0509300,0.0511100,0.0505600,0.0507500,22396558
1748296800000,0.0507600,0.0516600,0.0506000,0.0506600,34401832
1748300400000,0.0506700,0.0512100,0.0504400,0.0510800,29063522
1748304000000,0.0510800,0.0517200,0.0504500,0.0505000,34556935
1748307600000,0.0505000,0.0509200,0.0493200,0.0508700,93435504
1748311200000,0.0508600,0.0516900,0.0506100,0.0513800,46127106
1748314800000,0.0513800,0.0523900,0.0513400,0.0520400,42375911
1748318400000,0.0520400,0.0522900,0.0516400,0.0520700,41041460
1748322000000,0.0520700,0.0522300,0.0515500,0.0519600,25698167
1748325600000,0.0519600,0.0528900,0.0516700,0.0516900,61301764
1748329200000,0.0517000,0.0522600,0.0515600,0.0518500,38371974
1748332800000,0.0518600,0.0524700,0.0518600,0.0524500,34305340
1748336400000,0.0524600,0.0527200,0.0518500,0.0527100,30892455
1748340000000,0.0527100,0.0527200,0.0521400,0.0522900,29385093
1748343600000,0.0522900,0.0525500,0.0517300,0.0523700,35144777
1748347200000,0.0523700,0.0528000,0.0519500,0.0525000,39019168
1748350800000,0.0524800,0.0535700,0.0518700,0.0520200,79383862
1748354400000,0.0520300,0.0527100,0.0513600,0.0521000,63887710
1748358000000,0.0521100,0.0526800,0.0519200,0.0525600,38834416
1748361600000,0.0525700,0.0531500,0.0520300,0.0526200,42090272
1748365200000,0.0526200,0.0530700,0.0524400,0.0525000,26460962
1748368800000,0.0525100,0.0529900,0.0523400,0.0528200,26418469
1748372400000,0.0528100,0.0531900,0.0526200,0.0531100,23668716
1748376000000,0.0531200,0.0536800,0.0528700,0.0532100,31364295
1748379600000,0.0532100,0.0534700,0.0526100,0.0527300,21005405
1748383200000,0.0527300,0.0530200,0.0522900,0.0524300,30672867
1748386800000,0.0524300,0.0535600,0.0523500,0.0534900,30851178
1748390400000,0.0534900,0.0543800,0.0524800,0.0543300,68625664
1748394000000,0.0543300,0.0546800,0.0528300,0.0529000,54813360
1748397600000,0.0529100,0.0536100,0.0523800,0.0530000,36192617
1748401200000,0.0530000,0.0535000,0.0524800,0.0529200,24264932
1748404800000,0.0529200,0.0533600,0.0526200,0.0529400,27774817
1748408400000,0.0529200,0.0529400,0.0515100,0.0521400,64856723
1748412000000,0.0521500,0.0521500,0.0511500,0.0513100,53368602
