open_time,open,high,low,close,volume
1747954800000,3.0610,3.0810,3.0510,3.0770,1287660
1747958400000,3.0770,3.1110,3.0630,3.0740,2013411
1747962000000,3.0740,3.0990,3.0380,3.0850,2668301
1747965600000,3.0850,3.1450,3.0800,3.1240,2934912
1747969200000,3.1230,3.1570,3.1210,3.1520,1796283
1747972800000,3.1520,3.1610,3.0750,3.1050,3230567
1747976400000,3.1050,3.1190,3.0570,3.0850,2032805
1747980000000,3.0840,3.0910,3.0260,3.0450,2393665
1747983600000,3.0450,3.0770,3.0320,3.0410,1694618
1747987200000,3.0420,3.0920,3.0360,3.0910,1743683
1747990800000,3.0900,3.1290,3.0790,3.1240,2352340
1747994400000,3.1240,3.1250,3.0700,3.0780,2026951
1747998000000,3.0780,3.0810,2.9080,2.9230,9026765
1748001600000,2.9240,2.9280,2.8400,2.8930,9326832
1748005200000,2.8930,2.9540,2.8750,2.9500,4289403
1748008800000,2.9500,2.9820,2.9310,2.9530,2817108
1748012400000,2.9520,2.9650,2.9130,2.9150,2359226
1748016000000,2.9160,2.9330,2.8840,2.9300,2606867
1748019600000,2.9300,2.9570,2.9230,2.9380,1469195
1748023200000,2.9380,2.9490,2.8980,2.9080,1757850
1748026800000,2.9080,2.9360,2.9020,2.9130,1101007
1748030400000,2.9130,2.9130,2.8670,2.8710,2100854
1748034000000,2.8720,2.8940,2.8560,2.8700,1463147
1748037600000,2.8700,2.8900,2.8470,2.8480,1429138
1748041200000,2.8480,2.8550,2.7800,2.7950,3958963
1748044800000,2.7950,2.8390,2.7830,2.8010,3330814
1748048400000,2.8020,2.8370,2.7990,2.8040,1609925
1748052000000,2.8030,2.8260,2.7880,2.8210,1389957
1748055600000,2.8210,2.8430,2.8140,2.8300,1195771
1748059200000,2.8310,2.8530,2.8180,2.8440,1289125
1748062800000,2.8440,2.8460,2.8160,2.8290,1059295
1748066400000,2.8290,2.8420,2.8080,2.8250,1527156
1748070000000,2.8260,2.8410,2.8060,2.8170,1328992
1748073600000,2.8170,2.8260,2.7950,2.8240,1396221
1748077200000,2.8240,2.8310,2.8080,2.8090,1063953
1748080800000,2.8100,2.8530,2.8040,2.8450,2097295
1748084400000,2.8440,2.8570,2.8320,2.8360,1749069
1748088000000,2.8350,2.8390,2.8140,2.8270,1446468
1748091600000,2.8270,2.8290,2.8030,2.8060,1133878
1748095200000,2.8050,2.8230,2.7980,2.8180,1210485
1748098800000,2.8170,2.8260,2.7870,2.8040,1339297
1748102400000,2.8040,2.8160,2.7820,2.8060,1432712
1748106000000,2.8060,2.8240,2.7980,2.7990,1057791
1748109600000,2.7980,2.8120,2.7750,2.7790,914894
1748113200000,2.7790,2.7970,2.7750,2.7930,900482
1748116800000,2.7930,2.8080,2.7850,2.7980,1057156
1748120400000,2.7970,2.8000,2.7660,2.7910,762204
1748124000000,2.7910,2.7920,2.7640,2.7680,832693
1748127600000,2.7680,2.7930,2.7530,2.7740,1769693
1748131200000,2.7740,2.7850,2.7250,2.7390,2442412
1748134800000,2.7390,2.7530,2.7210,2.7330,2118202
1748138400000,2.7340,2.7570,2.7220,2.7530,1117987
1748142000000,2.7520,2.7720,2.7510,2.7630,972443
1748145600000,2.7630,2.7750,2.7520,2.7740,601221
1748149200000,2.7730,2.7860,2.7660,2.7860,767268
1748152800000,2.7860,2.7900,2.7630,2.7700,688202
1748156400000,2.7690,2.7690,2.7380,2.7480,940398
1748160000000,2.7490,2.7490,2.6920,2.7080,2627656
1748163600000,2.7080,2.7120,2.6830,2.7030,2067614
1748167200000,2.7030,2.7090,2.6830,2.6850,1321655
1748170800000,2.6850,2.6990,2.6810,2.6930,945000
1748174400000,2.6930,2.7120,2.6710,2.7110,1940351
1748178000000,2.7100,2.7220,2.6920,2.7040,1346291
1748181600000,2.7030,2.7120,2.6720,2.6820,1507863
1748185200000,2.6820,2.6880,2.6330,2.6780,3870365
1748188800000,2.6780,2.6780,2.6460,2.6630,1369111
1748192400000,2.6630,2.6740,2.6460,2.6610,1071531
1748196000000,2.6620,2.6820,2.6580,2.6640,1098968
1748199600000,2.6640,2.7030,2.6610,2.6900,912921
1748203200000,2.6910,2.6950,2.6690,2.6820,922354
1748206800000,2.6830,2.7000,2.6660,2.6810,757633
1748210400000,2.6820,2.8050,2.6770,2.8050,4147299
1748214000000,2.8040,2.8130,2.7700,2.7940,2600759
1748217600000,2.7950,2.8390,2.7740,2.8360,2059397
1748221200000,2.8370,2.8430,2.7990,2.8130,1558937
1748224800000,2.8140,2.8200,2.7840,2.7900,1211424
1748228400000,2.7900,2.8180,2.7810,2.8080,1231863
1748232000000,2.8080,2.8210,2.7980,2.8060,1412586
1748235600000,2.8050,2.8160,2.7900,2.8100,1275054
1748239200000,2.8090,2.8420,2.8050,2.8390,1656596
1748242800000,2.8380,2.8690,2.8290,2.8560,2847107
1748246400000,2.8560,2.8620,2.8200,2.8270,2185139
1748250000000,2.8280,2.8560,2.8190,2.8240,2077785
1748253600000,2.8240,2.8410,2.8060,2.8150,1191684
1748257200000,2.8150,2.8220,2.7980,2.8070,1552944
1748260800000,2.8070,2.8370,2.7910,2.8320,1815578
1748264400000,2.8330,2.8510,2.7800,2.7860,2378100
1748268000000,2.7870,2.7980,2.7570,2.7830,2322206
1748271600000,2.7840,2.8430,2.7710,2.8160,3073997
1748275200000,2.8150,2.8340,2.7610,2.7780,3359072
1748278800000,2.7780,2.7900,2.7410,2.7520,1800591
1748282400000,2.7520,2.7700,2.7420,2.7520,1247765
1748286000000,2.7520,2.7630,2.7400,2.7530,756713
1748289600000,2.7530,2.7770,2.7370,2.7750,1370996
1748293200000,2.7750,2.7790,2.7530,2.7630,806101
1748296800000,2.7630,2.7900,2.7430,2.7470,1106364
1748300400000,2.7470,2.7690,2.7330,2.7660,1642218
1748304000000,2.7670,2.7870,2.7460,2.7510,1200705
1748307600000,2.7500,2.7500,2.6910,2.7250,3323166
1748311200000,2.7250,2.7660,2.7230,2.7560,1886785
1748314800000,2.7560,2.8160,2.7550,2.7850,2468014
1748318400000,2.7850,2.8050,2.7730,2.7820,1271544
1748322000000,2.7830,2.8050,2.7650,2.8010,995620
1748325600000,2.8010,2.8620,2.8010,2.8200,3315502
1748329200000,2.8190,2.8550,2.8190,2.8500,1943178
1748332800000,2.8500,2.8910,2.8500,2.8900,2664295
1748336400000,2.8910,2.8970,2.8490,2.8690,2871771
1748340000000,2.8690,2.8730,2.8530,2.8640,1185483
1748343600000,2.8630,2.8870,2.8430,2.8780,1787094
1748347200000,2.8770,2.8980,2.8630,2.8780,1668960
1748350800000,2.8780,2.9250,2.8630,2.8700,4337248
1748354400000,2.8690,2.8830,2.8230,2.8530,3294093
1748358000000,2.8530,2.8910,2.8360,2.8800,2275963
1748361600000,2.8800,2.9030,2.8650,2.8860,1870413
1748365200000,2.8860,2.9110,2.8760,2.8880,1849112
1748368800000,2.8880,2.9020,2.8640,2.8680,1462131
1748372400000,2.8680,2.8710,2.8520,2.8620,994465
1748376000000,2.8630,2.8770,2.8540,2.8560,1029926
1748379600000,2.8560,2.8640,2.8310,2.8370,1169603
1748383200000,2.8380,2.8440,2.8110,2.8200,1620653
1748386800000,2.8200,2.8230,2.8060,2.8160,1187170
1748390400000,2.8160,2.8280,2.7860,2.8280,2729072
1748394000000,2.8280,2.8380,2.8090,2.8130,1976865
1748397600000,2.8120,2.8210,2.7870,2.8110,1336989
1748401200000,2.8120,2.8340,2.8030,2.8270,937093
1748404800000,2.8260,2.8420,2.8130,2.8380,1040168
1748408400000,2.8380,2.8440,2.8180,2.8350,1023637
1748412000000,2.8350,2.8350,2.8050,2.8090,1185514
1748415600000,2.8090,2.8420,2.8020,2.8270,1219161
1748419200000,2.8280,2.8620,2.8180,2.8610,1677758
1748422800000,2.8610,2.8660,2.8250,2.8470,1533825
1748426400000,2.8460,2.8620,2.8080,2.8610,1996054
1748430000000,2.8610,2.8780,2.8560,2.8670,1605531
1748433600000,2.8670,2.8980,2.8460,2.8740,3034046
1748437200000,2.8740,2.8860,2.8330,2.8350,3072401
1748440800000,2.8350,2.8460,2.7980,2.7980,3528803
1748444400000,2.7990,2.8100,2.7690,2.7780,3165196
1748448000000,2.7790,2.8110,2.7770,2.7980,1264625
1748451600000,2.7990,2.8420,2.7980,2.8100,1831770
1748455200000,2.8090,2.8370,2.7720,2.7760,1772605
1748458800000,2.7750,2.8010,2.7390,2.7460,3277344
1748462400000,2.7450,2.7840,2.7340,2.7810,2365643
1748466000000,2.7820,2.8140,2.7710,2.8120,1126435
1748469600000,2.8110,2.8140,2.7870,2.7980,954447
1748473200000,2.7980,2.8720,2.7910,2.8700,2649898
1748476800000,2.8690,2.9310,2.8440,2.9300,4252901
1748480400000,2.9300,2.9390,2.8830,2.9180,5427530
1748484000000,2.9180,2.9880,2.8950,2.9810,4242897
1748487600000,2.9800,2.9890,2.9360,2.9450,2293161
1748491200000,2.9450,2.9610,2.8810,2.9120,2836599
1748494800000,2.9120,2.9320,2.9020,2.9160,1308561
1748498400000,2.9160,2.9630,2.9150,2.9500,1755723
1748502000000,2.9500,2.9530,2.9290,2.9370,1247765
1748505600000,2.9380,2.9660,2.9140,2.9600,2586630
1748509200000,2.9600,2.9600,2.9190,2.9270,1493005
1748512800000,2.9280,2.9610,2.9140,2.9360,3207865
1748516400000,2.9360,2.9460,2.9120,2.9440,3044017
1748520000000,2.9430,2.9470,2.8810,2.8960,3763811
1748523600000,2.8970,2.9170,2.8500,2.8580,4389436
1748527200000,2.8570,2.8760,2.8070,2.8680,5896053
1748530800000,2.8690,2.8810,2.8300,2.8320,2167201
1748534400000,2.8330,2.8470,2.8110,2.8190,3174010
1748538000000,2.8180,2.8400,2.8050,2.8190,2884561
1748541600000,2.8200,2.8480,2.7980,2.7980,2915905
1748545200000,2.7980,2.8100,2.7590,2.7730,3807407
1748548800000,2.7730,2.7990,2.7720,2.7850,1748222
1748552400000,2.7850,2.8290,2.7840,2.8260,1796297
1748556000000,2.8250,2.8270,2.7830,2.7830,1230816
1748559600000,2.7840,2.7970,2.7320,2.7530,2490540
1748563200000,2.7530,2.7680,2.5690,2.6160,9900335
1748566800000,2.6160,2.6610,2.6100,2.6420,6207285
1748570400000,2.6420,2.6760,2.6350,2.6510,2844120
1748574000000,2.6500,2.6790,2.6430,2.6680,1537639
1748577600000,2.6690,2.6690,2.6370,2.6500,1684760
1748581200000,2.6500,2.6660,2.6410,2.6580,1329796
1748584800000,2.6590,2.6610,2.5940,2.6120,3659048
1748588400000,2.6130,2.6370,2.6010,2.6140,2613837
1748592000000,2.6150,2.6370,2.5970,2.6140,3326666
1748595600000,2.6140,2.6390,2.6010,2.6370,2763529
1748599200000,2.6360,2.6430,2.6120,2.6320,1800108
1748602800000,2.6330,2.6500,2.6250,2.6440,1812634
1748606400000,2.6450,2.6530,2.5960,2.6300,3644163
1748610000000,2.6300,2.6440,2.5830,2.5890,3116436
1748613600000,2.5900,2.6180,2.5790,2.6030,2351676
1748617200000,2.6030,2.6110,2.5770,2.5800,3467264
1748620800000,2.5800,2.5920,2.4730,2.4950,10273289
1748624400000,2.4950,2.5190,2.4820,2.5010,2979539
1748628000000,2.5020,2.5370,2.4930,2.5320,1941935
1748631600000,2.5320,2.5420,2.5180,2.5240,1881970
1748635200000,2.5230,2.5290,2.5060,2.5080,1378249
1748638800000,2.5090,2.5180,2.4860,2.4900,1065478
1748642400000,2.4910,2.4980,2.4340,2.4350,4494284
1748646000000,2.4350,2.4540,2.4070,2.4410,4345017
1748649600000,2.4410,2.4510,2.3670,2.3730,5983648
1748653200000,2.3730,2.3960,2.3390,2.3640,5148336
1748656800000,2.3650,2.3890,2.3500,2.3520,2553723
1748660400000,2.3530,2.3760,2.3310,2.3670,2333701
1748664000000,2.3670,2.3960,2.3470,2.3910,2515524
1748667600000,2.3900,2.4060,2.3780,2.3830,2467675
1748671200000,2.3820,2.4100,2.3800,2.3920,1874797
1748674800000,2.3910,2.4170,2.3820,2.4090,1996033
1748678400000,2.4100,2.4200,2.3840,2.3960,3636815
1748682000000,2.3960,2.4120,2.3860,2.3920,1612076
1748685600000,2.3920,2.4120,2.3660,2.3820,2245440
1748689200000,2.3820,2.3860,2.3670,2.3770,852211
1748692800000,2.3770,2.4200,2.3730,2.4200,1564728
1748696400000,2.4200,2.4530,2.4130,2.4200,3028332
1748700000000,2.4200,2.4470,2.4180,2.4390,1716505
1748703600000,2.4380,2.4650,2.4250,2.4310,3190076
1748707200000,2.4320,2.4610,2.4220,2.4560,2092868
1748710800000,2.4560,2.4590,2.4080,2.4120,2213396
1748714400000,2.4110,2.4280,2.4050,2.4200,1691751
1748718000000,2.4200,2.4350,2.4160,2.4210,1192870
1748721600000,2.4210,2.4260,2.4100,2.4220,1026391
1748725200000,2.4220,2.4490,2.4210,2.4350,2195869
1748728800000,2.4340,2.4370,2.4130,2.4140,1103147
1748732400000,2.4130,2.4340,2.4080,2.4190,1406542
1748736000000,2.4180,2.4230,2.4020,2.4150,1127698
1748739600000,2.4160,2.4330,2.3920,2.4020,1065309
1748743200000,2.4010,2.4190,2.3800,2.4120,1944977
1748746800000,2.4130,2.4200,2.3940,2.4100,793450
1748750400000,2.4090,2.4380,2.4040,2.4310,1014164
1748754000000,2.4300,2.4420,2.4170,2.4240,830389
1748757600000,2.4240,2.4260,2.4040,2.4070,810937
1748761200000,2.4060,2.4080,2.3960,2.4080,789751
1748764800000,2.4070,2.4160,2.3890,2.3960,1376807
1748768400000,2.3960,2.4050,2.3490,2.3630,2230266
1748772000000,2.3640,2.3830,2.3590,2.3810,1127311
1748775600000,2.3800,2.4010,2.3730,2.3910,877152
1748779200000,2.3910,2.3990,2.3680,2.3800,1138955
1748782800000,2.3800,2.4090,2.3780,2.3990,1035521
1748786400000,2.4000,2.4400,2.3990,2.4260,1748564
1748790000000,2.4250,2.4340,2.4130,2.4290,1142337
1748793600000,2.4290,2.4700,2.4260,2.4510,2751945
1748797200000,2.4520,2.4580,2.4400,2.4450,1469218
1748800800000,2.4450,2.4460,2.3830,2.4150,3181735
1748804400000,2.4150,2.4320,2.4130,2.4310,1421842
1748808000000,2.4310,2.4410,2.4190,2.4280,1204655
1748811600000,2.4280,2.4550,2.4250,2.4540,890309
1748815200000,2.4540,2.4670,2.4450,2.4500,1211029
1748818800000,2.4500,2.4730,2.4500,2.4600,978808
1748822400000,2.4600,2.4690,2.4480,2.4590,1263748
1748826000000,2.4590,2.4780,2.4430,2.4430,1271133
1748829600000,2.4440,2.4460,2.4250,2.4310,1090970
1748833200000,2.4310,2.4340,2.4110,2.4190,1288680
1748836800000,2.4180,2.4280,2.4070,2.4110,892989
1748840400000,2.4100,2.4230,2.3960,2.4110,899332
1748844000000,2.4110,2.4330,2.3990,2.4190,1076753
1748847600000,2.4190,2.4470,2.4180,2.4290,959508
1748851200000,2.4290,2.4420,2.3990,2.4070,2154451
1748854800000,2.4070,2.4070,2.3740,2.3800,1956686
1748858400000,2.3800,2.3930,2.3720,2.3870,1642918
1748862000000,2.3880,2.3970,2.3770,2.3860,1430445
1748865600000,2.3870,2.4130,2.3790,2.4090,1544850
1748869200000,2.4090,2.4380,2.3920,2.4010,2595970
1748872800000,2.4010,2.4440,2.3920,2.4180,2910032
1748876400000,2.4190,2.4350,2.4040,2.4220,1758941
