open_time,open,high,low,close,volume
1747954800000,0.00059890,0.00062360,0.00059890,0.00061030,60825319231
1747958400000,0.00061040,0.00063870,0.00060270,0.00063490,59793534857
1747962000000,0.00063480,0.00067200,0.00063440,0.00064280,76920600585
1747965600000,0.00064280,0.00066060,0.00063480,0.00064030,42508248273
1747969200000,0.00064020,0.00064230,0.00061780,0.00062440,33061066470
1747972800000,0.00062430,0.00062540,0.00060080,0.00060480,27650775580
1747976400000,0.00060480,0.00060970,0.00058410,0.00059220,30079064054
1747980000000,0.00059230,0.00059280,0.00057130,0.00057660,29722649452
1747983600000,0.00057660,0.00059150,0.00057650,0.00058560,28431420849
1747987200000,0.00058580,0.00059560,0.00058210,0.00058980,20056482011
1747990800000,0.00058980,0.00060030,0.00058690,0.00059970,21990881155
1747994400000,0.00059970,0.00060010,0.00058720,0.00059540,16669776779
1747998000000,0.00059540,0.00059820,0.00055330,0.00055930,56398587188
1748001600000,0.00055940,0.00056050,0.00054090,0.00054830,63851694488
1748005200000,0.00054840,0.00057040,0.00054750,0.00056620,38951584625
1748008800000,0.00056590,0.00057120,0.00056300,0.00056420,21615713911
1748012400000,0.00056420,0.00056680,0.00055760,0.00055940,21938860401
1748016000000,0.00055930,0.00057080,0.00055220,0.00056930,24998940023
1748019600000,0.00056940,0.00057900,0.00056580,0.00056740,20210273597
1748023200000,0.00056730,0.00057040,0.00056330,0.00056630,12175731484
1748026800000,0.00056630,0.00057270,0.00056380,0.00056570,9757676204
1748030400000,0.00056560,0.00056590,0.00055580,0.00055860,15318255549
1748034000000,0.00055870,0.00056160,0.00055180,0.00055560,10658894963
1748037600000,0.00055570,0.00056160,0.00054770,0.00054860,13549374416
1748041200000,0.00054850,0.00055190,0.00052290,0.00052980,41645663529
1748044800000,0.00052980,0.00054080,0.00052400,0.00052830,25228220690
1748048400000,0.00052820,0.00054040,0.00052660,0.00053110,15106265978
1748052000000,0.00053110,0.00053620,0.00052700,0.00053430,14847975464
1748055600000,0.00053420,0.00054310,0.00053130,0.00053990,14306040568
1748059200000,0.00054000,0.00054380,0.00053650,0.00053720,10696957254
1748062800000,0.00053720,0.00053740,0.00052820,0.00053210,13026741002
1748066400000,0.00053200,0.00053510,0.00052130,0.00053480,17038814319
1748070000000,0.00053480,0.00054180,0.00053120,0.00053410,18831254849
1748073600000,0.00053410,0.00053420,0.00052510,0.00053230,12429442555
1748077200000,0.00053240,0.00053820,0.00052760,0.00052880,15612405495
1748080800000,0.00052880,0.00054060,0.00052580,0.00053800,17971259049
1748084400000,0.00053810,0.00054290,0.00053150,0.00053550,16575349519
1748088000000,0.00053550,0.00053980,0.00052980,0.00053570,13578271368
1748091600000,0.00053580,0.00053750,0.00052630,0.00052680,14937311960
1748095200000,0.00052680,0.00053760,0.00052610,0.00053450,12637252540
1748098800000,0.00053470,0.00053760,0.00052210,0.00052850,21050003050
1748102400000,0.00052850,0.00053290,0.00051900,0.00052970,21729315969
1748106000000,0.00052960,0.00053630,0.00052120,0.00052350,22515349898
1748109600000,0.00052340,0.00053300,0.00051660,0.00051850,20485403230
1748113200000,0.00051840,0.00052500,0.00051620,0.00052090,12146841682
1748116800000,0.00052090,0.00053150,0.00051760,0.00052290,13989501659
1748120400000,0.00052300,0.00052450,0.00051030,0.00051400,17761695477
1748124000000,0.00051410,0.00051470,0.00050710,0.00051220,17726479539
