open_time,open,high,low,close,volume
1750341600000,0.1500000,0.3576000,0.1500000,0.2469000,53704333
1750345200000,0.2469000,0.2541000,0.2242000,0.2309000,64991937
1750348800000,0.2310000,0.2379000,0.2260000,0.2342000,20892615
1750352400000,0.2341000,0.2499000,0.2300000,0.2324000,21814669
1750356000000,0.2325000,0.2464000,0.2308000,0.2458000,11488461
1750359600000,0.2454000,0.2500000,0.2400000,0.2424000,9986460
1750363200000,0.2427000,0.2440000,0.2357000,0.2404000,5675014
1750366800000,0.2402000,0.2412000,0.2261000,0.2368000,11011019
1750370400000,0.2365000,0.2378000,0.2266000,0.2277000,6455728
1750374000000,0.2278000,0.2345000,0.2234000,0.2326000,6655336
1750377600000,0.2324000,0.2450000,0.2295000,0.2367000,7666723
1750381200000,0.2364000,0.2415000,0.2338000,0.2374000,5618980
1750384800000,0.2372000,0.2400000,0.2234000,0.2305000,8590513
1750388400000,0.2304000,0.2332000,0.2262000,0.2306000,3538547
1750392000000,0.2304000,0.2386000,0.2292000,0.2319000,6295962
1750395600000,0.2317000,0.2370000,0.2281000,0.2340000,6678982
1750399200000,0.2343000,0.2430000,0.2339000,0.2403000,10702561
1750402800000,0.2402000,0.2884000,0.2350000,0.2694000,39897043
1750406400000,0.2694000,0.2700000,0.2512000,0.2567000,17749118
1750410000000,0.2566000,0.2627000,0.2480000,0.2509000,14774683
1750413600000,0.2509000,0.2593000,0.2382000,0.2454000,22825713
1750417200000,0.2455000,0.2533000,0.2438000,0.2488000,9155130
1750420800000,0.2487000,0.2510000,0.2422000,0.2494000,8475283
1750424400000,0.2493000,0.2535000,0.2443000,0.2468000,10028912
1750428000000,0.2468000,0.2550000,0.2450000,0.2491000,9694567
1750431600000,0.2490000,0.2666000,0.2466000,0.2537000,11059761
1750435200000,0.2537000,0.2625000,0.2519000,0.2590000,12238861
1750438800000,0.2590000,0.2620000,0.2451000,0.2595000,12124331
1750442400000,0.2595000,0.2600000,0.2531000,0.2550000,4096083
1750446000000,0.2550000,0.2583000,0.2512000,0.2532000,2549915
1750449600000,0.2532000,0.2600000,0.2525000,0.2589000,3069732
1750453200000,0.2589000,0.2782000,0.2567000,0.2686000,10339251
1750456800000,0.2685000,0.2741000,0.2633000,0.2711000,6311083
1750460400000,0.2709000,0.2766000,0.2601000,0.2624000,5973873
1750464000000,0.2625000,0.2658000,0.2458000,0.2561000,9769690
1750467600000,0.2562000,0.2629000,0.2543000,0.2591000,4339656
1750471200000,0.2591000,0.2695000,0.2575000,0.2680000,4162004
1750474800000,0.2681000,0.2700000,0.2660000,0.2692000,3732191
1750478400000,0.2694000,0.2736000,0.2650000,0.2667000,5041751
1750482000000,0.2667000,0.2717000,0.2649000,0.2659000,4125503
1750485600000,0.2661000,0.2872000,0.2658000,0.2777000,9607898
1750489200000,0.2776000,0.2830000,0.2733000,0.2759000,6945630
1750492800000,0.2762000,0.2798000,0.2590000,0.2677000,9450042
1750496400000,0.2678000,0.2799000,0.2654000,0.2792000,7651364
1750500000000,0.2792000,0.2840000,0.2757000,0.2782000,5658467
1750503600000,0.2780000,0.2880000,0.2739000,0.2861000,7147343
1750507200000,0.2863000,0.3009000,0.2800000,0.2847000,23438310
1750510800000,0.2845000,0.2935000,0.2793000,0.2835000,9726437
1750514400000,0.2838000,0.2908000,0.2781000,0.2811000,10071002
1750518000000,0.2811000,0.2838000,0.2646000,0.2797000,11289047
1750521600000,0.2796000,0.2828000,0.2724000,0.2768000,4924001
1750525200000,0.2770000,0.2877000,0.2756000,0.2847000,6311303
1750528800000,0.2848000,0.2863000,0.2734000,0.2744000,6700313
1750532400000,0.2744000,0.2755000,0.2631000,0.2665000,6641691
1750536000000,0.2664000,0.2796000,0.2649000,0.2770000,5106674
1750539600000,0.2770000,0.2877000,0.2750000,0.2830000,7568046
1750543200000,0.2831000,0.2850000,0.2806000,0.2823000,2859977
