open_time,open,high,low,close,volume
1747954800000,1.0076000,1.0206000,1.0076000,1.0198000,3207378.9
1747958400000,1.0199000,1.0227000,1.0097000,1.0181000,5668692.9
1747962000000,1.0180000,1.0341000,1.0140000,1.0333000,7620739.3
1747965600000,1.0333000,1.0500000,1.0315000,1.0412000,15676090.0
1747969200000,1.0413000,1.0514000,1.0408000,1.0470000,6575511.1
1747972800000,1.0470000,1.0483000,1.0194000,1.0287000,11041561.4
1747976400000,1.0286000,1.0330000,1.0179000,1.0271000,6973873.3
1747980000000,1.0270000,1.0286000,1.0045000,1.0089000,9584149.0
1747983600000,1.0089000,1.0188000,1.0064000,1.0136000,6671956.3
1747987200000,1.0136000,1.0254000,1.0101000,1.0228000,4830809.8
1747990800000,1.0228000,1.0403000,1.0198000,1.0378000,7241032.0
1747994400000,1.0377000,1.0380000,1.0238000,1.0332000,5284028.1
1747998000000,1.0332000,1.0334000,0.9718000,0.9779000,35502871.3
1748001600000,0.9781000,0.9791000,0.9400000,0.9661000,49460742.3
1748005200000,0.9661000,0.9870000,0.9579000,0.9858000,18086131.8
1748008800000,0.9858000,0.9949000,0.9826000,0.9878000,12041050.4
1748012400000,0.9878000,0.9921000,0.9699000,0.9710000,9807733.9
1748016000000,0.9709000,0.9786000,0.9626000,0.9762000,10388778.9
1748019600000,0.9760000,0.9848000,0.9753000,0.9810000,5658265.8
1748023200000,0.9810000,0.9834000,0.9681000,0.9708000,5226414.2
1748026800000,0.9708000,0.9770000,0.9675000,0.9692000,3640722.1
1748030400000,0.9692000,0.9693000,0.9524000,0.9544000,6999166.0
1748034000000,0.9545000,0.9608000,0.9501000,0.9531000,4841028.9
1748037600000,0.9532000,0.9609000,0.9436000,0.9438000,5158413.8
1748041200000,0.9438000,0.9465000,0.9236000,0.9329000,14764412.1
1748044800000,0.9328000,0.9446000,0.9267000,0.9310000,8917560.6
1748048400000,0.9310000,0.9438000,0.9298000,0.9359000,5760848.9
1748052000000,0.9358000,0.9454000,0.9323000,0.9425000,3124533.8
1748055600000,0.9425000,0.9530000,0.9409000,0.9530000,5289746.6
1748059200000,0.9529000,0.9574000,0.9485000,0.9553000,3624522.8
1748062800000,0.9553000,0.9567000,0.9472000,0.9518000,3270052.0
1748066400000,0.9518000,0.9545000,0.9444000,0.9507000,4018430.6
1748070000000,0.9507000,0.9550000,0.9463000,0.9478000,3084234.6
1748073600000,0.9480000,0.9513000,0.9413000,0.9509000,4230548.7
1748077200000,0.9509000,0.9530000,0.9466000,0.9470000,2615195.1
1748080800000,0.9471000,0.9620000,0.9460000,0.9597000,6075683.8
1748084400000,0.9597000,0.9655000,0.9564000,0.9570000,4378211.8
1748088000000,0.9570000,0.9589000,0.9523000,0.9582000,3909133.5
1748091600000,0.9582000,0.9589000,0.9503000,0.9507000,2766714.7
1748095200000,0.9506000,0.9605000,0.9503000,0.9593000,2986428.5
1748098800000,0.9593000,0.9619000,0.9527000,0.9569000,2965237.9
1748102400000,0.9570000,0.9575000,0.9488000,0.9542000,2736305.6
1748106000000,0.9542000,0.9603000,0.9511000,0.9525000,2125560.8
1748109600000,0.9524000,0.9587000,0.9481000,0.9491000,1775178.2
1748113200000,0.9490000,0.9512000,0.9460000,0.9482000,2247795.5
1748116800000,0.9483000,0.9531000,0.9463000,0.9492000,1790033.4
1748120400000,0.9491000,0.9500000,0.9396000,0.9468000,2788054.3
1748124000000,0.9468000,0.9470000,0.9368000,0.9383000,3318444.8
1748127600000,0.9382000,0.9445000,0.9338000,0.9397000,4629855.1
1748131200000,0.9398000,0.9461000,0.9247000,0.9284000,6846472.6
1748134800000,0.9284000,0.9330000,0.9200000,0.9283000,5619131.7
1748138400000,0.9284000,0.9362000,0.9217000,0.9355000,4101202.5
1748142000000,0.9354000,0.9431000,0.9348000,0.9403000,3020221.9
1748145600000,0.9402000,0.9433000,0.9357000,0.9424000,2719463.0
