open_time,open,high,low,close,volume
1747954800000,0.5259000,0.5465000,0.5258000,0.5409000,15535922
1747958400000,0.5410000,0.5482000,0.5336000,0.5436000,8989267
1747962000000,0.5435000,0.5674000,0.5433000,0.5670000,13165322
1747965600000,0.5669000,0.5918000,0.5642000,0.5813000,15704624
1747969200000,0.5812000,0.5957000,0.5810000,0.5910000,11281013
1747972800000,0.5911000,0.5928000,0.5651000,0.5754000,14386427
1747976400000,0.5752000,0.5765000,0.5584000,0.5666000,8547965
1747980000000,0.5666000,0.5666000,0.5470000,0.5510000,10473247
1747983600000,0.5510000,0.5619000,0.5492000,0.5509000,8330355
1747987200000,0.5510000,0.5752000,0.5488000,0.5743000,12395958
1747990800000,0.5742000,0.5891000,0.5703000,0.5887000,11831023
1747994400000,0.5887000,0.5904000,0.5796000,0.5874000,10548266
1747998000000,0.5873000,0.5874000,0.5380000,0.5416000,31726693
1748001600000,0.5418000,0.5469000,0.5126000,0.5427000,43006995
1748005200000,0.5426000,0.5652000,0.5359000,0.5644000,22257963
1748008800000,0.5645000,0.5797000,0.5567000,0.5681000,14646313
1748012400000,0.5681000,0.5723000,0.5454000,0.5467000,15856954
1748016000000,0.5467000,0.5623000,0.5312000,0.5609000,26694438
1748019600000,0.5608000,0.5714000,0.5522000,0.5561000,13564377
1748023200000,0.5562000,0.5624000,0.5437000,0.5491000,10396603
1748026800000,0.5491000,0.5535000,0.5414000,0.5443000,8404464
1748030400000,0.5442000,0.5453000,0.5285000,0.5300000,10111803
1748034000000,0.5301000,0.5346000,0.5201000,0.5232000,8160337
1748037600000,0.5231000,0.5301000,0.5069000,0.5107000,11709372
1748041200000,0.5106000,0.5110000,0.4884000,0.4978000,21868826
1748044800000,0.4978000,0.5101000,0.4919000,0.5012000,16492594
1748048400000,0.5012000,0.5105000,0.4996000,0.5007000,8342094
1748052000000,0.5007000,0.5060000,0.4982000,0.5027000,5535863
1748055600000,0.5026000,0.5102000,0.5001000,0.5055000,7000766
1748059200000,0.5055000,0.5109000,0.5020000,0.5061000,5654513
1748062800000,0.5059000,0.5070000,0.4940000,0.4971000,8067562
1748066400000,0.4970000,0.5006000,0.4887000,0.4960000,6662258
1748070000000,0.4960000,0.5003000,0.4834000,0.4871000,8564665
1748073600000,0.4872000,0.4886000,0.4781000,0.4856000,10549976
1748077200000,0.4856000,0.4998000,0.4837000,0.4917000,12606905
1748080800000,0.4916000,0.5078000,0.4876000,0.5045000,12083260
1748084400000,0.5045000,0.5070000,0.4983000,0.5007000,6468028
1748088000000,0.5008000,0.5028000,0.4933000,0.4984000,7698111
1748091600000,0.4985000,0.5012000,0.4884000,0.4899000,7646322
1748095200000,0.4899000,0.5009000,0.4884000,0.5000000,7190732
1748098800000,0.5000000,0.5003000,0.4860000,0.4921000,8517371
1748102400000,0.4921000,0.4935000,0.4841000,0.4921000,7747817
1748106000000,0.4921000,0.4992000,0.4883000,0.4924000,6331111
1748109600000,0.4924000,0.4988000,0.4842000,0.4852000,6803314
1748113200000,0.4851000,0.4929000,0.4843000,0.4881000,4989079
1748116800000,0.4882000,0.4966000,0.4858000,0.4904000,6331421
1748120400000,0.4905000,0.4918000,0.4803000,0.4876000,6001230
1748124000000,0.4877000,0.4878000,0.4800000,0.4820000,5443449
1748127600000,0.4821000,0.4901000,0.4785000,0.4842000,6834485
1748131200000,0.4843000,0.4902000,0.4699000,0.4771000,11763907
1748134800000,0.4770000,0.4773000,0.4600000,0.4634000,16512120
1748138400000,0.4635000,0.4721000,0.4601000,0.4696000,5802658
1748142000000,0.4695000,0.4768000,0.4692000,0.4722000,5165596
1748145600000,0.4722000,0.4723000,0.4659000,0.4708000,3629456
1748149200000,0.4707000,0.4741000,0.4675000,0.4735000,3328130
1748152800000,0.4735000,0.4736000,0.4639000,0.4673000,3693637
1748156400000,0.4673000,0.4675000,0.4576000,0.4593000,6121721
1748160000000,0.4594000,0.4596000,0.4484000,0.4521000,8282258
1748163600000,0.4520000,0.4557000,0.4467000,0.4557000,7487903
1748167200000,0.4557000,0.4592000,0.4500000,0.4502000,6954980
1748170800000,0.4503000,0.4541000,0.4490000,0.4524000,4517078
1748174400000,0.4523000,0.4571000,0.4485000,0.4561000,6742324
1748178000000,0.4562000,0.4568000,0.4495000,0.4521000,4504156
1748181600000,0.4520000,0.4554000,0.4458000,0.4491000,7488677
1748185200000,0.4492000,0.4522000,0.4377000,0.4470000,14069221
1748188800000,0.4471000,0.4472000,0.4381000,0.4446000,7229796
1748192400000,0.4446000,0.4535000,0.4443000,0.4503000,6315838
1748196000000,0.4504000,0.4527000,0.4478000,0.4510000,3103377
1748199600000,0.4510000,0.4636000,0.4500000,0.4586000,7538281
1748203200000,0.4586000,0.4604000,0.4534000,0.4546000,4836720
1748206800000,0.4547000,0.4590000,0.4505000,0.4546000,4937769
1748210400000,0.4547000,0.4819000,0.4536000,0.4806000,15056064
1748214000000,0.4805000,0.4858000,0.4731000,0.4840000,9763030
1748217600000,0.4839000,0.4969000,0.4780000,0.4964000,12920760
1748221200000,0.4965000,0.4977000,0.4844000,0.4873000,6933012
1748224800000,0.4873000,0.4887000,0.4807000,0.4842000,6724311
1748228400000,0.4842000,0.4910000,0.4835000,0.4864000,3826464
1748232000000,0.4864000,0.4932000,0.4851000,0.4926000,4067008
1748235600000,0.4925000,0.4968000,0.4903000,0.4960000,5023818
1748239200000,0.4960000,0.4966000,0.4917000,0.4946000,4888267
1748242800000,0.4947000,0.5019000,0.4905000,0.4970000,15613051
1748246400000,0.4969000,0.4986000,0.4840000,0.4860000,8629155
1748250000000,0.4860000,0.4900000,0.4826000,0.4856000,4689972
1748253600000,0.4855000,0.4881000,0.4809000,0.4833000,4331971
1748257200000,0.4834000,0.4844000,0.4781000,0.4798000,5449844
1748260800000,0.4798000,0.4865000,0.4764000,0.4842000,4791406
1748264400000,0.4843000,0.4863000,0.4726000,0.4762000,6188150
1748268000000,0.4763000,0.4797000,0.4682000,0.4732000,9241525
1748271600000,0.4734000,0.4812000,0.4685000,0.4765000,8854474
1748275200000,0.4765000,0.4822000,0.4633000,0.4654000,9300403
1748278800000,0.4653000,0.4688000,0.4556000,0.4580000,6367424
1748282400000,0.4581000,0.4657000,0.4546000,0.4616000,6102188
1748286000000,0.4616000,0.4635000,0.4585000,0.4606000,3062915
1748289600000,0.4605000,0.4684000,0.4572000,0.4681000,4282115
1748293200000,0.4680000,0.4690000,0.4619000,0.4672000,3300310
1748296800000,0.4671000,0.4740000,0.4627000,0.4634000,4482107
1748300400000,0.4634000,0.4725000,0.4622000,0.4711000,3603901
1748304000000,0.4711000,0.4763000,0.4640000,0.4649000,4099049
1748307600000,0.4647000,0.4647000,0.4528000,0.4633000,10002152
1748311200000,0.4633000,0.4704000,0.4625000,0.4651000,4422629
1748314800000,0.4652000,0.4775000,0.4652000,0.4730000,4822792
1748318400000,0.4730000,0.4761000,0.4705000,0.4721000,2737095
1748322000000,0.4723000,0.4742000,0.4665000,0.4724000,3544789
1748325600000,0.4725000,0.4782000,0.4676000,0.4676000,5878083
1748329200000,0.4676000,0.4770000,0.4675000,0.4753000,4354113
1748332800000,0.4753000,0.4791000,0.4721000,0.4774000,6586115
1748336400000,0.4774000,0.4818000,0.4716000,0.4818000,5950938
1748340000000,0.4817000,0.4845000,0.4783000,0.4817000,6733219
1748343600000,0.4817000,0.4821000,0.4743000,0.4790000,4355301
1748347200000,0.4790000,0.4832000,0.4760000,0.4817000,5559552
1748350800000,0.4818000,0.4924000,0.4756000,0.4768000,12414157
1748354400000,0.4766000,0.4809000,0.4668000,0.4718000,10211670
1748358000000,0.4718000,0.4834000,0.4674000,0.4809000,7069239
1748361600000,0.4809000,0.4908000,0.4754000,0.4853000,8371019
1748365200000,0.4854000,0.4916000,0.4820000,0.4846000,6803969
1748368800000,0.4847000,0.4879000,0.4777000,0.4808000,4452047
1748372400000,0.4807000,0.4822000,0.4746000,0.4763000,3799364
1748376000000,0.4764000,0.4807000,0.4744000,0.4784000,2800204
1748379600000,0.4784000,0.4809000,0.4682000,0.4702000,4547434
1748383200000,0.4704000,0.4734000,0.4638000,0.4674000,5612595
1748386800000,0.4674000,0.4691000,0.4634000,0.4681000,3526537
1748390400000,0.4680000,0.4764000,0.4618000,0.4754000,4249767
1748394000000,0.4754000,0.4764000,0.4663000,0.4672000,2655174
