open_time,open,high,low,close,volume
1747954800000,0.2422000,0.2442000,0.2414000,0.2439000,7664525
1747958400000,0.2439000,0.2451000,0.2426000,0.2439000,8040810
1747962000000,0.2439000,0.2478000,0.2428000,0.2474000,11253128
1747965600000,0.2474000,0.2518000,0.2465000,0.2503000,11031794
1747969200000,0.2502000,0.2529000,0.2501000,0.2514000,10135877
1747972800000,0.2513000,0.2520000,0.2456000,0.2474000,15675401
1747976400000,0.2473000,0.2481000,0.2451000,0.2474000,7208015
1747980000000,0.2474000,0.2478000,0.2426000,0.2435000,9807802
1747983600000,0.2435000,0.2457000,0.2425000,0.2435000,7166258
1747987200000,0.2435000,0.2462000,0.2430000,0.2456000,5909259
1747990800000,0.2455000,0.2491000,0.2449000,0.2486000,7686217
1747994400000,0.2487000,0.2488000,0.2455000,0.2482000,7616428
1747998000000,0.2482000,0.2487000,0.2347000,0.2362000,43113096
1748001600000,0.2362000,0.2364000,0.2294000,0.2338000,60686731
1748005200000,0.2339000,0.2405000,0.2324000,0.2400000,19493889
1748008800000,0.2400000,0.2426000,0.2387000,0.2412000,11952585
1748012400000,0.2412000,0.2421000,0.2368000,0.2371000,14927233
1748016000000,0.2371000,0.2382000,0.2346000,0.2373000,15904864
1748019600000,0.2373000,0.2395000,0.2371000,0.2374000,5440569
1748023200000,0.2375000,0.2382000,0.2344000,0.2351000,9422862
1748026800000,0.2352000,0.2371000,0.2348000,0.2351000,5868321
1748030400000,0.2352000,0.2352000,0.2325000,0.2329000,5288598
1748034000000,0.2328000,0.2343000,0.2314000,0.2322000,7091186
1748037600000,0.2323000,0.2340000,0.2304000,0.2305000,6291857
1748041200000,0.2304000,0.2310000,0.2254000,0.2267000,15656897
1748044800000,0.2266000,0.2296000,0.2248000,0.2267000,14130591
1748048400000,0.2267000,0.2294000,0.2266000,0.2269000,4664234
1748052000000,0.2269000,0.2290000,0.2263000,0.2286000,3863129
1748055600000,0.2286000,0.2314000,0.2282000,0.2307000,5610922
1748059200000,0.2307000,0.2316000,0.2297000,0.2311000,3888186
1748062800000,0.2310000,0.2312000,0.2280000,0.2290000,4423235
1748066400000,0.2290000,0.2296000,0.2268000,0.2279000,4030560
1748070000000,0.2278000,0.2290000,0.2263000,0.2267000,4156757
1748073600000,0.2266000,0.2275000,0.2255000,0.2274000,5859019
1748077200000,0.2275000,0.2283000,0.2262000,0.2263000,4473295
1748080800000,0.2264000,0.2300000,0.2260000,0.2294000,7849722
1748084400000,0.2294000,0.2305000,0.2287000,0.2292000,5344652
1748088000000,0.2293000,0.2293000,0.2273000,0.2283000,5764052
1748091600000,0.2284000,0.2287000,0.2265000,0.2266000,3490060
1748095200000,0.2266000,0.2285000,0.2264000,0.2283000,2981836
1748098800000,0.2283000,0.2288000,0.2264000,0.2276000,4044507
1748102400000,0.2276000,0.2284000,0.2259000,0.2278000,3723566
1748106000000,0.2278000,0.2295000,0.2276000,0.2278000,4018935
