open_time,open,high,low,close,volume
1747954800000,178.0400,179.9700,178.0400,179.6000,458307.76
1747958400000,179.6100,181.8200,179.1700,180.6800,1390248.63
1747962000000,180.6800,183.5500,180.2700,183.0700,1215217.33
1747965600000,183.0800,185.4000,183.0600,183.7200,1723913.50
1747969200000,183.7200,185.3700,183.6700,184.9400,795740.75
1747972800000,184.9400,185.3000,181.9000,182.5500,1297271.54
1747976400000,182.5600,182.9900,181.2500,181.8600,725530.84
1747980000000,181.8600,181.9800,180.0000,180.7700,1124170.97
1747983600000,180.7700,183.0800,180.7700,182.4800,1010652.06
1747987200000,182.4800,186.7800,182.4800,186.1700,1921498.80
1747990800000,186.1700,187.6700,185.8100,186.7900,1250548.19
1747994400000,186.7800,187.1600,185.4000,185.8900,1181455.20
1747998000000,185.8800,186.1000,177.1000,177.8800,3891944.59
1748001600000,177.8700,178.6200,173.2900,176.8400,5138584.69
1748005200000,176.8400,180.2800,175.5100,180.0300,2516588.82
1748008800000,180.0300,183.7000,179.0100,182.1200,2259307.36
1748012400000,182.1200,183.2000,180.5100,180.6300,1773209.87
1748016000000,180.6200,182.1900,179.0300,181.1300,2039323.22
1748019600000,181.1200,182.1000,180.5600,181.3800,736767.34
1748023200000,181.3800,181.6900,178.2700,178.8000,946638.24
1748026800000,178.8100,180.0800,178.6300,179.0700,543893.34
1748030400000,179.0600,179.2000,176.8000,177.1700,760709.90
1748034000000,177.1600,178.4400,176.3600,177.1100,744422.20
1748037600000,177.1000,178.0300,175.3800,175.6100,879130.30
1748041200000,175.6100,175.9600,173.1800,173.9200,1484388.35
1748044800000,173.9200,175.2400,172.5200,172.7000,1340276.27
1748048400000,172.6900,174.7200,172.5500,173.7200,804335.89
1748052000000,173.7200,175.0100,173.1300,174.8100,612004.16
1748055600000,174.8000,175.9200,174.2400,175.0300,729105.20
1748059200000,175.0300,176.2000,174.5000,176.0000,620759.14
1748062800000,176.0000,176.2900,174.3800,175.0700,596035.64
1748066400000,175.0600,175.4100,173.5000,174.5000,622739.99
1748070000000,174.4900,175.3600,173.3500,173.8500,698825.88
1748073600000,173.8400,174.8900,173.1200,174.8500,596007.29
1748077200000,174.8500,175.8400,174.6600,175.2300,547503.14
1748080800000,175.2200,177.6400,174.9500,177.2700,1047526.94
1748084400000,177.2800,178.2200,176.6400,176.8000,1025654.53
1748088000000,176.8000,177.0400,175.9200,176.4500,707703.24
1748091600000,176.4600,176.7100,174.9500,175.3000,627058.20
1748095200000,175.3000,176.9500,175.1100,176.6300,524008.50
1748098800000,176.6400,176.9800,175.6600,176.2200,378331.55
1748102400000,176.2200,176.6000,175.1800,176.3000,332270.29
1748106000000,176.3000,177.3700,176.2900,176.7300,411572.24
1748109600000,176.7300,177.6300,176.6300,176.6900,327702.42
1748113200000,176.6800,177.4900,176.5200,177.0500,250276.44
1748116800000,177.0400,177.8500,176.8000,177.6800,245103.05
1748120400000,177.6800,177.7500,176.1500,177.2800,273199.97
1748124000000,177.2700,177.3000,175.7600,176.0600,391131.57
1748127600000,176.0700,176.4500,175.2500,175.8100,556197.94
1748131200000,175.8200,176.8200,171.5700,172.2200,1783022.44
1748134800000,172.2100,172.5800,170.5300,171.4300,1568751.38
1748138400000,171.4400,172.5300,170.1300,172.2800,1034264.32
1748142000000,172.2800,173.9300,172.1600,173.5300,626991.05
1748145600000,173.5300,174.2800,172.6000,174.2100,568027.94
1748149200000,174.2100,174.3200,173.2800,173.9400,475097.73
1748152800000,173.9300,173.9400,173.0200,173.3700,320787.61
1748156400000,173.3700,173.3900,171.8100,172.2700,582794.18
1748160000000,172.2700,172.3000,170.0000,170.7000,1040501.97
1748163600000,170.6900,172.0800,170.2300,171.9300,923003.02
1748167200000,171.9300,172.1800,170.7900,171.0800,481346.35
1748170800000,171.0700,171.9400,170.9500,171.8600,367815.42
1748174400000,171.8600,172.5800,171.3100,172.4800,623471.29
1748178000000,172.4800,172.5700,170.9100,171.9000,730439.65
1748181600000,171.9100,172.2800,170.2200,171.0000,706659.90
1748185200000,171.0000,171.3200,169.0500,170.2100,1487116.01
1748188800000,170.2000,170.3500,169.0900,169.9900,731948.44
1748192400000,169.9900,171.0700,169.9700,170.8700,482641.90
1748196000000,170.8700,171.7800,170.6000,171.5100,430665.14
1748199600000,171.5100,172.7200,171.4300,172.4300,365762.68
1748203200000,172.4400,172.5100,171.4700,171.8600,380572.18
1748206800000,171.8600,172.5600,170.8200,171.4300,347110.83
1748210400000,171.4400,174.8300,171.2400,174.7600,1197547.13
1748214000000,174.7600,175.7700,173.7400,175.6500,871082.00
1748217600000,175.6400,177.5400,175.0000,177.4700,1153714.16
1748221200000,177.4800,177.7800,176.0300,176.4600,784778.89
1748224800000,176.4600,177.0400,175.6000,176.0100,526067.13
1748228400000,176.0000,177.5400,175.9000,176.9400,583328.31
1748232000000,176.9300,177.2300,176.4900,177.0900,404562.60
1748235600000,177.0900,177.9100,177.0400,177.4900,512424.20
1748239200000,177.5000,178.1200,177.1400,177.8400,515696.46
1748242800000,177.8500,178.9600,177.1300,178.0700,802650.04
1748246400000,178.0800,178.2600,177.1100,177.3500,514306.76
1748250000000,177.3400,177.8300,176.5400,176.7400,530111.22
1748253600000,176.7400,177.2500,176.3200,176.6800,470461.83
1748257200000,176.6800,177.8900,176.3700,177.8200,412576.41
1748260800000,177.8200,178.4700,177.1400,178.0800,474465.64
1748264400000,178.0800,178.6900,176.0800,176.6100,770094.05
1748268000000,176.6100,177.3500,175.8100,176.6500,853764.05
1748271600000,176.6600,178.8000,176.1800,177.4100,1060613.91
