open_time,open,high,low,close,volume
1747954800000,0.8831000,0.9000000,0.8830000,0.8991000,849233
1747958400000,0.8993000,0.8999000,0.8815000,0.8861000,1036112
1747962000000,0.8865000,0.8991000,0.8771000,0.8968000,966151
1747965600000,0.8966000,0.9169000,0.8941000,0.9002000,1748466
1747969200000,0.9002000,0.9072000,0.8952000,0.8955000,899982
1747972800000,0.8958000,0.8975000,0.8750000,0.8809000,1619196
1747976400000,0.8809000,0.8839000,0.8563000,0.8721000,1923873
1747980000000,0.8723000,0.8723000,0.8422000,0.8495000,3205589
1747983600000,0.8495000,0.8646000,0.8491000,0.8589000,1781193
1747987200000,0.8593000,0.8727000,0.8560000,0.8657000,956260
1747990800000,0.8657000,0.9220000,0.8625000,0.9209000,4605224
1747994400000,0.9208000,0.9424000,0.8970000,0.9368000,3493470
1747998000000,0.9372000,0.9629000,0.8851000,0.9052000,10756475
1748001600000,0.9050000,0.9264000,0.8521000,0.9103000,10615255
1748005200000,0.9104000,0.9294000,0.8878000,0.9227000,3894997
1748008800000,0.9227000,0.9724000,0.9165000,0.9551000,4539868
1748012400000,0.9551000,0.9613000,0.9244000,0.9308000,3770236
1748016000000,0.9309000,0.9389000,0.9032000,0.9244000,4243900
1748019600000,0.9243000,0.9377000,0.9205000,0.9313000,1973954
1748023200000,0.9315000,0.9360000,0.9021000,0.9047000,1786268
1748026800000,0.9044000,0.9176000,0.9024000,0.9056000,1225878
1748030400000,0.9063000,0.9066000,0.8826000,0.8856000,1818280
1748034000000,0.8860000,0.8934000,0.8741000,0.8806000,1476122
1748037600000,0.8805000,0.8879000,0.8679000,0.8695000,1497850
1748041200000,0.8696000,0.8756000,0.8367000,0.8539000,3499830
1748044800000,0.8540000,0.8770000,0.8513000,0.8666000,2148330
1748048400000,0.8666000,0.8758000,0.8562000,0.8572000,1306454
1748052000000,0.8571000,0.8677000,0.8536000,0.8668000,934324
1748055600000,0.8669000,0.8721000,0.8617000,0.8653000,1018171
1748059200000,0.8654000,0.8686000,0.8573000,0.8666000,642937
1748062800000,0.8663000,0.8671000,0.8555000,0.8617000,693478
1748066400000,0.8616000,0.8661000,0.8536000,0.8641000,970226
1748070000000,0.8642000,0.8675000,0.8497000,0.8524000,963282
1748073600000,0.8525000,0.8586000,0.8467000,0.8575000,861356
1748077200000,0.8578000,0.8693000,0.8530000,0.8598000,982475
1748080800000,0.8598000,0.8937000,0.8548000,0.8880000,2214256
1748084400000,0.8875000,0.9127000,0.8875000,0.9080000,2399300
1748088000000,0.9079000,0.9096000,0.8757000,0.8987000,2319365
1748091600000,0.8987000,0.9038000,0.8901000,0.8927000,757748
1748095200000,0.8923000,0.9033000,0.8877000,0.9003000,981498
1748098800000,0.9007000,0.9108000,0.8863000,0.9043000,1418513
1748102400000,0.9045000,0.9088000,0.8870000,0.8948000,1197326
1748106000000,0.8946000,0.9047000,0.8857000,0.8860000,835737
1748109600000,0.8856000,0.8989000,0.8834000,0.8841000,587073
1748113200000,0.8840000,0.8917000,0.8804000,0.8867000,730193
1748116800000,0.8869000,0.9016000,0.8838000,0.8964000,723708
1748120400000,0.8964000,0.8976000,0.8773000,0.8805000,760186
1748124000000,0.8805000,0.8943000,0.8768000,0.8844000,933147
1748127600000,0.8844000,0.8864000,0.8689000,0.8838000,1500583
1748131200000,0.8840000,0.8989000,0.8644000,0.8688000,1628935
1748134800000,0.8691000,0.8831000,0.8618000,0.8782000,1290562
1748138400000,0.8784000,0.8906000,0.8643000,0.8857000,1029070
1748142000000,0.8857000,0.8962000,0.8841000,0.8934000,824205
1748145600000,0.8937000,0.8940000,0.8725000,0.8804000,857579
1748149200000,0.8803000,0.9084000,0.8729000,0.9043000,2319300
1748152800000,0.9043000,0.9044000,0.8864000,0.9005000,979604
1748156400000,0.9002000,0.9014000,0.8738000,0.8870000,1202695
1748160000000,0.8874000,0.8878000,0.8577000,0.8622000,1759192
1748163600000,0.8621000,0.8675000,0.8538000,0.8565000,1570481
1748167200000,0.8565000,0.8752000,0.8541000,0.8624000,1010228
1748170800000,0.8621000,0.8669000,0.8530000,0.8600000,722948
1748174400000,0.8605000,0.8718000,0.8544000,0.8681000,817996
1748178000000,0.8681000,0.8704000,0.8521000,0.8622000,1749387
1748181600000,0.8623000,0.8661000,0.8475000,0.8501000,788403
1748185200000,0.8502000,0.8545000,0.8181000,0.8410000,4150114
1748188800000,0.8411000,0.8433000,0.8191000,0.8295000,1695028
1748192400000,0.8299000,0.8477000,0.8250000,0.8450000,2433841
1748196000000,0.8452000,0.8490000,0.8377000,0.8434000,824250
1748199600000,0.8434000,0.8574000,0.8416000,0.8542000,928672
1748203200000,0.8543000,0.8563000,0.8395000,0.8434000,697290
1748206800000,0.8434000,0.8530000,0.8350000,0.8365000,839344
1748210400000,0.8366000,0.8984000,0.8344000,0.8970000,3669814
1748214000000,0.8968000,0.9069000,0.8878000,0.9038000,1752221
1748217600000,0.9035000,0.9125000,0.8957000,0.9103000,1525320
1748221200000,0.9104000,0.9127000,0.8887000,0.8991000,1086724
1748224800000,0.8993000,0.8996000,0.8719000,0.8776000,1417098
1748228400000,0.8777000,0.8918000,0.8736000,0.8823000,894813
1748232000000,0.8825000,0.8971000,0.8787000,0.8921000,701454
1748235600000,0.8922000,0.8961000,0.8867000,0.8882000,522476
1748239200000,0.8880000,0.9193000,0.8870000,0.9159000,1785031
1748242800000,0.9158000,0.9252000,0.8886000,0.8952000,1736831
1748246400000,0.8953000,0.9007000,0.8756000,0.8794000,1445041
1748250000000,0.8795000,0.8824000,0.8700000,0.8734000,932035
