open_time,open,high,low,close,volume
1747954800000,0.3865300,0.3902900,0.3835700,0.3850800,7147645
1747958400000,0.3850900,0.3883200,0.3813100,0.3825300,7468838
1747962000000,0.3827100,0.3887200,0.3800000,0.3814000,9376844
1747965600000,0.3814300,0.3909500,0.3802700,0.3863600,10782222
1747969200000,0.3864000,0.3914800,0.3807300,0.3850500,10178527
1747972800000,0.3849700,0.3925800,0.3838000,0.3848000,11574988
1747976400000,0.3847400,0.3862600,0.3758300,0.3779700,8759070
1747980000000,0.3779500,0.3810000,0.3733200,0.3751900,8133832
1747983600000,0.3751700,0.3776100,0.3713500,0.3727100,7605031
1747987200000,0.3727500,0.3735300,0.3683100,0.3691700,6720227
1747990800000,0.3691000,0.3807700,0.3682800,0.3802100,12280119
1747994400000,0.3801600,0.3805600,0.3725500,0.3737100,7126644
1747998000000,0.3737200,0.3796100,0.3649200,0.3699600,16911303
1748001600000,0.3699400,0.3750900,0.3645000,0.3689800,21359709
1748005200000,0.3689000,0.3795100,0.3663900,0.3771400,10265000
1748008800000,0.3770900,0.3958100,0.3764600,0.3917000,15268272
1748012400000,0.3916900,0.3962200,0.3834700,0.3913200,17102114
1748016000000,0.3913900,0.3917300,0.3851000,0.3882800,7807671
1748019600000,0.3882400,0.4099900,0.3870400,0.4052500,18851209
1748023200000,0.4053000,0.4066200,0.3817100,0.3900900,25012302
1748026800000,0.3900900,0.3982900,0.3876600,0.3939500,8982579
1748030400000,0.3939500,0.3960200,0.3905500,0.3931300,5255242
1748034000000,0.3930900,0.3947000,0.3851200,0.3863600,5322804
1748037600000,0.3862800,0.3909400,0.3810000,0.3843500,6972372
1748041200000,0.3843100,0.3896100,0.3829000,0.3868200,7603853
1748044800000,0.3868700,0.3943800,0.3863700,0.3905200,7564704
1748048400000,0.3906000,0.3991400,0.3882700,0.3912200,10517451
1748052000000,0.3914200,0.3956500,0.3871200,0.3907000,7346247
1748055600000,0.3907800,0.3967600,0.3885300,0.3960300,10099856
1748059200000,0.3960000,0.3998900,0.3937200,0.3974000,9103117
1748062800000,0.3974500,0.4006100,0.3939900,0.3986000,9424555
1748066400000,0.3986000,0.4009900,0.3943800,0.4005700,11590620
1748070000000,0.4005500,0.4040800,0.3976100,0.3994500,14514388
1748073600000,0.3994500,0.4078700,0.3964000,0.4030000,25034530
1748077200000,0.4031000,0.4056700,0.4010000,0.4017900,14849127
1748080800000,0.4016600,0.4150000,0.4011300,0.4127600,26562736
1748084400000,0.4127000,0.4200000,0.4123900,0.4179400,35302762
1748088000000,0.4179600,0.4235000,0.4166500,0.4208400,24414197
1748091600000,0.4208700,0.4228600,0.4165500,0.4193500,19275343
1748095200000,0.4193500,0.4249900,0.4185100,0.4243200,25272108
1748098800000,0.4243000,0.4300000,0.4203500,0.4251900,25459417
1748102400000,0.4251800,0.4293000,0.4192800,0.4251800,26014740
1748106000000,0.4251700,0.4322000,0.4243500,0.4269900,20007882
1748109600000,0.4269700,0.4297600,0.4211000,0.4230900,14606591
1748113200000,0.4231300,0.4284300,0.4220000,0.4275600,11091409
1748116800000,0.4275400,0.4292300,0.4245300,0.4272700,12712835
1748120400000,0.4271400,0.4291600,0.4236000,0.4277000,8133154
1748124000000,0.4277000,0.4295300,0.4248800,0.4268400,9008393
1748127600000,0.4269000,0.4291500,0.4239800,0.4270200,9798799
1748131200000,0.4270400,0.4320000,0.4260900,0.4284000,19202347
1748134800000,0.4284300,0.4576800,0.4280000,0.4423400,49985541
1748138400000,0.4422400,0.4437700,0.4156300,0.4308900,41974376
1748142000000,0.4309500,0.4395000,0.4248200,0.4369800,17595644
1748145600000,0.4369800,0.4443900,0.4312200,0.4414300,14543220
1748149200000,0.4415100,0.4464900,0.4306000,0.4374800,16524178
1748152800000,0.4374800,0.4460000,0.4363500,0.4450400,14938660
1748156400000,0.4449900,0.4478800,0.4387000,0.4434700,17330711
1748160000000,0.4434000,0.4460000,0.4351200,0.4388100,15837374
1748163600000,0.4388600,0.4451100,0.4365100,0.4425800,17672481
1748167200000,0.4426900,0.4467200,0.4407400,0.4435500,17069158
1748170800000,0.4435100,0.4499900,0.4421400,0.4473200,22625599
1748174400000,0.4474000,0.4600000,0.4451000,0.4514700,38662201
1748178000000,0.4515000,0.4557200,0.4420000,0.4459500,32468095
1748181600000,0.4461600,0.4540000,0.4431600,0.4511000,26475884
1748185200000,0.4511100,0.4528000,0.4430000,0.4438800,21792912
1748188800000,0.4438800,0.4519100,0.4373200,0.4500300,23843321
1748192400000,0.4500000,0.4549100,0.4491400,0.4502200,20064620
1748196000000,0.4502200,0.4591500,0.4486800,0.4538800,18843553
1748199600000,0.4538700,0.4560000,0.4491400,0.4501700,14008517
1748203200000,0.4501700,0.4515100,0.4393400,0.4400500,20067715
1748206800000,0.4399900,0.4430000,0.4300100,0.4376200,27145253
1748210400000,0.4376300,0.4539400,0.4376300,0.4496700,21114721
1748214000000,0.4495800,0.4506700,0.4371300,0.4377200,10173096
1748217600000,0.4376600,0.4518500,0.4361600,0.4509400,13628083
1748221200000,0.4510500,0.4711100,0.4462000,0.4518000,29485270
1748224800000,0.4518500,0.4566400,0.4472200,0.4516100,14557783
1748228400000,0.4516200,0.4551600,0.4464600,0.4509100,9709919
1748232000000,0.4509800,0.4538300,0.4455500,0.4458400,6690254
1748235600000,0.4458300,0.4466400,0.4380200,0.4396700,11637797
1748239200000,0.4397400,0.4453200,0.4389000,0.4433200,7763340
1748242800000,0.4433300,0.4529000,0.4431700,0.4487400,11783755
1748246400000,0.4488100,0.4522200,0.4468700,0.4513600,7579881
1748250000000,0.4513600,0.4520100,0.4482600,0.4505400,5978537
1748253600000,0.4504800,0.4504800,0.4411300,0.4413500,6756899
1748257200000,0.4413500,0.4466800,0.4363500,0.4376200,12361382
1748260800000,0.4376200,0.4407600,0.4361800,0.4370000,8200390
1748264400000,0.4368500,0.4383200,0.4290000,0.4326000,13724845
1748268000000,0.4326500,0.4335200,0.4236400,0.4279100,14946490
1748271600000,0.4279500,0.4312500,0.4171700,0.4245600,19491872
1748275200000,0.4245500,0.4314700,0.4191700,0.4245800,11520263
1748278800000,0.4245200,0.4246600,0.4133500,0.4171900,8259708
1748282400000,0.4172800,0.4178100,0.4089900,0.4112000,10118656
1748286000000,0.4112000,0.4214700,0.4095500,0.4210500,8977088
1748289600000,0.4210600,0.4367200,0.4195000,0.4349400,14745207
1748293200000,0.4349200,0.4349500,0.4214100,0.4229600,10586043
1748296800000,0.4229700,0.4246400,0.4197600,0.4235800,5800149
1748300400000,0.4235700,0.4253900,0.4162400,0.4180100,5120226
1748304000000,0.4180000,0.4250000,0.4138100,0.4242600,7646678
1748307600000,0.4242600,0.4246400,0.4112900,0.4165100,10813765
1748311200000,0.4165100,0.4233200,0.4147400,0.4172300,6884666
1748314800000,0.4172400,0.4284400,0.4164000,0.4210000,7443334
1748318400000,0.4209700,0.4297900,0.4196400,0.4254600,6104555
