open_time,open,high,low,close,volume
1747954800000,462.60,467.66,461.81,466.39,8595.921
1747958400000,466.41,467.68,462.33,464.94,8554.650
1747962000000,464.88,468.37,463.14,466.69,9097.011
1747965600000,466.68,472.44,465.16,470.78,15266.574
1747969200000,470.76,474.18,468.64,471.60,12315.692
1747972800000,471.61,472.17,463.84,468.32,11463.841
1747976400000,468.32,468.55,463.24,466.56,7218.127
1747980000000,466.57,467.12,458.20,460.01,12928.289
1747983600000,460.02,466.57,460.02,462.97,8144.831
1747987200000,462.98,466.45,462.79,464.98,6221.749
1747990800000,464.97,470.22,463.63,470.17,8948.021
1747994400000,470.18,470.64,465.05,467.28,7600.428
1747998000000,467.30,467.63,445.06,447.46,38354.011
1748001600000,447.55,447.93,434.22,445.54,53167.405
1748005200000,445.56,455.00,442.00,454.84,22801.562
1748008800000,454.78,456.62,450.75,452.49,16515.123
1748012400000,452.49,454.33,448.10,448.67,10701.796
1748016000000,448.67,450.74,442.28,446.64,15969.814
1748019600000,446.61,450.24,444.10,444.56,9301.314
1748023200000,444.55,445.43,440.00,440.52,9940.163
1748026800000,440.53,443.75,438.78,440.27,8956.323
1748030400000,440.21,440.39,430.27,432.08,21520.554
1748034000000,432.10,433.33,425.50,427.08,24072.381
1748037600000,427.10,430.64,422.60,422.60,11372.839
1748041200000,422.57,423.32,414.24,420.41,25082.129
1748044800000,420.33,427.72,418.23,423.94,17001.884
1748048400000,423.93,426.14,422.24,422.83,8278.637
1748052000000,422.83,425.88,421.46,424.80,6670.062
1748055600000,424.79,428.94,424.17,428.78,7605.932
1748059200000,428.80,431.72,427.85,430.25,6708.727
1748062800000,430.29,430.29,424.81,425.78,8365.226
1748066400000,425.78,427.26,422.78,424.62,8068.312
1748070000000,424.62,428.90,424.62,426.34,6918.709
1748073600000,426.35,432.73,425.47,432.26,9869.633
1748077200000,432.26,434.40,430.65,434.23,7330.940
1748080800000,434.24,440.95,433.89,438.68,13557.149
1748084400000,438.69,439.38,434.20,434.80,7543.747
1748088000000,434.78,440.51,431.96,438.54,10679.927
1748091600000,438.56,438.97,433.20,433.64,8287.905
1748095200000,433.61,435.77,432.45,434.97,4873.419
1748098800000,434.96,436.59,432.26,434.84,7355.914
1748102400000,434.85,435.50,431.11,434.96,5291.137
1748106000000,434.97,440.53,434.95,437.02,9130.555
1748109600000,437.02,440.36,436.65,438.70,4941.967
1748113200000,438.67,439.86,435.08,436.94,5569.610
1748116800000,436.93,437.30,433.90,437.22,4661.778
1748120400000,437.23,438.39,432.57,436.86,4769.596
1748124000000,436.89,436.98,432.21,433.02,5655.307
1748127600000,433.03,434.88,430.28,431.98,7023.904
1748131200000,431.97,433.85,424.00,425.62,13321.759
1748134800000,425.62,431.20,423.00,428.88,9401.791
1748138400000,428.89,433.88,427.14,431.19,11196.673
1748142000000,431.24,435.05,431.17,434.64,5299.603
1748145600000,434.62,435.33,431.11,431.92,4349.888
1748149200000,431.89,431.89,428.34,430.64,4651.745
1748152800000,430.67,432.51,429.14,429.57,3532.562
1748156400000,429.60,429.70,424.05,425.66,9310.581
1748160000000,425.68,425.68,417.75,418.88,12741.445
1748163600000,418.77,420.48,415.74,420.24,24302.555
1748167200000,420.24,422.24,418.06,418.43,5720.432
1748170800000,418.42,420.05,415.68,417.89,8651.884
1748174400000,417.89,421.59,416.37,421.43,6256.657
1748178000000,421.43,421.91,418.76,420.96,7155.771
1748181600000,420.97,421.47,413.04,415.20,13239.001
1748185200000,415.22,417.61,408.90,417.24,17061.666
1748188800000,417.23,417.44,412.49,415.60,8042.513
1748192400000,415.61,417.97,413.50,414.57,5950.961
1748196000000,414.57,419.07,413.57,418.69,5191.425
1748199600000,418.69,424.61,418.00,422.98,6043.834
1748203200000,422.93,425.91,421.06,424.59,7557.447
1748206800000,424.60,427.17,420.20,422.96,6084.224
1748210400000,422.97,435.17,422.25,434.82,14746.800
1748214000000,434.79,435.65,428.62,431.71,9184.390
1748217600000,431.71,438.62,429.13,438.02,11334.750
1748221200000,438.08,442.61,436.28,440.51,15495.979
1748224800000,440.52,443.73,437.61,439.29,9734.640
1748228400000,439.28,440.21,437.01,437.65,5995.912
1748232000000,437.66,444.60,436.04,444.59,9771.667
1748235600000,444.59,445.94,443.03,445.37,9102.250
1748239200000,445.37,460.32,444.62,459.38,28957.217
1748242800000,459.36,459.79,447.49,449.79,24760.750
1748246400000,449.79,451.68,445.23,446.86,10677.296
1748250000000,446.89,451.75,445.69,447.16,8862.548
1748253600000,447.15,447.51,442.95,444.76,9405.703
1748257200000,444.76,446.74,442.01,445.11,6574.027
1748260800000,445.08,450.11,444.04,448.13,6529.116
1748264400000,448.12,450.19,440.28,442.02,9327.641
1748268000000,442.03,444.20,437.62,443.37,14970.231
1748271600000,443.37,451.01,441.78,444.19,16831.945
1748275200000,444.20,446.22,437.44,438.84,20027.640
1748278800000,438.82,440.31,431.01,432.08,13847.783
1748282400000,432.08,434.65,429.01,429.31,11519.438
1748286000000,429.35,430.77,425.07,430.24,13904.952
1748289600000,430.20,435.96,428.66,435.76,7850.904
1748293200000,435.72,435.90,431.06,432.44,5214.596
1748296800000,432.46,435.77,430.61,430.72,6497.504
1748300400000,430.72,434.91,429.55,434.54,5944.359
1748304000000,434.55,439.57,434.05,435.00,9579.616
1748307600000,435.03,435.31,425.25,432.42,21055.267
1748311200000,432.46,439.90,431.30,432.48,15404.265
1748314800000,432.47,438.08,432.47,433.82,8403.203
1748318400000,433.77,438.62,433.46,435.91,6816.839
1748322000000,435.96,444.83,432.25,442.64,15522.039
1748325600000,442.63,450.00,439.33,439.58,27073.098
1748329200000,439.62,447.77,439.62,444.64,9512.830
1748332800000,444.77,446.77,442.14,445.50,12261.273
1748336400000,445.51,446.89,441.42,444.97,9135.013
1748340000000,444.97,447.50,441.70,446.37,7771.533
1748343600000,446.39,446.98,444.09,446.85,5518.171
1748347200000,446.85,447.32,442.03,444.88,10918.623
1748350800000,444.83,450.31,441.13,443.97,20546.236
1748354400000,443.95,447.42,440.81,443.24,14085.267
1748358000000,443.29,446.70,440.20,446.00,9309.327
1748361600000,446.03,447.03,442.98,444.89,7666.050
1748365200000,444.90,446.79,442.47,444.59,7012.350
1748368800000,444.59,449.85,443.64,447.41,10130.544
1748372400000,447.40,455.28,446.62,451.54,13140.013
1748376000000,451.54,457.72,450.63,454.96,8221.894
1748379600000,455.10,458.75,450.90,451.92,9317.068
1748383200000,451.93,453.13,444.98,450.32,11275.008
1748386800000,450.25,451.53,447.01,448.12,3973.833
1748390400000,448.12,455.65,446.95,455.35,11359.149
1748394000000,455.34,457.24,451.63,452.00,9489.073
1748397600000,452.08,454.18,447.68,452.90,10041.755
1748401200000,452.90,456.34,450.21,455.20,6952.779
1748404800000,455.19,456.51,451.44,451.80,7673.480
1748408400000,451.78,451.96,448.10,448.13,6249.570
1748412000000,448.11,448.55,443.45,445.77,8111.777
1748415600000,445.78,448.90,444.10,444.98,5958.719
1748419200000,445.08,448.14,444.54,447.94,5198.021
1748422800000,447.90,448.13,440.60,443.48,14346.225
1748426400000,443.49,445.14,440.61,444.39,11563.144
1748430000000,444.37,445.30,442.21,444.30,5879.265
1748433600000,444.31,449.45,442.92,445.12,12874.572
1748437200000,445.15,447.16,438.17,438.49,14027.833
1748440800000,438.44,439.67,432.55,432.69,19626.273
1748444400000,432.68,433.74,426.87,428.27,14590.541
1748448000000,428.27,434.97,427.77,434.32,10786.885
1748451600000,434.36,438.35,432.41,436.23,11464.514
1748455200000,436.20,439.94,433.32,433.63,9426.836
1748458800000,433.62,436.62,428.62,428.91,11441.569
1748462400000,428.89,433.26,428.51,432.74,11118.541
1748466000000,432.75,434.86,430.85,434.05,6121.853
1748469600000,434.04,434.46,427.12,428.38,8801.363
1748473200000,428.39,435.29,428.26,434.50,9503.944
1748476800000,434.51,439.93,429.04,439.90,12386.929
1748480400000,439.92,440.38,436.44,437.46,8320.050
1748484000000,437.47,441.64,434.10,441.04,12269.911
1748487600000,441.04,442.78,435.21,436.99,13958.001
1748491200000,436.98,438.27,426.40,431.64,16149.691
1748494800000,431.67,432.92,427.83,428.74,8116.864
1748498400000,428.74,432.38,427.80,430.53,8067.251
1748502000000,430.54,430.83,428.35,429.02,7955.849
1748505600000,429.04,434.12,427.17,432.87,9545.637
1748509200000,432.84,433.32,430.95,432.84,6059.880
1748512800000,432.92,433.28,430.02,432.01,5992.884
1748516400000,432.01,433.68,429.69,430.78,7018.220
1748520000000,430.73,432.43,428.02,429.78,9165.709
1748523600000,429.67,432.73,426.26,426.61,11542.763
1748527200000,426.60,427.35,416.81,424.44,34022.456
1748530800000,424.45,427.12,422.03,423.70,11947.775
1748534400000,423.69,424.92,419.20,420.54,11769.218
1748538000000,420.54,423.67,419.37,421.35,11338.683
1748541600000,421.34,422.75,420.02,420.10,9268.812
1748545200000,420.11,420.65,416.20,419.32,8964.835
1748548800000,419.24,421.55,418.53,421.04,4586.353
1748552400000,421.07,423.99,419.83,423.55,4143.414
1748556000000,423.56,423.82,418.61,418.63,3858.392
1748559600000,418.71,419.75,414.00,416.16,8246.772
1748563200000,416.19,418.68,395.38,400.48,35179.732
1748566800000,400.52,410.00,399.53,404.61,26083.944
1748570400000,404.61,412.86,404.49,411.92,12826.218
1748574000000,411.98,414.06,410.46,412.99,6707.423
1748577600000,412.98,415.54,409.09,414.20,9541.590
1748581200000,414.25,417.98,412.89,413.54,8269.422
1748584800000,413.54,413.99,403.67,407.51,16507.550
1748588400000,407.57,410.60,405.97,408.01,10224.411
1748592000000,408.03,409.67,404.82,405.74,10739.619
1748595600000,405.71,407.39,399.99,406.79,17345.497
1748599200000,406.78,409.83,403.63,409.20,9187.269
1748602800000,409.25,409.86,406.72,409.19,6192.580
1748606400000,409.18,411.13,404.08,407.79,14210.745
1748610000000,407.92,408.93,401.41,401.63,12194.444
1748613600000,401.64,404.17,398.80,402.68,12217.134
1748617200000,402.69,404.81,396.01,396.34,15356.936
1748620800000,396.42,398.72,383.12,385.84,45382.411
1748624400000,385.85,390.96,384.21,390.89,13034.262
1748628000000,390.90,395.12,389.94,394.50,11542.696
1748631600000,394.48,394.89,391.24,392.63,6621.537
1748635200000,392.62,393.09,389.15,390.66,7004.729
1748638800000,390.68,392.78,387.87,388.13,5660.297
1748642400000,388.11,389.90,377.88,378.05,18049.434
1748646000000,378.00,381.90,374.83,376.46,20108.321
1748649600000,376.46,378.59,367.98,370.77,27670.682
1748653200000,370.80,375.40,366.00,370.80,18920.822
1748656800000,370.76,376.92,365.57,372.83,30977.012
1748660400000,372.82,382.23,372.75,380.61,28485.212
1748664000000,380.61,408.21,379.96,407.63,63901.692
1748667600000,407.66,415.34,401.41,402.06,43511.110
1748671200000,402.05,412.00,399.93,409.44,25170.112
1748674800000,409.43,409.59,402.66,403.60,17667.250
1748678400000,403.61,404.16,398.79,400.59,18197.242
1748682000000,400.62,403.74,399.10,400.95,10734.573
1748685600000,400.87,403.09,397.45,401.45,11728.319
1748689200000,401.43,401.93,396.72,397.16,8049.546
1748692800000,397.12,403.49,396.33,403.26,11044.486
1748696400000,403.23,407.47,401.22,402.89,14825.973
1748700000000,402.85,412.73,402.22,412.04,26047.872
1748703600000,412.05,413.91,406.47,410.65,27716.304
1748707200000,410.60,420.00,407.74,412.26,40976.949
1748710800000,412.31,416.18,410.10,410.84,21774.183
1748714400000,410.83,434.20,410.53,428.14,98280.401
1748718000000,428.11,435.82,422.89,425.11,49238.124
1748721600000,425.11,432.29,425.08,427.70,27749.744
1748725200000,427.69,433.32,427.36,432.41,19959.007
1748728800000,432.42,434.12,429.00,430.57,22669.978
1748732400000,430.57,433.93,428.31,429.75,18644.020
1748736000000,429.78,435.60,427.13,434.86,27499.005
1748739600000,434.86,435.22,425.00,427.85,23543.245
1748743200000,427.85,428.74,421.82,424.06,21114.688
1748746800000,424.12,432.97,421.20,429.78,23142.929
1748750400000,429.80,434.62,428.11,433.84,18154.882
1748754000000,433.85,439.19,430.71,430.91,26090.566
1748757600000,430.92,431.89,426.08,427.33,14545.876
1748761200000,427.34,427.43,424.39,426.83,11284.565
1748764800000,426.82,429.00,423.02,424.22,12371.966
1748768400000,424.17,425.27,414.87,417.32,33425.049
1748772000000,417.31,419.67,413.44,417.64,18614.356
1748775600000,417.63,418.04,413.10,417.79,19114.856
1748779200000,417.83,419.02,411.05,412.51,22821.655
1748782800000,412.51,417.24,411.07,415.25,17619.558
1748786400000,415.25,422.20,414.17,414.50,27230.994
1748790000000,414.48,418.75,412.85,417.96,15992.348
1748793600000,417.99,421.04,415.84,417.42,30349.706
1748797200000,417.41,421.36,417.14,420.24,11633.497
1748800800000,420.21,420.26,410.58,412.48,27386.284
1748804400000,412.48,415.10,410.81,414.76,11822.979
1748808000000,414.76,414.98,409.89,410.64,11666.878
1748811600000,410.64,415.73,410.33,415.02,10936.390
1748815200000,415.00,415.47,412.54,413.29,7083.306
1748818800000,413.29,415.32,412.50,413.76,8445.629
1748822400000,413.76,415.19,412.46,414.81,9443.567
1748826000000,414.75,415.27,412.76,413.84,6185.958
1748829600000,413.82,414.14,408.05,412.85,13063.760
1748833200000,412.86,414.63,408.37,408.98,12829.079
1748836800000,408.98,409.37,404.47,405.41,16806.608
1748840400000,405.42,408.66,403.52,408.54,12348.195
1748844000000,408.55,411.23,406.93,408.90,8426.223
1748847600000,408.87,414.85,408.72,412.55,14422.421
1748851200000,412.53,415.13,411.55,412.62,9798.690
1748854800000,412.63,412.68,405.68,407.24,13539.696
1748858400000,407.23,410.83,405.23,410.64,11249.635
1748862000000,410.65,411.44,408.36,409.96,7575.135
1748865600000,409.94,411.29,405.58,409.94,11898.909
1748869200000,409.94,410.95,404.13,405.69,16179.604
1748872800000,405.64,410.50,404.40,407.68,13764.369
1748876400000,407.56,410.08,405.04,407.48,10216.765
1748880000000,407.57,407.69,401.45,404.68,11805.581
1748883600000,404.69,405.65,402.99,403.53,8679.877
1748887200000,403.53,404.98,400.52,401.58,10515.586
1748890800000,401.60,403.14,397.07,397.80,14096.152
1748894400000,397.79,403.90,397.79,403.80,14789.404
1748898000000,403.80,404.56,402.47,402.85,9083.153
1748901600000,402.84,404.97,400.75,402.89,15857.662
1748905200000,402.99,405.14,401.59,403.60,10942.479
1748908800000,403.66,405.09,402.00,404.47,13096.061
1748912400000,404.48,405.50,402.45,404.98,20429.886
1748916000000,404.95,405.11,397.25,397.33,16731.097
1748919600000,397.34,398.10,392.10,392.99,29566.655
1748923200000,392.99,393.74,390.46,391.84,10449.969
1748926800000,391.83,392.46,390.81,391.68,10270.935
1748930400000,391.68,393.30,391.18,393.15,14824.627
1748934000000,393.14,393.22,390.54,392.32,11313.961
1748937600000,392.33,392.96,385.38,390.48,21268.129
1748941200000,390.47,392.40,388.07,390.79,13523.434
1748944800000,390.86,392.98,390.39,391.04,9974.708
1748948400000,391.04,392.92,390.89,392.44,9577.022
1748952000000,392.41,393.84,391.23,392.12,10729.568
1748955600000,392.13,394.09,389.73,392.49,17794.286
1748959200000,392.50,402.47,389.63,399.00,39333.038
1748962800000,399.09,401.12,395.20,395.88,31984.836
1748966400000,395.85,396.31,388.36,389.30,24356.864
1748970000000,389.28,392.38,383.62,391.08,28888.817
1748973600000,391.08,391.59,387.87,390.87,11416.384
1748977200000,390.87,394.50,390.79,392.71,10184.109
1748980800000,392.77,393.36,388.56,390.26,11672.352
1748984400000,390.25,391.61,382.56,385.65,17405.581
1748988000000,385.66,389.86,385.17,389.22,11335.100
1748991600000,389.13,390.42,384.37,386.55,25720.418
1748995200000,386.54,390.58,386.02,390.39,8044.687
1748998800000,390.39,394.28,390.28,392.91,9015.102
1749002400000,393.00,394.55,390.63,391.41,6791.287
1749006000000,391.41,396.97,391.34,394.52,9234.427
1749009600000,394.53,396.96,393.43,395.86,6675.473
1749013200000,395.87,396.29,393.36,394.94,7566.328
1749016800000,394.94,399.84,393.13,398.10,11551.388
1749020400000,398.16,398.66,393.90,394.95,9582.371
1749024000000,394.96,397.18,394.92,395.79,5043.286
1749027600000,395.79,397.14,393.53,397.07,7239.899
1749031200000,397.05,397.48,393.42,393.69,5827.037
1749034800000,393.67,394.73,391.16,391.47,9822.547
1749038400000,391.48,393.34,388.02,390.15,11104.531
1749042000000,390.04,393.19,388.30,388.59,11506.692
1749045600000,388.59,390.66,384.90,390.61,14136.567
1749049200000,390.57,392.94,388.96,390.18,11319.525
1749052800000,390.22,392.05,387.06,391.14,9799.155
1749056400000,391.13,391.22,386.62,387.92,7028.372
1749060000000,387.94,389.70,385.89,386.76,5850.540
1749063600000,386.76,391.86,386.23,386.25,9924.960
1749067200000,386.25,386.86,378.41,381.92,26442.954
1749070800000,381.92,382.42,377.31,379.51,16848.646
1749074400000,379.51,380.06,376.76,377.31,9250.349
1749078000000,377.32,382.03,377.04,380.85,5775.316
1749081600000,380.85,381.78,378.03,381.12,7223.292
1749085200000,381.12,383.91,379.68,380.97,7462.823
1749088800000,380.98,383.19,378.64,378.73,6146.522
1749092400000,378.75,380.63,377.64,379.66,6388.563
1749096000000,379.68,382.31,379.68,381.58,5471.966
1749099600000,381.59,381.81,376.10,377.67,8134.102
1749103200000,377.71,379.72,376.83,378.70,5819.005
1749106800000,378.72,380.16,376.58,378.06,6750.829
1749110400000,378.06,378.93,375.92,376.68,6287.924
1749114000000,376.67,377.57,375.00,377.23,8532.283
1749117600000,377.22,377.24,366.98,368.20,34209.370
1749121200000,368.21,369.60,364.44,368.85,19379.711
1749124800000,368.86,376.17,368.06,374.72,22398.268
1749128400000,374.72,376.82,367.13,368.63,19770.289
1749132000000,368.56,372.04,365.06,371.92,21588.746
1749135600000,371.95,374.06,370.06,372.08,8882.428
1749139200000,372.10,373.29,366.23,368.72,16773.814
1749142800000,368.76,369.76,363.35,365.48,20886.693
1749146400000,365.46,366.57,360.33,365.20,20577.871
1749150000000,365.24,365.85,351.33,358.81,49658.836
1749153600000,358.82,360.72,348.10,349.61,62646.511
1749157200000,349.63,357.30,347.05,356.60,33199.396
1749160800000,356.58,357.16,351.86,355.73,11794.978
1749164400000,355.69,356.51,351.16,351.29,9258.260
1749168000000,351.29,357.46,351.01,357.36,11679.816
1749171600000,357.34,360.43,355.64,358.40,8804.239
1749175200000,358.39,359.88,355.30,359.78,9268.884
1749178800000,359.83,362.23,358.15,359.95,9344.773
1749182400000,359.94,363.36,359.09,361.95,9805.600
1749186000000,361.96,363.71,360.82,363.27,8537.929
1749189600000,363.27,372.32,362.80,366.89,23462.324
1749193200000,366.89,368.35,364.71,365.79,10536.219
1749196800000,365.75,368.67,365.07,366.59,8535.234
1749200400000,366.56,368.55,364.38,364.58,9759.231
1749204000000,364.59,369.33,364.59,369.23,9883.670
1749207600000,369.18,371.79,368.02,368.96,12463.344
1749211200000,368.97,390.81,368.04,368.69,24710.488
1749214800000,368.72,370.97,365.68,367.92,20760.127
1749218400000,367.91,372.84,366.93,372.52,14506.267
1749222000000,372.57,374.72,370.19,373.49,18234.890
1749225600000,373.48,378.07,372.86,375.65,15716.741
1749229200000,375.62,377.81,373.86,377.30,13305.991
1749232800000,377.30,378.13,370.30,371.98,15730.717
1749236400000,371.96,372.28,366.88,367.97,13700.188
1749240000000,367.98,370.71,367.57,367.59,8979.852
1749243600000,367.59,370.11,366.14,369.09,5343.458
1749247200000,369.08,369.50,365.77,368.90,5241.232
1749250800000,368.88,368.93,366.19,366.98,3965.707
1749254400000,366.99,369.48,364.74,369.44,7956.902
1749258000000,369.46,370.46,366.50,367.41,5081.969
1749261600000,367.42,369.95,366.65,369.77,3623.539
1749265200000,369.78,375.28,369.64,373.85,11575.521
1749268800000,373.81,373.83,370.20,371.36,7137.847
1749272400000,371.36,375.86,370.55,374.84,7419.243
1749276000000,374.86,376.12,372.93,375.82,6020.554
1749279600000,375.82,376.56,373.03,374.56,7959.510
1749283200000,374.57,376.04,372.54,373.50,5130.011
1749286800000,373.50,375.49,373.21,374.40,4093.079
1749290400000,374.39,379.17,374.27,377.38,11523.063
1749294000000,377.39,380.56,376.73,377.94,9310.829
1749297600000,377.93,379.68,377.61,378.45,6675.050
1749301200000,378.46,380.76,377.39,379.89,8201.674
1749304800000,379.89,380.59,377.78,377.91,8188.521
1749308400000,377.91,384.01,377.87,382.73,14352.189
1749312000000,382.74,383.23,376.84,377.10,11834.325
1749315600000,377.09,378.56,375.24,377.98,9250.396
1749319200000,377.99,380.06,377.24,379.58,5944.531
1749322800000,379.57,382.31,379.51,382.31,4803.749
1749326400000,382.30,384.77,380.35,384.39,7056.333
1749330000000,384.39,388.65,384.18,387.66,11110.755
1749333600000,387.65,390.73,386.02,386.05,12493.256
1749337200000,386.05,386.41,382.29,385.64,10100.394
1749340800000,385.64,388.72,384.59,387.41,8324.912
1749344400000,387.40,387.56,384.44,386.79,4827.937
1749348000000,386.78,388.30,385.99,386.99,3720.726
1749351600000,386.99,387.53,383.22,383.51,3547.862
1749355200000,383.47,383.58,381.49,382.16,6120.895
1749358800000,382.17,382.46,377.48,377.95,6329.749
1749362400000,377.94,380.44,377.94,378.68,5204.594
1749366000000,378.68,380.95,378.60,379.95,5992.148
1749369600000,379.95,380.87,378.52,378.52,3968.668
1749373200000,378.53,378.85,374.61,375.87,11313.029
1749376800000,375.88,376.26,373.09,374.24,9218.142
1749380400000,374.23,377.92,373.96,377.13,8210.586
1749384000000,377.14,378.04,374.52,376.69,6520.584
