open_time,open,high,low,close,volume
1747954800000,33.706,34.059,33.696,33.967,14505.3
1747958400000,33.974,34.040,33.649,33.809,15196.4
1747962000000,33.806,34.351,33.662,34.149,21547.5
1747965600000,34.151,34.739,34.069,34.480,36973.8
1747969200000,34.485,34.674,34.447,34.505,12286.6
1747972800000,34.504,34.610,33.705,33.941,28675.3
1747976400000,33.934,34.060,33.445,33.815,23780.0
1747980000000,33.814,33.895,33.178,33.373,36550.4
1747983600000,33.376,33.748,33.315,33.420,14161.8
1747987200000,33.421,33.899,33.416,33.823,13240.0
1747990800000,33.824,34.111,33.752,34.094,12756.9
1747994400000,34.098,34.102,33.546,33.812,14463.2
1747998000000,33.818,33.832,32.089,32.516,85495.7
1748001600000,32.521,32.557,31.398,32.007,91798.7
1748005200000,32.004,32.525,31.762,32.495,33822.2
1748008800000,32.491,32.596,32.187,32.409,24790.1
1748012400000,32.408,32.504,31.932,31.962,18669.2
1748016000000,31.967,32.100,31.610,31.978,25800.1
1748019600000,31.975,32.182,31.826,31.888,13031.3
1748023200000,31.908,31.998,31.520,31.611,13264.5
1748026800000,31.600,31.810,31.442,31.495,10406.0
1748030400000,31.491,31.502,31.019,31.127,20267.6
1748034000000,31.124,31.192,30.835,30.961,20261.2
1748037600000,30.964,31.180,30.500,30.512,25155.2
1748041200000,30.511,30.659,29.845,30.054,56336.8
1748044800000,30.058,30.392,29.719,30.152,33931.8
1748048400000,30.151,30.575,30.062,30.104,20661.8
1748052000000,30.102,30.371,29.915,30.290,17406.8
1748055600000,30.290,30.474,30.198,30.339,17472.8
1748059200000,30.338,30.442,30.192,30.378,16966.9
1748062800000,30.376,30.387,30.046,30.274,10755.9
1748066400000,30.265,30.466,30.089,30.308,11560.5
1748070000000,30.307,30.548,30.257,30.367,18190.1
1748073600000,30.370,30.382,30.051,30.290,15517.4
1748077200000,30.297,30.446,30.166,30.188,18125.7
1748080800000,30.189,30.612,30.135,30.493,22253.4
1748084400000,30.495,30.552,30.360,30.381,9375.7
1748088000000,30.383,30.454,30.204,30.343,12986.5
1748091600000,30.346,30.399,30.051,30.068,8943.6
1748095200000,30.065,30.774,30.040,30.736,34152.2
1748098800000,30.737,30.775,30.429,30.552,16823.4
1748102400000,30.554,30.905,30.404,30.826,13043.6
1748106000000,30.831,31.110,30.610,30.648,22414.5
1748109600000,30.645,30.834,30.420,30.480,13372.8
1748113200000,30.480,30.628,30.448,30.586,8465.3
