open_time,open,high,low,close,volume
1747954800000,6.3350,6.4470,6.3350,6.4310,838692
1747958400000,6.4320,6.4760,6.3730,6.4530,1482328
1747962000000,6.4530,6.6160,6.4200,6.5020,4331053
1747965600000,6.5020,6.7940,6.4940,6.6460,4337131
1747969200000,6.6470,6.7540,6.6420,6.7070,1433964
1747972800000,6.7060,6.7470,6.5340,6.5960,2038788
1747976400000,6.5950,6.6310,6.5110,6.5960,1198334
1747980000000,6.5950,6.6070,6.3970,6.4280,2293621
1747983600000,6.4280,6.5120,6.4130,6.4270,905413
1747987200000,6.4280,6.5430,6.4140,6.5190,1096091
1747990800000,6.5180,6.6120,6.4880,6.6100,1037489
1747994400000,6.6100,6.6110,6.5010,6.5550,980443
1747998000000,6.5540,6.5580,6.1230,6.1640,5362128
1748001600000,6.1650,6.1750,5.9670,6.0880,6116239
1748005200000,6.0890,6.2380,6.0660,6.2350,2490879
1748008800000,6.2350,6.2580,6.1600,6.2050,1703309
1748012400000,6.2050,6.2290,6.1200,6.1310,1604494
1748016000000,6.1310,6.1720,6.0730,6.1630,1702913
1748019600000,6.1620,6.2400,6.1570,6.2000,1289570
1748023200000,6.2000,6.2290,6.1360,6.1520,1132822
1748026800000,6.1530,6.2060,6.1430,6.1500,664632
1748030400000,6.1500,6.1520,6.0800,6.0900,886011
1748034000000,6.0890,6.1480,6.0660,6.0820,1196507
1748037600000,6.0830,6.1410,6.0490,6.0570,690986
1748041200000,6.0570,6.0690,5.9290,5.9760,1793400
1748044800000,5.9770,6.0620,5.9420,5.9940,1024375
1748048400000,5.9930,6.0820,5.9930,6.0430,965114
1748052000000,6.0430,6.0970,6.0190,6.0610,1044073
1748055600000,6.0610,6.1020,6.0500,6.0840,696588
1748059200000,6.0850,6.1510,6.0740,6.1370,581759
1748062800000,6.1380,6.1400,6.0650,6.0990,598202
1748066400000,6.0980,6.1410,6.0770,6.1340,529228
1748070000000,6.1350,6.1670,6.0900,6.1060,599582
1748073600000,6.1070,6.1370,6.0710,6.1360,534131
1748077200000,6.1360,6.1690,6.1160,6.1320,688608
1748080800000,6.1330,6.2270,6.1280,6.2140,786876
1748084400000,6.2140,6.2380,6.1830,6.2040,942899
1748088000000,6.2040,6.2680,6.1850,6.2480,1045968
1748091600000,6.2480,6.2540,6.1580,6.1620,642264
1748095200000,6.1610,6.2210,6.1420,6.2140,727706
1748098800000,6.2150,6.2400,6.1660,6.2130,544875
1748102400000,6.2140,6.2470,6.1650,6.2270,551189
1748106000000,6.2270,6.3110,6.2090,6.2100,1459711
1748109600000,6.2090,6.2470,6.1680,6.1800,820370
1748113200000,6.1790,6.2030,6.1640,6.1890,365865
1748116800000,6.1890,6.2150,6.1660,6.1870,315515
1748120400000,6.1870,6.1900,6.1180,6.1690,453562
1748124000000,6.1690,6.1750,6.1060,6.1170,433548
