open_time,open,high,low,close,volume
1747954800000,0.6211000,0.6246000,0.6165000,0.6237000,5431196
1747958400000,0.6237000,0.6239000,0.6090000,0.6128000,7745157
1747962000000,0.6129000,0.6156000,0.5999000,0.6027000,6951046
1747965600000,0.6027000,0.6097000,0.6021000,0.6070000,4539421
1747969200000,0.6071000,0.6094000,0.6037000,0.6049000,3545687
1747972800000,0.6049000,0.6053000,0.5943000,0.5989000,6468592
1747976400000,0.5988000,0.6017000,0.5958000,0.5996000,4019824
1747980000000,0.5995000,0.5995000,0.5841000,0.5864000,10224591
1747983600000,0.5864000,0.5928000,0.5825000,0.5848000,4606105
1747987200000,0.5849000,0.5999000,0.5843000,0.5998000,5776407
1747990800000,0.5998000,0.6036000,0.5984000,0.6032000,4388823
1747994400000,0.6031000,0.6058000,0.5971000,0.6026000,3252143
1747998000000,0.6027000,0.6063000,0.5817000,0.5870000,16046944
1748001600000,0.5871000,0.5877000,0.5650000,0.5793000,20515530
1748005200000,0.5791000,0.5868000,0.5768000,0.5840000,5612244
1748008800000,0.5840000,0.5905000,0.5813000,0.5900000,4263832
1748012400000,0.5900000,0.5934000,0.5850000,0.5863000,3289530
1748016000000,0.5863000,0.6065000,0.5804000,0.6058000,8819007
1748019600000,0.6059000,0.6073000,0.5966000,0.6001000,3759224
1748023200000,0.6001000,0.6050000,0.5985000,0.6025000,2773782
1748026800000,0.6024000,0.6044000,0.5988000,0.6030000,2056062
1748030400000,0.6031000,0.6033000,0.5954000,0.5957000,2349904
1748034000000,0.5956000,0.6000000,0.5908000,0.5928000,3089942
1748037600000,0.5929000,0.6005000,0.5923000,0.5938000,2922342
1748041200000,0.5936000,0.5988000,0.5819000,0.5937000,7488154
1748044800000,0.5936000,0.6020000,0.5843000,0.5934000,7933259
1748048400000,0.5934000,0.5990000,0.5893000,0.5957000,4344241
1748052000000,0.5956000,0.6016000,0.5906000,0.5915000,3519119
1748055600000,0.5914000,0.5915000,0.5848000,0.5903000,4085891
1748059200000,0.5903000,0.5950000,0.5860000,0.5940000,2736742
1748062800000,0.5940000,0.6009000,0.5905000,0.6007000,3593044
1748066400000,0.6008000,0.6217000,0.5980000,0.6149000,25096320
1748070000000,0.6150000,0.6231000,0.6115000,0.6179000,9952384
1748073600000,0.6180000,0.6322000,0.6172000,0.6293000,20310716
1748077200000,0.6294000,0.6387000,0.6232000,0.6377000,12898665
1748080800000,0.6377000,0.6548000,0.6353000,0.6499000,20407603
1748084400000,0.6499000,0.6593000,0.6417000,0.6517000,13199377
1748088000000,0.6518000,0.6640000,0.6478000,0.6587000,17851093
1748091600000,0.6588000,0.6774000,0.6579000,0.6686000,24171059
1748095200000,0.6686000,0.6705000,0.6223000,0.6338000,49316031
1748098800000,0.6336000,0.6464000,0.6279000,0.6404000,23254218
1748102400000,0.6405000,0.6514000,0.6341000,0.6449000,19149525
1748106000000,0.6448000,0.6497000,0.6353000,0.6408000,8314401
1748109600000,0.6409000,0.6454000,0.6321000,0.6333000,5497150
1748113200000,0.6333000,0.6414000,0.6324000,0.6380000,4434183
1748116800000,0.6380000,0.6447000,0.6355000,0.6378000,4036601
1748120400000,0.6378000,0.6445000,0.6339000,0.6440000,4327441
1748124000000,0.6441000,0.6525000,0.6405000,0.6437000,7205729
1748127600000,0.6437000,0.6557000,0.6402000,0.6446000,8254791
1748131200000,0.6446000,0.6451000,0.6288000,0.6388000,13822014
1748134800000,0.6388000,0.6411000,0.6290000,0.6372000,9984944
1748138400000,0.6371000,0.6628000,0.6371000,0.6573000,15916191
1748142000000,0.6573000,0.6746000,0.6559000,0.6683000,15089253
1748145600000,0.6684000,0.6880000,0.6664000,0.6862000,18283652
1748149200000,0.6863000,0.6997000,0.6550000,0.6619000,46396875
1748152800000,0.6619000,0.6773000,0.6596000,0.6763000,18623966
1748156400000,0.6763000,0.6763000,0.6610000,0.6639000,13408823
1748160000000,0.6639000,0.6757000,0.6620000,0.6726000,10722264
1748163600000,0.6725000,0.6756000,0.6586000,0.6626000,15327018
1748167200000,0.6627000,0.6697000,0.6617000,0.6665000,6751382
1748170800000,0.6666000,0.6746000,0.6169000,0.6271000,36230984
1748174400000,0.6272000,0.6433000,0.6256000,0.6376000,16177578
1748178000000,0.6376000,0.6418000,0.6272000,0.6310000,12854023
1748181600000,0.6311000,0.6413000,0.6275000,0.6278000,6975088
1748185200000,0.6279000,0.6334000,0.6215000,0.6322000,8070694
1748188800000,0.6322000,0.6617000,0.6278000,0.6565000,17803084
1748192400000,0.6564000,0.6589000,0.6471000,0.6530000,8978228
1748196000000,0.6532000,0.6628000,0.6494000,0.6566000,7190949
1748199600000,0.6567000,0.6615000,0.6524000,0.6585000,5705817
1748203200000,0.6584000,0.6628000,0.6538000,0.6611000,4991511
1748206800000,0.6612000,0.6632000,0.6563000,0.6586000,4452466
1748210400000,0.6587000,0.6729000,0.6529000,0.6646000,9608297
1748214000000,0.6646000,0.6719000,0.6592000,0.6606000,7985982
1748217600000,0.6606000,0.6679000,0.6492000,0.6626000,12718051
1748221200000,0.6627000,0.6760000,0.6627000,0.6686000,10127529
1748224800000,0.6686000,0.6749000,0.6630000,0.6713000,6379057
1748228400000,0.6712000,0.6770000,0.6622000,0.6644000,6366924
1748232000000,0.6642000,0.6685000,0.6626000,0.6676000,2884303
1748235600000,0.6676000,0.6760000,0.6658000,0.6727000,5378117
1748239200000,0.6727000,0.6743000,0.6662000,0.6692000,3400911
1748242800000,0.6691000,0.6696000,0.6536000,0.6561000,7747420
1748246400000,0.6561000,0.6670000,0.6550000,0.6623000,6453052
1748250000000,0.6623000,0.6654000,0.6545000,0.6570000,7919207
1748253600000,0.6569000,0.6584000,0.6436000,0.6471000,10669945
1748257200000,0.6469000,0.6516000,0.6430000,0.6458000,4526554
1748260800000,0.6459000,0.6467000,0.6397000,0.6446000,4123628
1748264400000,0.6446000,0.6499000,0.6413000,0.6468000,4415632
1748268000000,0.6468000,0.6491000,0.6402000,0.6427000,4257684
1748271600000,0.6427000,0.6582000,0.6427000,0.6557000,6060264
1748275200000,0.6557000,0.6639000,0.6415000,0.6461000,9798381
1748278800000,0.6460000,0.6464000,0.6369000,0.6391000,5583400
1748282400000,0.6392000,0.6525000,0.6373000,0.6519000,4214493
1748286000000,0.6519000,0.6650000,0.6517000,0.6643000,6377186
1748289600000,0.6643000,0.6645000,0.6567000,0.6616000,5204678
1748293200000,0.6615000,0.6795000,0.6611000,0.6731000,10430589
1748296800000,0.6732000,0.6981000,0.6729000,0.6941000,12324208
1748300400000,0.6942000,0.6959000,0.6806000,0.6864000,9325790
