open_time,open,high,low,close,volume
1747954800000,0.30158,0.30442,0.30158,0.30410,5919873
1747958400000,0.30411,0.30554,0.30283,0.30435,13860653
1747962000000,0.30435,0.30643,0.30282,0.30578,9513271
1747965600000,0.30579,0.31234,0.30543,0.30964,24226055
1747969200000,0.30960,0.31073,0.30733,0.30975,19587634
1747972800000,0.30975,0.31072,0.30482,0.30586,22330363
1747976400000,0.30584,0.30631,0.30319,0.30507,11986227
1747980000000,0.30506,0.30508,0.29963,0.30069,27724465
1747983600000,0.30068,0.30312,0.30041,0.30112,10616738
1747987200000,0.30111,0.30386,0.30091,0.30363,7081440
1747990800000,0.30363,0.30588,0.30297,0.30541,10761077
1747994400000,0.30542,0.30555,0.30221,0.30362,6719979
1747998000000,0.30361,0.30399,0.29170,0.29288,77892256
1748001600000,0.29288,0.29306,0.28633,0.28976,101475934
1748005200000,0.28977,0.29433,0.28806,0.29400,26796631
1748008800000,0.29401,0.29520,0.29227,0.29411,21645053
1748012400000,0.29412,0.29500,0.29181,0.29204,14373648
1748016000000,0.29206,0.29308,0.29005,0.29296,15946835
1748019600000,0.29296,0.29532,0.29283,0.29472,9399261
1748023200000,0.29472,0.29533,0.29108,0.29248,19542039
1748026800000,0.29250,0.29391,0.29196,0.29261,9521011
1748030400000,0.29260,0.29280,0.28896,0.28920,10165898
1748034000000,0.28923,0.29059,0.28850,0.28954,9681944
1748037600000,0.28956,0.29116,0.28742,0.28764,9913087
1748041200000,0.28764,0.28816,0.28365,0.28498,28147519
1748044800000,0.28498,0.28801,0.28376,0.28588,14504433
1748048400000,0.28587,0.28859,0.28573,0.28705,6812000
1748052000000,0.28704,0.28934,0.28622,0.28920,8391206
1748055600000,0.28919,0.29019,0.28886,0.28989,5756266
1748059200000,0.28990,0.29135,0.28945,0.29099,4879764
1748062800000,0.29099,0.29111,0.28948,0.29035,4726838
1748066400000,0.29034,0.29082,0.28879,0.29003,5071588
1748070000000,0.29003,0.29114,0.28964,0.29006,4404862
1748073600000,0.29006,0.29096,0.28873,0.29060,6794863
1748077200000,0.29060,0.29075,0.28920,0.28969,3697798
1748080800000,0.28969,0.29118,0.28931,0.29071,7311367
1748084400000,0.29072,0.29138,0.28977,0.28990,4473402
1748088000000,0.28990,0.29015,0.28867,0.28941,4813065
1748091600000,0.28942,0.28948,0.28762,0.28778,6605879
1748095200000,0.28777,0.28923,0.28764,0.28889,4646923
1748098800000,0.28889,0.28915,0.28754,0.28816,3346177
1748102400000,0.28816,0.28868,0.28677,0.28793,5688757
1748106000000,0.28794,0.28884,0.28730,0.28757,4040097
1748109600000,0.28755,0.28877,0.28668,0.28688,3851033
1748113200000,0.28688,0.28754,0.28644,0.28698,5211969
1748116800000,0.28698,0.28823,0.28640,0.28727,7420923
1748120400000,0.28726,0.28740,0.28469,0.28692,4666114
1748124000000,0.28694,0.28697,0.28478,0.28542,5234445
1748127600000,0.28544,0.28646,0.28447,0.28576,7356601
1748131200000,0.28578,0.28666,0.28262,0.28322,18017128
1748134800000,0.28324,0.28442,0.28160,0.28366,10473585
1748138400000,0.28366,0.28544,0.28262,0.28511,6387720
1748142000000,0.28510,0.28636,0.28504,0.28587,3592182
1748145600000,0.28588,0.28639,0.28492,0.28616,4344792
1748149200000,0.28616,0.28623,0.28524,0.28609,2159916
1748152800000,0.28610,0.28623,0.28462,0.28515,2611466
1748156400000,0.28516,0.28516,0.28249,0.28314,8295396
1748160000000,0.28313,0.28313,0.27952,0.28069,12285231
1748163600000,0.28070,0.28216,0.27981,0.28200,19245974
1748167200000,0.28200,0.28243,0.28040,0.28050,5734276
1748170800000,0.28049,0.28185,0.28022,0.28168,4013724
1748174400000,0.28167,0.28360,0.28085,0.28326,6417236
1748178000000,0.28322,0.28380,0.28245,0.28272,5801968
1748181600000,0.28274,0.28284,0.28021,0.28101,6183139
1748185200000,0.28101,0.28120,0.27735,0.28022,13786651
1748188800000,0.28022,0.28080,0.27808,0.28034,7531473
1748192400000,0.28034,0.28213,0.28004,0.28147,9563171
1748196000000,0.28147,0.28265,0.28110,0.28225,4748440
1748199600000,0.28225,0.28416,0.28204,0.28325,4764215
1748203200000,0.28326,0.28358,0.28227,0.28305,4534524
1748206800000,0.28305,0.28412,0.28175,0.28265,4060126
1748210400000,0.28264,0.28745,0.28226,0.28725,15891203
1748214000000,0.28725,0.28768,0.28585,0.28756,7391236
1748217600000,0.28757,0.28819,0.28620,0.28796,9371097
1748221200000,0.28796,0.28902,0.28727,0.28829,7018669
1748224800000,0.28830,0.28858,0.28585,0.28693,10336609
1748228400000,0.28692,0.28792,0.28621,0.28715,6637826
1748232000000,0.28715,0.28761,0.28647,0.28692,6310165
1748235600000,0.28692,0.28785,0.28655,0.28748,4938204
1748239200000,0.28752,0.28834,0.28684,0.28821,5033440
1748242800000,0.28820,0.29047,0.28817,0.28944,11016682
1748246400000,0.28945,0.29021,0.28789,0.28835,7329641
1748250000000,0.28836,0.28903,0.28763,0.28852,5098828
1748253600000,0.28852,0.28953,0.28746,0.28811,3016924
1748257200000,0.28811,0.28864,0.28746,0.28808,3242282
1748260800000,0.28809,0.28912,0.28732,0.28851,3454330
1748264400000,0.28849,0.28913,0.28525,0.28619,6119738
1748268000000,0.28619,0.28658,0.28474,0.28591,9344332
1748271600000,0.28591,0.28849,0.28515,0.28840,7966992
1748275200000,0.28841,0.28873,0.28496,0.28566,9833616
1748278800000,0.28566,0.28613,0.28299,0.28363,11654366
1748282400000,0.28363,0.28502,0.28299,0.28374,4493996
1748286000000,0.28374,0.28458,0.28336,0.28407,3831096
1748289600000,0.28406,0.28556,0.28343,0.28551,3545350
1748293200000,0.28549,0.28606,0.28483,0.28524,2973454
1748296800000,0.28525,0.28671,0.28364,0.28433,6075226
1748300400000,0.28433,0.28570,0.28371,0.28551,4445089
1748304000000,0.28551,0.28685,0.28434,0.28451,5832063
1748307600000,0.28450,0.28452,0.28069,0.28297,15252732
1748311200000,0.28297,0.28477,0.28285,0.28369,5119493
1748314800000,0.28368,0.28559,0.28368,0.28455,6948474
1748318400000,0.28457,0.28590,0.28429,0.28463,3913794
1748322000000,0.28465,0.28505,0.28351,0.28476,4364991
1748325600000,0.28476,0.28783,0.28470,0.28556,10254438
1748329200000,0.28558,0.28840,0.28558,0.28791,5740128
1748332800000,0.28792,0.28964,0.28742,0.28832,17560202
1748336400000,0.28835,0.28921,0.28746,0.28890,5164355
1748340000000,0.28890,0.28933,0.28841,0.28921,3370753
1748343600000,0.28920,0.28944,0.28774,0.28896,6500508
1748347200000,0.28897,0.29016,0.28812,0.28883,8289581
1748350800000,0.28884,0.29296,0.28848,0.28932,19614887
1748354400000,0.28933,0.29061,0.28571,0.28850,13674837
1748358000000,0.28851,0.29005,0.28769,0.28928,11351066
1748361600000,0.28928,0.29081,0.28861,0.29003,6859609
1748365200000,0.29004,0.29098,0.28859,0.28994,11390506
1748368800000,0.28999,0.29049,0.28841,0.28882,5436480
1748372400000,0.28881,0.28994,0.28847,0.28910,7659991
1748376000000,0.28912,0.28987,0.28874,0.28884,4184981
1748379600000,0.28884,0.28933,0.28707,0.28759,6357729
1748383200000,0.28760,0.28796,0.28585,0.28679,6754149
1748386800000,0.28677,0.28716,0.28597,0.28696,3849467
1748390400000,0.28696,0.28776,0.28559,0.28759,6906715
1748394000000,0.28759,0.28789,0.28619,0.28641,4191087
1748397600000,0.28641,0.28734,0.28546,0.28690,6922705
1748401200000,0.28689,0.28759,0.28638,0.28737,4039522
1748404800000,0.28737,0.28847,0.28642,0.28803,3984063
1748408400000,0.28804,0.28817,0.28705,0.28756,4040673
1748412000000,0.28757,0.28757,0.28575,0.28597,4744901
1748415600000,0.28595,0.28714,0.28556,0.28610,5273977
1748419200000,0.28610,0.28718,0.28578,0.28663,4460865
1748422800000,0.28664,0.28680,0.28526,0.28588,8274714
1748426400000,0.28589,0.28740,0.28524,0.28723,6116136
1748430000000,0.28723,0.28843,0.28723,0.28811,5532435
1748433600000,0.28812,0.28973,0.28805,0.28892,7251665
1748437200000,0.28893,0.28908,0.28577,0.28595,9439102
1748440800000,0.28589,0.28628,0.28234,0.28239,18659517
1748444400000,0.28239,0.28335,0.28117,0.28130,14578608
1748448000000,0.28131,0.28358,0.28117,0.28327,7789801
1748451600000,0.28325,0.28453,0.28206,0.28309,8798050
1748455200000,0.28308,0.28390,0.28075,0.28106,6950265
1748458800000,0.28105,0.28244,0.27882,0.27898,11037317
1748462400000,0.27896,0.28095,0.27885,0.28074,6775120
1748466000000,0.28075,0.28284,0.28036,0.28264,5128811
1748469600000,0.28262,0.28279,0.28120,0.28213,3500808
1748473200000,0.28212,0.28571,0.28205,0.28515,8060940
1748476800000,0.28515,0.28686,0.28382,0.28650,10998991
1748480400000,0.28649,0.28656,0.28479,0.28565,10120306
1748484000000,0.28566,0.28807,0.28469,0.28801,12285527
1748487600000,0.28800,0.28860,0.28602,0.28659,8677108
1748491200000,0.28657,0.28688,0.28200,0.28389,10944049
1748494800000,0.28391,0.28531,0.28350,0.28430,7643400
1748498400000,0.28429,0.28548,0.28413,0.28478,4041041
1748502000000,0.28478,0.28549,0.28396,0.28448,4187165
1748505600000,0.28448,0.28622,0.28340,0.28591,8479146
1748509200000,0.28590,0.28613,0.28525,0.28558,3938059
1748512800000,0.28559,0.28721,0.28505,0.28689,7805054
1748516400000,0.28689,0.28810,0.28627,0.28767,7247598
1748520000000,0.28766,0.28793,0.28489,0.28566,12557065
1748523600000,0.28568,0.28737,0.28332,0.28392,11401472
1748527200000,0.28392,0.28576,0.28140,0.28527,19984451
1748530800000,0.28527,0.28551,0.28297,0.28335,6295985
1748534400000,0.28337,0.28398,0.28132,0.28170,8749899
1748538000000,0.28168,0.28373,0.28130,0.28275,7812661
1748541600000,0.28277,0.28363,0.28080,0.28082,9805241
1748545200000,0.28083,0.28137,0.27885,0.27970,8438100
1748548800000,0.27971,0.28110,0.27966,0.28021,6564323
1748552400000,0.28020,0.28280,0.28013,0.28241,5080178
1748556000000,0.28241,0.28251,0.27900,0.27906,6147440
1748559600000,0.27906,0.27970,0.27750,0.27855,13319739
1748563200000,0.27856,0.27988,0.26685,0.26940,46292634
1748566800000,0.26941,0.27351,0.26930,0.27208,39532675
1748570400000,0.27205,0.27470,0.27186,0.27398,14238146
1748574000000,0.27398,0.27463,0.27297,0.27341,10291221
1748577600000,0.27340,0.27404,0.27224,0.27357,9102202
1748581200000,0.27356,0.27466,0.27306,0.27430,5832197
1748584800000,0.27431,0.27431,0.27109,0.27175,18651834
1748588400000,0.27175,0.27280,0.27067,0.27108,10608013
1748592000000,0.27108,0.27305,0.27004,0.27218,11218703
1748595600000,0.27218,0.27310,0.26960,0.27251,9677150
1748599200000,0.27251,0.27344,0.27090,0.27327,6321092
1748602800000,0.27328,0.27476,0.27300,0.27423,9691793
1748606400000,0.27423,0.27486,0.27182,0.27362,9469943
1748610000000,0.27362,0.27485,0.27164,0.27435,18279171
1748613600000,0.27435,0.27512,0.27157,0.27334,14747406
1748617200000,0.27333,0.27550,0.27201,0.27268,10461906
1748620800000,0.27268,0.27419,0.26475,0.26681,42224944
1748624400000,0.26682,0.26968,0.26629,0.26968,15397716
1748628000000,0.26969,0.27267,0.26931,0.27181,10958399
1748631600000,0.27180,0.27324,0.27140,0.27197,11502301
1748635200000,0.27197,0.27246,0.27065,0.27083,7629457
1748638800000,0.27083,0.27181,0.26972,0.27012,6370678
1748642400000,0.27013,0.27040,0.26547,0.26556,18161573
1748646000000,0.26557,0.26736,0.26306,0.26476,25384663
1748649600000,0.26475,0.26638,0.26100,0.26311,23135775
1748653200000,0.26311,0.26585,0.26033,0.26269,23576547
1748656800000,0.26265,0.26512,0.26090,0.26118,11761008
1748660400000,0.26118,0.26220,0.25892,0.26210,16245902
1748664000000,0.26210,0.26293,0.25902,0.26278,12158306
1748667600000,0.26277,0.26342,0.26119,0.26122,7703207
1748671200000,0.26122,0.26282,0.26079,0.26159,6792391
1748674800000,0.26158,0.26166,0.26002,0.26023,8047864
1748678400000,0.26023,0.26157,0.25895,0.26005,9211399
1748682000000,0.26005,0.26091,0.25860,0.26050,9221457
1748685600000,0.26051,0.26268,0.25905,0.26054,10655639
1748689200000,0.26055,0.26096,0.25887,0.25951,5402946
1748692800000,0.25950,0.26458,0.25946,0.26444,14339817
1748696400000,0.26443,0.26621,0.26358,0.26468,13088183
1748700000000,0.26467,0.26664,0.26452,0.26633,7743653
1748703600000,0.26632,0.26738,0.26526,0.26570,11514494
1748707200000,0.26570,0.26752,0.26488,0.26715,8893473
1748710800000,0.26715,0.26745,0.26535,0.26570,7900022
1748714400000,0.26570,0.26672,0.26548,0.26600,4219868
1748718000000,0.26601,0.26732,0.26593,0.26641,4734045
1748721600000,0.26642,0.26646,0.26533,0.26578,3995040
1748725200000,0.26578,0.26682,0.26540,0.26580,8292498
1748728800000,0.26581,0.26596,0.26413,0.26430,4682202
1748732400000,0.26430,0.26541,0.26365,0.26384,9659545
1748736000000,0.26385,0.26420,0.26340,0.26402,5484304
1748739600000,0.26401,0.26529,0.26320,0.26371,6161353
1748743200000,0.26369,0.26447,0.26210,0.26387,8948813
1748746800000,0.26388,0.26583,0.26308,0.26513,9925101
1748750400000,0.26513,0.26781,0.26452,0.26705,9045735
1748754000000,0.26705,0.26747,0.26668,0.26703,5045343
1748757600000,0.26703,0.26724,0.26564,0.26583,4896188
1748761200000,0.26583,0.26592,0.26494,0.26567,3656856
1748764800000,0.26566,0.26592,0.26401,0.26471,5235525
1748768400000,0.26472,0.26539,0.26158,0.26312,10877712
1748772000000,0.26313,0.26387,0.26248,0.26378,6065373
1748775600000,0.26377,0.26479,0.26289,0.26387,6031501
1748779200000,0.26387,0.26387,0.26194,0.26266,5270441
1748782800000,0.26266,0.26393,0.26237,0.26323,4841720
1748786400000,0.26323,0.26549,0.26323,0.26449,7448500
1748790000000,0.26448,0.26578,0.26412,0.26545,4793938
1748793600000,0.26544,0.26750,0.26543,0.26675,9644402
1748797200000,0.26675,0.26733,0.26622,0.26670,5671262
1748800800000,0.26670,0.26674,0.26342,0.26526,6967687
1748804400000,0.26528,0.26670,0.26513,0.26669,4555438
1748808000000,0.26669,0.26676,0.26543,0.26556,3210604
1748811600000,0.26555,0.26721,0.26546,0.26696,4968374
1748815200000,0.26695,0.26764,0.26669,0.26695,3939906
1748818800000,0.26696,0.26747,0.26666,0.26718,3640776
1748822400000,0.26718,0.26755,0.26642,0.26669,6600651
1748826000000,0.26670,0.26757,0.26583,0.26583,5773890
1748829600000,0.26583,0.26615,0.26456,0.26503,5706570
