open_time,open,high,low,close,volume
1747954800000,2.4142,2.4318,2.4142,2.4300,9858323.8
1747958400000,2.4300,2.4422,2.4211,2.4338,26387732.8
1747962000000,2.4338,2.4580,2.4256,2.4512,32312127.0
1747965600000,2.4513,2.4798,2.4505,2.4603,50651690.2
1747969200000,2.4603,2.4769,2.4577,2.4728,20341148.8
1747972800000,2.4727,2.4774,2.4379,2.4555,33147746.8
1747976400000,2.4556,2.4597,2.4408,2.4539,17899719.8
1747980000000,2.4538,2.4567,2.4087,2.4199,51449919.8
1747983600000,2.4199,2.4328,2.4163,2.4257,24938538.8
1747987200000,2.4258,2.4433,2.4256,2.4381,19175649.7
1747990800000,2.4382,2.4532,2.4361,2.4494,16431933.7
1747994400000,2.4495,2.4503,2.4340,2.4416,18471431.9
1747998000000,2.4417,2.4432,2.3500,2.3621,110271593.4
1748001600000,2.3621,2.3630,2.3000,2.3474,137243717.8
1748005200000,2.3473,2.3746,2.3328,2.3710,60137477.1
1748008800000,2.3710,2.3817,2.3644,2.3743,30559103.0
1748012400000,2.3743,2.3807,2.3584,2.3607,27340406.7
1748016000000,2.3607,2.3657,2.3463,2.3616,35325484.8
1748019600000,2.3616,2.3734,2.3594,2.3661,17151104.2
1748023200000,2.3660,2.3698,2.3450,2.3495,19475827.8
1748026800000,2.3494,2.3607,2.3374,2.3393,18090791.8
1748030400000,2.3393,2.3442,2.3239,2.3253,22015245.5
1748034000000,2.3254,2.3387,2.3204,2.3262,18296459.6
1748037600000,2.3263,2.3369,2.3123,2.3147,16808975.3
1748041200000,2.3147,2.3173,2.2822,2.2953,43056822.0
1748044800000,2.2953,2.3166,2.2843,2.2990,28096183.8
1748048400000,2.2989,2.3198,2.2984,2.3124,16675501.1
1748052000000,2.3124,2.3278,2.3063,2.3267,11206574.1
1748055600000,2.3266,2.3350,2.3248,2.3330,13232806.5
1748059200000,2.3330,2.3467,2.3322,2.3428,11294134.9
1748062800000,2.3428,2.3451,2.3313,2.3381,13670083.7
1748066400000,2.3380,2.3437,2.3271,2.3368,13279157.4
1748070000000,2.3368,2.3448,2.3331,2.3349,11831833.3
1748073600000,2.3350,2.3439,2.3304,2.3432,11402515.8
1748077200000,2.3432,2.3487,2.3411,2.3419,11914104.6
1748080800000,2.3420,2.3587,2.3420,2.3535,16869176.6
1748084400000,2.3535,2.3585,2.3507,2.3510,12098547.7
1748088000000,2.3511,2.3540,2.3439,2.3492,10779507.5
1748091600000,2.3492,2.3532,2.3427,2.3462,8540850.0
1748095200000,2.3462,2.3560,2.3449,2.3525,7588895.0
1748098800000,2.3526,2.3544,2.3475,2.3514,8211524.8
1748102400000,2.3514,2.3520,2.3394,2.3488,11305716.3
1748106000000,2.3488,2.3533,2.3431,2.3471,5531461.0
1748109600000,2.3471,2.3538,2.3426,2.3445,6346164.9
1748113200000,2.3444,2.3494,2.3433,2.3476,4085012.7
1748116800000,2.3477,2.3496,2.3444,2.3488,4660962.1
1748120400000,2.3489,2.3496,2.3300,2.3418,9978065.0
1748124000000,2.3419,2.3422,2.3272,2.3308,13874575.2
1748127600000,2.3307,2.3352,2.3200,2.3291,17910041.6
1748131200000,2.3291,2.3350,2.2969,2.3045,38296384.0
1748134800000,2.3045,2.3151,2.2911,2.3092,22528455.6
1748138400000,2.3093,2.3173,2.2983,2.3153,14449369.6
1748142000000,2.3153,2.3247,2.3142,2.3212,9695355.5
1748145600000,2.3213,2.3238,2.3115,2.3225,10156023.0
1748149200000,2.3225,2.3243,2.3150,2.3210,6858034.2
1748152800000,2.3211,2.3224,2.3134,2.3180,6962686.2
1748156400000,2.3180,2.3180,2.2993,2.3065,16409731.2
1748160000000,2.3064,2.3065,2.2762,2.2879,35531113.8
1748163600000,2.2879,2.2921,2.2764,2.2916,24161680.9
1748167200000,2.2917,2.2960,2.2815,2.2829,14253026.2
1748170800000,2.2828,2.2929,2.2794,2.2910,12837824.1
1748174400000,2.2911,2.3044,2.2869,2.3033,15139355.7
1748178000000,2.3033,2.3094,2.2963,2.3019,12819194.7
1748181600000,2.3019,2.3022,2.2843,2.2908,17013923.9
1748185200000,2.2908,2.2924,2.2644,2.2864,44831347.6
1748188800000,2.2864,2.2897,2.2706,2.2851,16515826.1
1748192400000,2.2851,2.2969,2.2850,2.2968,12965619.6
1748196000000,2.2968,2.3062,2.2950,2.3011,10890373.7
1748199600000,2.3012,2.3114,2.3006,2.3046,9941728.4
1748203200000,2.3046,2.3086,2.2984,2.3080,11034083.2
1748206800000,2.3080,2.3144,2.2978,2.3037,9738832.7
1748210400000,2.3037,2.3389,2.3010,2.3368,31548137.9
1748214000000,2.3368,2.3456,2.3265,2.3405,18535408.3
