open_time,open,high,low,close,volume
1747954800000,2.043000,2.051000,2.043000,2.050000,29323.1
1747958400000,2.050000,2.050000,2.044000,2.044000,24528.7
1747962000000,2.044000,2.047000,2.044000,2.046000,18425.8
1747965600000,2.045000,2.048000,2.044000,2.044000,22786.5
1747969200000,2.044000,2.047000,2.043000,2.046000,18947.8
1747972800000,2.045000,2.046000,2.044000,2.045000,75575.7
1747976400000,2.046000,2.048000,2.044000,2.047000,53399.3
1747980000000,2.047000,2.048000,2.042000,2.042000,32585.6
1747983600000,2.043000,2.045000,2.038000,2.043000,30920.8
1747987200000,2.043000,2.050000,2.040000,2.050000,70790.3
1747990800000,2.050000,2.050000,2.046000,2.048000,33230.0
1747994400000,2.048000,2.048000,2.029000,2.041000,209718.6
1747998000000,2.041000,2.042000,2.034000,2.039000,64764.8
1748001600000,2.038000,2.043000,2.029000,2.029000,128825.4
1748005200000,2.029000,2.039000,2.026000,2.037000,89137.9
1748008800000,2.038000,2.040000,2.037000,2.040000,30169.7
1748012400000,2.039000,2.040000,2.027000,2.030000,53262.4
1748016000000,2.030000,2.033000,2.026000,2.026000,33828.1
1748019600000,2.026000,2.029000,2.021000,2.021000,40480.7
1748023200000,2.022000,2.022000,2.017000,2.017000,35105.3
1748026800000,2.017000,2.022000,2.014000,2.019000,53564.0
1748030400000,2.020000,2.021000,2.013000,2.013000,62744.7
1748034000000,2.013000,2.018000,2.013000,2.014000,39911.3
1748037600000,2.014000,2.021000,2.013000,2.019000,75100.9
1748041200000,2.020000,2.025000,2.019000,2.025000,88722.8
1748044800000,2.024000,2.043000,2.022000,2.038000,251308.1
1748048400000,2.038000,2.050000,2.037000,2.048000,86436.6
1748052000000,2.049000,2.053000,2.048000,2.053000,46940.1
1748055600000,2.052000,2.054000,2.051000,2.052000,33717.9
1748059200000,2.051000,2.052000,2.050000,2.050000,29550.5
1748062800000,2.051000,2.051000,2.021000,2.044000,270473.0
1748066400000,2.044000,2.047000,2.038000,2.045000,48864.8
1748070000000,2.045000,2.047000,2.041000,2.047000,31152.3
1748073600000,2.047000,2.048000,2.042000,2.046000,37337.5
1748077200000,2.046000,2.047000,2.033000,2.039000,61784.5
1748080800000,2.039000,2.043000,2.038000,2.042000,25982.9
1748084400000,2.042000,2.045000,2.032000,2.040000,89925.9
1748088000000,2.040000,2.043000,2.031000,2.036000,99048.3
1748091600000,2.035000,2.042000,2.030000,2.037000,116246.7
1748095200000,2.036000,2.037000,2.031000,2.033000,37495.6
1748098800000,2.033000,2.038000,2.033000,2.037000,16131.6
1748102400000,2.036000,2.037000,2.031000,2.032000,32711.1
1748106000000,2.031000,2.033000,2.028000,2.030000,27612.5
1748109600000,2.030000,2.033000,2.028000,2.032000,28322.3
1748113200000,2.031000,2.034000,2.028000,2.033000,39574.7
1748116800000,2.032000,2.034000,2.030000,2.032000,36328.1
1748120400000,2.031000,2.034000,2.028000,2.030000,32731.3
1748124000000,2.030000,2.034000,2.026000,2.033000,78400.4
1748127600000,2.032000,2.047000,2.032000,2.047000,72014.3
1748131200000,2.046000,2.048000,2.035000,2.038000,64243.5
1748134800000,2.037000,2.042000,2.036000,2.039000,50450.8
1748138400000,2.038000,2.041000,2.037000,2.038000,24554.2
1748142000000,2.037000,2.041000,2.036000,2.039000,18642.7
1748145600000,2.038000,2.038000,2.028000,2.038000,53297.3
1748149200000,2.038000,2.038000,2.035000,2.038000,18275.4
1748152800000,2.038000,2.040000,2.037000,2.040000,14164.8
1748156400000,2.040000,2.041000,2.038000,2.041000,29672.3
1748160000000,2.040000,2.041000,2.037000,2.040000,33022.4
1748163600000,2.039000,2.040000,2.028000,2.040000,183816.0
1748167200000,2.040000,2.040000,2.037000,2.040000,22776.2
1748170800000,2.040000,2.040000,2.034000,2.035000,48398.5
1748174400000,2.036000,2.041000,2.036000,2.040000,34277.1
1748178000000,2.041000,2.041000,2.037000,2.038000,20365.4
1748181600000,2.037000,2.039000,2.036000,2.038000,26576.1
1748185200000,2.037000,2.039000,2.030000,2.034000,78289.7
